sample,time,window,precision,modulation,band,power,payload,crc,tx2rxdone
890,00:14.7,0.2,2.00E-07,4,28,17,12,FALSE,0.077948078
891,00:26.0,2,4.00E-07,3,42,22,206,FALSE,1.016191403
892,00:57.6,1,2.00E-07,5,51,9,241,FALSE,
893,01:00.7,0.1,1.00E-07,5,28,3,8,FALSE,0.033956534
894,02:09.4,20,1.00E-06,0,35,8,165,TRUE,6.166516308
895,02:18.1,1,2.00E-07,5,36,15,202,FALSE,0.315613063
896,03:04.7,10,5.00E-07,0,3,-1,64,TRUE,2.889702644
897,03:07.3,0.4,4.00E-07,5,15,9,112,TRUE,0.187598188
898,03:38.3,0.4,4.00E-07,7,10,20,254,FALSE,
899,04:24.4,10,5.00E-07,0,9,9,113,TRUE,4.364412218
900,04:26.8,0.2,2.00E-07,7,48,9,180,FALSE,0.098041098
901,04:28.9,0.2,2.00E-07,5,27,15,55,TRUE,0.105634706
902,04:30.0,0.01,1.00E-07,9,50,-2,52,TRUE,0.002827428
903,04:32.2,0.1,1.00E-07,6,14,19,18,TRUE,0.029378729
904,05:40.7,20,1.00E-06,0,30,7,146,TRUE,5.511203276
905,05:43.1,0.2,2.00E-07,7,37,13,185,FALSE,0.100600501
906,05:44.3,0.04,4.00E-07,8,43,16,214,FALSE,0.014643746
907,05:59.8,4,8.00E-07,2,27,-3,131,FALSE,1.254173851
908,06:46.8,10,5.00E-07,2,26,22,235,TRUE,2.114360606
909,06:49.2,0.2,2.00E-07,6,17,11,101,FALSE,0.098498498
910,06:50.4,0.02,2.00E-07,9,0,-3,172,TRUE,0.007628876
911,06:53.0,0.4,4.00E-07,7,3,22,223,TRUE,0.121081321
912,06:55.6,0.4,4.00E-07,6,18,16,115,FALSE,0.111262511
913,06:57.9,0.2,2.00E-07,3,14,9,5,TRUE,0.115040315
914,07:06.6,1,2.00E-07,5,22,18,232,TRUE,0.366692073
915,07:22.0,4,8.00E-07,1,7,13,64,FALSE,1.525869905
916,07:37.5,4,8.00E-07,2,6,3,126,TRUE,1.213291443
917,07:38.7,0.04,4.00E-07,8,31,-2,185,TRUE,0.012915329
918,07:41.0,0.2,2.00E-07,3,0,6,5,TRUE,0.115039315
919,07:52.4,4,8.00E-07,3,50,17,251,TRUE,
920,07:54.8,0.2,2.00E-07,7,37,0,154,TRUE,0.086457886
921,07:56.0,0.01,1.00E-07,9,10,12,66,FALSE,0.003307833
922,07:58.2,0.1,1.00E-07,6,43,17,39,TRUE,0.047301047
923,08:33.8,4,8.00E-07,3,33,13,244,FALSE,
924,08:38.4,0.002,2.00E-07,9,25,2,8,TRUE,0.001067907
925,08:53.4,4,8.00E-07,2,18,17,197,TRUE,1.786767557
926,09:24.4,0.04,4.00E-07,9,11,13,252,FALSE,
927,09:26.9,0.4,4.00E-07,6,13,8,140,TRUE,0.134298934
928,10:35.8,20,1.00E-06,0,19,12,169,TRUE,6.330317317
929,11:43.7,20,1.00E-06,0,24,16,161,TRUE,6.0027193
930,12:30.9,10,5.00E-07,0,17,15,53,TRUE,2.39834412
931,13:27.2,20,1.00E-06,0,43,21,245,FALSE,
932,13:56.0,2,4.00E-07,3,46,13,130,TRUE,0.688435738
933,13:57.0,0.004,4.00E-07,8,35,4,6,TRUE,0.001459346
934,14:12.9,4,8.00E-07,1,22,10,82,FALSE,1.853547571
935,14:21.8,1,2.00E-07,5,34,8,224,FALSE,0.35135227
936,15:08.1,10,5.00E-07,1,39,2,225,FALSE,4.39318522
937,15:17.0,1,2.00E-07,4,27,14,117,TRUE,0.344304469
938,15:18.2,0.02,2.00E-07,9,51,-1,213,TRUE,0.009267493
939,16:28.6,20,1.00E-06,0,51,1,217,FALSE,7.80490039
940,17:15.6,10,5.00E-07,1,17,20,158,TRUE,3.246235662
941,17:24.2,1,2.00E-07,3,24,22,60,TRUE,0.360836272
942,18:33.3,20,1.00E-06,0,21,18,200,FALSE,7.149669357
943,18:34.6,0.04,4.00E-07,8,35,18,235,TRUE,0.016115361
944,19:21.3,10,5.00E-07,0,45,-1,62,TRUE,2.725982136
945,19:23.9,0.4,4.00E-07,5,29,11,99,FALSE,0.167076567
946,19:26.1,0.2,2.00E-07,5,23,16,27,FALSE,0.05961886
947,20:12.7,10,5.00E-07,0,41,2,58,FALSE,2.562104628
948,20:23.8,2,4.00E-07,0,34,3,6,FALSE,0.923635785
949,20:26.4,0.4,4.00E-07,6,0,0,212,FALSE,0.193217793
950,20:27.7,0.04,4.00E-07,8,48,-3,193,FALSE,0.013299733
951,20:28.7,0.004,4.00E-07,9,2,14,31,FALSE,0.001908191
952,21:37.6,20,1.00E-06,0,12,10,178,TRUE,6.494314325
953,21:38.8,0.04,4.00E-07,8,17,5,163,FALSE,0.011379714
954,21:47.8,1,2.00E-07,5,13,19,183,TRUE,0.295015459
955,21:50.4,0.4,4.00E-07,6,22,20,207,FALSE,0.188137788
956,22:29.2,10,5.00E-07,1,28,-1,252,TRUE,
957,22:44.4,4,8.00E-07,2,19,-3,203,TRUE,1.868525174
958,22:59.7,4,8.00E-07,2,47,-3,128,TRUE,1.254131451
959,24:08.7,20,1.00E-06,0,38,19,191,FALSE,6.985669349
960,24:10.0,0.04,4.00E-07,8,12,14,211,TRUE,0.014580146
961,24:20.9,2,4.00E-07,3,0,12,160,FALSE,0.811354162
962,24:23.4,0.4,4.00E-07,6,18,19,203,FALSE,0.185540586
963,24:24.5,0.01,1.00E-07,9,49,7,91,FALSE,0.004307843
964,24:27.1,0.4,4.00E-07,7,26,20,231,TRUE,0.126122126
965,25:05.4,10,5.00E-07,1,9,-2,250,FALSE,
966,25:14.2,1,2.00E-07,4,6,22,82,TRUE,0.262264852
967,25:23.1,1,2.00E-07,5,34,16,189,FALSE,0.30015606
968,25:31.7,1,2.00E-07,4,1,3,149,TRUE,0.426224685
969,25:40.3,1,2.00E-07,4,16,-2,152,FALSE,0.436346887
970,25:49.1,1,2.00E-07,1,41,9,11,TRUE,0.542963109
971,25:50.1,0.002,2.00E-07,9,43,15,5,TRUE,0.000948295
972,26:01.1,2,4.00E-07,2,7,8,74,FALSE,0.762774553
973,26:03.6,0.4,4.00E-07,6,5,12,175,TRUE,0.162544163
974,26:04.8,0.04,4.00E-07,8,29,10,190,TRUE,0.013235332
975,26:40.4,4,8.00E-07,3,46,1,251,TRUE,
976,27:30.7,10,5.00E-07,0,47,15,111,FALSE,4.364253718
977,27:33.1,0.4,4.00E-07,6,11,14,128,FALSE,0.121541322
978,27:34.3,0.02,2.00E-07,8,15,-1,74,TRUE,0.005811458
979,27:45.2,2,4.00E-07,3,33,7,126,FALSE,0.667896134
980,27:47.6,0.2,2.00E-07,6,20,11,52,TRUE,0.057579858
981,28:57.7,20,1.00E-06,0,33,13,172,FALSE,6.330354317
982,29:00.1,0.2,2.00E-07,5,47,20,40,FALSE,0.08005488
983,29:10.9,2,4.00E-07,4,47,14,200,FALSE,0.559225312
984,29:13.2,0.2,2.00E-07,3,40,0,8,TRUE,0.135461735
985,30:22.5,20,1.00E-06,0,23,21,175,FALSE,6.330472317
986,30:31.4,1,2.00E-07,3,3,17,79,TRUE,0.463099693
987,30:42.3,2,4.00E-07,2,27,22,55,FALSE,0.639735728
988,31:13.9,1,2.00E-07,5,45,7,254,TRUE,
989,31:23.1,1,2.00E-07,4,3,7,157,FALSE,0.446624089
990,31:32.0,1,2.00E-07,1,9,-1,11,TRUE,0.542960309
991,31:33.0,0.004,4.00E-07,9,5,2,17,FALSE,0.001350135
992,31:34.3,0.02,2.00E-07,8,5,17,139,TRUE,0.0099731
993,31:36.8,0.4,4.00E-07,7,9,21,213,TRUE,0.115958516
994,31:39.5,0.4,4.00E-07,6,34,17,181,FALSE,0.167578568
995,31:55.1,4,8.00E-07,1,17,0,68,TRUE,1.607851522
996,31:56.4,0.02,2.00E-07,9,23,5,171,TRUE,0.007588676
997,32:43.1,10,5.00E-07,0,33,20,74,TRUE,3.217378161
998,32:45.6,0.4,4.00E-07,3,23,8,11,TRUE,0.155878556
999,33:32.1,10,5.00E-07,0,20,0,102,FALSE,4.036612202
1000,33:34.5,0.2,2.00E-07,7,20,6,176,FALSE,0.096702897
1001,33:45.6,2,4.00E-07,2,46,9,72,TRUE,0.762773353
1002,34:18.5,2,4.00E-07,4,17,22,254,TRUE,
1003,34:21.5,0.04,4.00E-07,8,1,22,181,TRUE,0.012660127
1004,34:23.9,0.4,4.00E-07,6,10,8,135,FALSE,0.126698127
1005,34:39.5,4,8.00E-07,3,44,-3,215,FALSE,1.057152211
1006,34:40.7,0.01,1.00E-07,8,0,9,58,TRUE,0.004787448
1007,34:43.2,0.4,4.00E-07,3,22,20,28,TRUE,0.217458217
1008,34:44.4,0.02,2.00E-07,8,38,6,107,TRUE,0.007922879
1009,34:46.8,0.2,2.00E-07,3,38,13,6,TRUE,0.115078715
1010,34:55.7,1,2.00E-07,5,50,5,163,TRUE,0.264335453
1011,34:58.0,0.2,2.00E-07,7,37,7,117,FALSE,0.066019666
1012,34:59.0,0.004,4.00E-07,9,33,15,37,TRUE,0.002228223
1013,35:00.2,0.01,1.00E-07,8,18,7,48,TRUE,0.004148441
1014,35:02.7,0.4,4.00E-07,5,37,0,70,FALSE,0.126076526
1015,35:05.4,0.4,4.00E-07,4,40,9,62,TRUE,0.211065411
1016,35:16.4,2,4.00E-07,3,23,8,149,FALSE,0.770313354
1017,35:18.7,0.2,2.00E-07,5,44,0,51,TRUE,0.1004951
1018,35:20.8,0.2,2.00E-07,7,10,17,126,FALSE,0.071098671
1019,35:32.0,2,4.00E-07,2,8,3,95,TRUE,0.967492593
1020,35:42.9,2,4.00E-07,4,50,7,209,TRUE,0.579822516
1021,35:45.4,0.2,2.00E-07,7,13,22,177,TRUE,0.097998698
1022,35:54.1,1,2.00E-07,3,25,3,77,TRUE,0.442716889
1023,35:56.5,0.2,2.00E-07,3,5,-2,5,FALSE,0.114958915
1024,35:58.8,0.4,4.00E-07,5,43,16,80,FALSE,0.141414541
1025,36:00.0,0.02,2.00E-07,9,25,6,188,FALSE,0.008188082
1026,36:01.1,0.004,4.00E-07,9,9,-3,38,FALSE,0.002188219
1027,36:02.3,0.04,4.00E-07,8,27,14,173,FALSE,0.01201892
1028,36:04.7,0.2,2.00E-07,4,29,9,16,FALSE,0.088188088
1029,36:07.0,0.1,1.00E-07,5,29,-2,9,TRUE,0.039059139
1030,36:15.9,1,2.00E-07,5,18,0,175,TRUE,0.279755256
1031,36:17.2,0.02,2.00E-07,9,40,0,201,TRUE,0.008789888
1032,36:18.3,0.02,2.00E-07,9,34,-3,147,TRUE,0.006628466
1033,36:27.0,1,2.00E-07,3,29,-1,48,TRUE,0.319758264
1034,36:28.2,0.04,4.00E-07,8,44,9,178,TRUE,0.012466525
1035,36:29.4,0.04,4.00E-07,8,11,5,144,TRUE,0.010292103
1036,36:38.4,1,2.00E-07,3,34,2,59,FALSE,0.360717472
1037,37:47.4,20,1.00E-06,0,26,3,169,TRUE,6.330315317
1038,37:49.8,0.2,2.00E-07,6,38,8,69,FALSE,0.07038107
1039,38:05.5,4,8.00E-07,1,25,1,54,TRUE,1.362071472
1040,38:52.0,10,5.00E-07,0,37,5,59,TRUE,2.725860136
1041,38:54.6,0.4,4.00E-07,5,13,15,78,FALSE,0.136355336
1042,39:37.9,10,5.00E-07,1,13,-3,244,TRUE,
1043,39:55.8,1,2.00E-07,6,25,16,237,TRUE,0.216258043
1044,39:58.2,0.4,4.00E-07,6,4,-3,170,TRUE,0.15989776
1045,41:07.3,20,1.00E-06,0,5,13,160,TRUE,6.0026783
1046,41:09.7,0.2,2.00E-07,5,9,16,54,FALSE,0.100535501
1047,41:18.3,1,2.00E-07,6,37,13,227,TRUE,0.208540442
1048,41:27.2,1,2.00E-07,3,24,19,77,FALSE,0.442635889
1049,41:36.0,1,2.00E-07,2,8,10,39,FALSE,0.476056495
1050,41:45.0,1,2.00E-07,3,21,16,79,FALSE,0.442715889
1051,41:55.8,2,4.00E-07,2,23,17,53,FALSE,0.59889492
1052,41:58.3,0.4,4.00E-07,6,20,15,186,FALSE,0.17021817
1053,42:09.4,2,4.00E-07,4,18,6,190,FALSE,0.528586106
1054,42:40.4,0.04,4.00E-07,9,24,16,252,TRUE,
1055,42:42.6,0.2,2.00E-07,3,31,10,4,TRUE,0.115000315
1056,42:45.1,0.4,4.00E-07,6,50,2,129,FALSE,0.121579322
1057,43:16.1,0.04,4.00E-07,8,4,1,246,TRUE,
1058,43:24.8,1,2.00E-07,2,48,17,44,FALSE,0.517018703
1059,44:02.1,10,5.00E-07,2,32,4,254,FALSE,
1060,44:48.0,10,5.00E-07,0,16,2,132,FALSE,5.019645251
1061,44:50.4,0.4,4.00E-07,5,15,0,92,TRUE,0.161894962
1062,44:59.1,1,2.00E-07,4,22,11,112,FALSE,0.333944867
1063,45:45.7,10,5.00E-07,0,46,18,101,TRUE,4.036658702
1064,45:46.9,0.02,2.00E-07,8,17,1,111,FALSE,0.008052881
1065,45:48.1,0.02,2.00E-07,9,46,7,180,TRUE,0.007948079
1066,45:56.7,1,2.00E-07,4,43,18,134,TRUE,0.395387879
1067,46:44.0,10,5.00E-07,1,12,9,152,TRUE,3.164256158
1068,46:46.7,0.4,4.00E-07,6,46,12,141,TRUE,0.134340134
1069,46:58.0,2,4.00E-07,3,6,20,144,TRUE,0.74989695
1070,47:00.6,0.4,4.00E-07,6,15,15,122,TRUE,0.118939319
1071,47:02.8,0.1,1.00E-07,6,39,19,23,TRUE,0.034461634
1072,47:50.2,10,5.00E-07,0,15,17,89,TRUE,3.708900685
1073,47:51.3,0.01,1.00E-07,8,16,1,42,FALSE,0.003636536
1074,47:52.4,0.01,1.00E-07,9,15,11,83,FALSE,0.00398774
1075,49:01.2,20,1.00E-06,0,37,17,142,FALSE,5.347324267
1076,49:03.6,0.2,2.00E-07,7,42,21,105,FALSE,0.05964086
1077,50:11.6,20,1.00E-06,0,0,8,200,FALSE,7.149668357
1078,50:22.3,2,4.00E-07,2,17,8,71,TRUE,0.762733753
1079,50:23.5,0.01,1.00E-07,9,20,17,114,FALSE,0.005227952
1080,50:26.1,0.4,4.00E-07,6,40,1,138,TRUE,0.131778132
1081,50:28.8,0.4,4.00E-07,7,6,16,236,FALSE,0.127419727
1082,50:30.1,0.04,4.00E-07,8,51,15,173,FALSE,0.01202012
1083,50:31.3,0.02,2.00E-07,8,28,22,95,FALSE,0.00702947
1084,50:32.4,0.02,2.00E-07,8,44,7,98,TRUE,0.007347673
1085,50:33.6,0.02,2.00E-07,8,4,2,125,TRUE,0.009076291
1086,50:34.8,0.01,1.00E-07,9,17,22,75,FALSE,0.003668437
1087,50:37.0,0.2,2.00E-07,7,9,9,96,TRUE,0.057002057
1088,50:39.6,0.4,4.00E-07,5,51,17,97,TRUE,0.167078967
1089,50:42.1,0.4,4.00E-07,6,50,14,129,TRUE,0.124098124
1090,50:50.7,1,2.00E-07,5,29,12,142,TRUE,0.233614847
1091,50:53.3,0.4,4.00E-07,6,28,7,158,FALSE,0.147139747
1092,50:54.4,0.01,1.00E-07,8,12,13,64,FALSE,0.00504465
1093,50:55.6,0.04,4.00E-07,8,28,-2,157,FALSE,0.01099651
1094,51:11.2,4,8.00E-07,1,25,16,50,FALSE,1.280095456
1095,51:13.8,0.4,4.00E-07,7,41,15,203,TRUE,0.110837711
1096,51:22.4,1,2.00E-07,0,22,4,4,FALSE,0.760015952
1097,51:37.5,4,8.00E-07,3,8,14,226,FALSE,1.118491424
1098,52:27.2,20,1.00E-06,0,16,17,251,TRUE,
1099,52:28.4,0.02,2.00E-07,7,39,20,0,TRUE,0.008419884
1100,52:37.1,1,2.00E-07,5,26,7,154,FALSE,0.24895605
1101,52:38.4,0.02,2.00E-07,9,37,20,236,TRUE,0.010187902
1102,52:49.2,2,4.00E-07,3,30,-3,132,TRUE,0.688515738
1103,53:36.5,10,5.00E-07,0,17,15,61,FALSE,2.725863136
1104,53:45.2,1,2.00E-07,2,41,15,46,TRUE,0.557935512
1105,54:16.2,0.04,4.00E-07,8,4,16,242,FALSE,
1106,54:24.6,1,2.00E-07,4,51,15,176,TRUE,0.4978639
1107,54:26.8,0.1,1.00E-07,7,19,16,48,TRUE,0.031481131
1108,54:37.6,2,4.00E-07,0,49,9,5,TRUE,0.923675785
1109,55:46.4,20,1.00E-06,0,23,8,204,FALSE,7.313467366
1110,55:48.8,0.2,2.00E-07,7,40,13,169,TRUE,0.094138694
1111,55:51.1,0.2,2.00E-07,6,18,18,104,TRUE,0.103580304
1112,56:06.5,4,8.00E-07,1,24,6,71,TRUE,1.689712338
1113,56:14.9,1,2.00E-07,6,49,4,231,TRUE,0.211137642
1114,56:16.1,0.02,2.00E-07,9,23,22,192,TRUE,0.008427484
1115,57:02.6,10,5.00E-07,1,20,10,165,FALSE,3.328174666
1116,57:49.5,10,5.00E-07,1,0,3,126,FALSE,2.59096013
1117,58:04.7,4,8.00E-07,2,25,-1,178,TRUE,1.663728333
1118,58:51.8,10,5.00E-07,0,12,21,127,FALSE,4.855807743
1119,58:54.0,0.1,1.00E-07,7,39,7,30,FALSE,0.021240421
1120,58:56.3,0.2,2.00E-07,3,17,13,5,FALSE,0.114958715
1121,58:57.5,0.02,2.00E-07,9,3,16,150,FALSE,0.006667867
1122,58:58.7,0.04,4.00E-07,7,41,17,18,TRUE,0.016120961
1123,59:01.0,0.2,2.00E-07,6,22,1,100,FALSE,0.098458698
1124,59:03.5,0.4,4.00E-07,2,51,2,4,FALSE,0.189332989
1125,59:12.1,1,2.00E-07,6,45,15,230,FALSE,0.208579042
1126,59:14.5,0.2,2.00E-07,7,25,12,121,FALSE,0.068538269
1127,59:30.3,4,8.00E-07,2,26,16,186,TRUE,1.704801141
1128,59:32.9,0.4,4.00E-07,4,33,15,57,FALSE,0.190625791
1129,59:35.3,0.2,2.00E-07,5,47,14,44,FALSE,0.085194485
1130,59:50.2,4,8.00E-07,0,27,22,30,TRUE,1.742869949
1131,59:52.5,0.2,2.00E-07,3,12,15,8,FALSE,0.115079715
1132,00:01.5,1,2.00E-07,4,45,9,91,FALSE,0.272625655
1133,00:10.5,1,2.00E-07,5,30,10,203,TRUE,0.320714664
1134,00:12.6,0.1,1.00E-07,6,30,4,37,TRUE,0.044782145
1135,00:59.3,10,5.00E-07,1,31,0,183,TRUE,3.737671687
1136,01:07.5,1,2.00E-07,0,47,8,3,TRUE,0.760077152
1137,01:54.9,10,5.00E-07,1,10,1,224,FALSE,4.39314522
1138,02:05.8,2,4.00E-07,3,0,18,124,FALSE,0.64751773
1139,02:53.5,10,5.00E-07,1,10,3,183,FALSE,3.655852183
1140,03:08.9,4,8.00E-07,2,16,12,226,TRUE,2.032486006
1141,03:10.1,0.04,4.00E-07,8,9,19,166,FALSE,0.011571316
1142,03:12.7,0.4,4.00E-07,5,51,19,124,TRUE,0.207993808
1143,03:14.9,0.1,1.00E-07,7,8,12,33,FALSE,0.023719624
1144,04:24.0,20,1.00E-06,0,43,17,221,FALSE,7.968702398
1145,04:25.2,0.02,2.00E-07,7,14,6,4,TRUE,0.009658697
1146,04:26.4,0.01,1.00E-07,9,21,10,62,TRUE,0.003229132
1147,05:22.7,20,1.00E-06,0,39,3,246,FALSE,
1148,05:56.2,4,8.00E-07,2,32,8,162,TRUE,1.5000499
1149,05:58.4,0.2,2.00E-07,3,43,11,11,FALSE,0.135498735
1150,06:07.6,1,2.00E-07,1,41,21,0,TRUE,0.379249276
1151,06:08.8,0.02,2.00E-07,8,6,12,82,FALSE,0.006197862
1152,06:19.4,2,4.00E-07,3,48,1,172,TRUE,0.872812575
1153,07:05.9,10,5.00E-07,1,5,0,157,TRUE,3.246194162
1154,07:52.2,10,5.00E-07,1,12,17,160,FALSE,3.246237662
1155,07:54.6,0.2,2.00E-07,7,31,22,138,FALSE,0.077478477
1156,07:56.9,0.2,2.00E-07,7,32,-3,120,FALSE,0.067319467
1157,08:05.4,1,2.00E-07,5,2,16,212,FALSE,0.330956666
1158,08:52.6,10,5.00E-07,0,9,21,64,TRUE,2.889699644
1159,08:53.8,0.04,4.00E-07,8,27,15,214,TRUE,0.014773348
1160,08:54.9,0.01,1.00E-07,8,17,16,31,TRUE,0.003060431
1161,08:56.0,0.01,1.00E-07,8,50,17,38,FALSE,0.003380034
1162,09:11.8,4,8.00E-07,3,48,10,216,FALSE,1.077492215
1163,09:55.2,10,5.00E-07,1,4,14,244,TRUE,
1164,10:06.7,0.4,4.00E-07,6,32,-1,187,FALSE,0.172701373
1165,10:08.9,0.1,1.00E-07,7,44,15,50,FALSE,0.031481131
1166,10:10.1,0.04,4.00E-07,8,35,-1,152,FALSE,0.010675307
1167,10:12.4,0.1,1.00E-07,7,12,11,36,FALSE,0.025022325
1168,10:28.0,4,8.00E-07,2,32,-1,203,FALSE,1.827685166
1169,10:39.1,2,4.00E-07,2,6,20,71,FALSE,0.762654153
1170,10:41.3,0.1,1.00E-07,6,26,3,39,FALSE,0.044782545
1171,10:43.6,0.2,2.00E-07,7,28,14,121,FALSE,0.068539469
1172,10:45.9,0.2,2.00E-07,7,7,1,166,TRUE,0.092839093
1173,10:48.0,0.2,2.00E-07,6,6,18,94,TRUE,0.093424093
1174,10:49.3,0.04,4.00E-07,8,35,16,195,FALSE,0.013426534
1175,11:04.6,4,8.00E-07,3,45,-1,232,TRUE,1.159410632
1176,11:07.0,0.4,4.00E-07,4,4,10,58,TRUE,0.200829401
1177,11:09.3,0.1,1.00E-07,6,28,4,45,FALSE,0.04989915
1178,11:20.3,2,4.00E-07,3,3,20,119,TRUE,0.647395729
1179,11:28.9,1,2.00E-07,5,2,20,153,TRUE,0.24899325
1180,11:37.7,1,2.00E-07,3,25,16,58,FALSE,0.360679672
1181,11:38.9,0.01,1.00E-07,9,51,3,99,FALSE,0.004628546
1182,11:47.7,1,2.00E-07,5,28,7,240,FALSE,0.371913274
1183,11:58.7,2,4.00E-07,3,27,15,156,TRUE,0.811273362
1184,12:00.9,0.1,1.00E-07,6,42,18,43,FALSE,0.04981915
1185,12:02.2,0.01,1.00E-07,8,9,0,23,TRUE,0.002548325
1186,12:37.8,4,8.00E-07,3,27,2,247,FALSE,
1187,12:43.7,0.2,2.00E-07,7,34,13,101,TRUE,0.05955906
1188,12:54.4,2,4.00E-07,2,18,2,109,FALSE,1.04949181
1189,13:03.0,1,2.00E-07,2,25,-3,28,TRUE,0.434938887
1190,13:59.3,20,1.00E-06,0,20,10,241,TRUE,
1191,14:19.7,0.1,1.00E-07,7,48,1,43,FALSE,0.028839529
1192,14:30.7,2,4.00E-07,3,18,9,175,FALSE,0.893157779
1193,14:33.0,0.2,2.00E-07,5,28,13,24,TRUE,0.05957566
1194,14:43.9,2,4.00E-07,1,5,12,26,FALSE,0.788703758
1195,15:30.7,10,5.00E-07,0,1,10,78,FALSE,3.217456661
1196,15:39.4,1,2.00E-07,5,22,16,154,TRUE,0.24903725
1197,15:41.6,0.1,1.00E-07,6,6,20,25,TRUE,0.034539435
1198,15:42.9,0.02,2.00E-07,9,9,12,221,TRUE,0.009588696
1199,15:53.9,2,4.00E-07,4,24,19,203,TRUE,0.569505714
1200,17:03.0,20,1.00E-06,0,12,13,226,TRUE,8.132619407
1201,17:05.4,0.1,1.00E-07,7,23,2,59,FALSE,0.036558637
1202,17:06.7,0.04,4.00E-07,8,32,13,191,FALSE,0.013172532
1203,17:07.9,0.04,4.00E-07,8,39,0,154,TRUE,0.010931709
1204,17:18.9,2,4.00E-07,2,44,10,60,FALSE,0.680695336
1205,17:57.9,10,5.00E-07,1,28,-3,252,FALSE,
1206,18:00.4,0.2,2.00E-07,7,47,20,125,TRUE,0.071139271
1207,18:47.2,10,5.00E-07,1,3,15,175,FALSE,3.492052175
1208,18:58.0,2,4.00E-07,4,27,7,229,TRUE,0.631022526
1209,19:44.7,10,5.00E-07,0,45,2,78,FALSE,3.217455161
1210,19:55.5,2,4.00E-07,4,29,13,212,TRUE,0.590024118
1211,19:56.7,0.04,4.00E-07,8,17,22,205,TRUE,0.014195742
1212,19:59.3,0.4,4.00E-07,6,32,8,215,TRUE,0.198300198
1213,20:08.0,1,2.00E-07,5,34,1,163,TRUE,0.264336453
1214,20:19.2,2,4.00E-07,2,13,9,66,FALSE,0.721694944
1215,20:50.8,1,2.00E-07,6,9,-2,248,TRUE,
1216,21:37.5,10,5.00E-07,2,46,10,236,FALSE,2.114322106
1217,21:46.4,1,2.00E-07,3,29,-1,83,FALSE,0.463175893
1218,22:56.8,20,1.00E-06,0,40,16,209,TRUE,7.641026382
1219,23:43.3,10,5.00E-07,1,24,20,173,TRUE,3.492050175
1220,23:52.2,1,2.00E-07,5,35,4,222,FALSE,0.346292469
1221,24:03.4,2,4.00E-07,3,25,0,135,FALSE,0.708857342
1222,25:12.3,20,1.00E-06,0,9,6,199,FALSE,7.149628357
1223,25:23.0,2,4.00E-07,4,6,-1,184,FALSE,0.518267304
1224,25:32.1,1,2.00E-07,4,39,8,144,FALSE,0.415864283
1225,26:19.7,10,5.00E-07,0,2,20,87,TRUE,3.545175177
1226,26:28.4,1,2.00E-07,4,20,2,91,TRUE,0.282785657
1227,26:43.7,4,8.00E-07,1,20,19,81,FALSE,1.771769154
1228,26:45.0,0.02,2.00E-07,9,48,7,206,FALSE,0.008908289
1229,26:53.6,1,2.00E-07,4,8,15,96,FALSE,0.292985659
1230,27:02.2,1,2.00E-07,4,43,8,138,FALSE,0.395468479
1231,27:13.5,2,4.00E-07,4,43,19,225,TRUE,0.620784124
1232,28:00.5,10,5.00E-07,1,46,14,225,TRUE,4.475004724
1233,28:01.8,0.04,4.00E-07,8,26,11,233,FALSE,0.015858959
1234,28:10.7,1,2.00E-07,2,34,15,47,TRUE,0.557974912
1235,28:11.9,0.01,1.00E-07,9,6,1,73,FALSE,0.003588336
1236,28:22.9,2,4.00E-07,2,38,-2,104,TRUE,1.04937141
1237,28:31.3,1,2.00E-07,4,44,10,86,FALSE,0.262345052
1238,28:32.4,0.01,1.00E-07,9,37,8,98,TRUE,0.004669447
1239,28:43.1,2,4.00E-07,3,31,3,190,FALSE,0.954651791
1240,28:53.9,2,4.00E-07,3,41,-2,115,FALSE,0.606558121
1241,30:01.9,20,1.00E-06,0,10,21,150,FALSE,5.511284276
1242,30:04.6,0.4,4.00E-07,4,18,15,54,FALSE,0.18042938
1243,30:07.2,0.4,4.00E-07,7,30,9,207,TRUE,0.113358513
1244,30:09.4,0.1,1.00E-07,6,37,9,35,TRUE,0.044698845
1245,30:11.5,0.1,1.00E-07,4,18,19,7,FALSE,0.057587158
1246,30:42.4,0.04,4.00E-07,9,6,-2,245,TRUE,
1247,30:44.9,0.4,4.00E-07,6,3,2,195,FALSE,0.177898178
1248,30:53.4,1,2.00E-07,3,10,0,40,TRUE,0.278837056
1249,31:02.0,1,2.00E-07,4,10,8,108,FALSE,0.323704865
1250,31:10.9,1,2.00E-07,3,48,-1,73,FALSE,0.422176084
1251,31:19.5,1,2.00E-07,4,4,21,172,TRUE,0.487625498
1252,31:22.0,0.4,4.00E-07,7,35,12,211,FALSE,0.114622515
1253,31:24.4,0.2,2.00E-07,7,31,11,134,TRUE,0.076218276
1254,32:34.1,20,1.00E-06,0,48,0,165,TRUE,6.166509308
1255,32:36.5,0.4,4.00E-07,4,11,5,44,TRUE,0.15994976
1256,32:37.6,0.004,4.00E-07,9,9,22,30,TRUE,0.001946995
1257,32:46.4,1,2.00E-07,4,0,-3,173,TRUE,0.487666898
1258,32:48.7,0.4,4.00E-07,4,3,10,45,FALSE,0.15990816
1259,32:59.9,2,4.00E-07,3,33,2,204,TRUE,1.016191403
1260,33:02.4,0.4,4.00E-07,3,31,12,18,FALSE,0.176378976
1261,34:11.2,20,1.00E-06,0,11,20,221,FALSE,7.968706398
