sample,time,window,precision,modulation,band,power,payload,tx2rxdone
1328,2018-06-01 20:30:46.590013,0.1,1.0000100001000012e-06,5,35,6,0,0.028836288362883634
1329,2018-06-01 20:30:50.885747,2.0,2.000002000002e-06,3,47,15,103,0.5859585859585859
1330,2018-06-01 20:30:51.815784,0.004,4.004004004004004e-06,9,37,1,28,0.0019139139139139139
1331,2018-06-01 20:30:58.914746,4.0,4.000004000004e-06,0,14,21,14,1.2514132514132512
1332,2018-06-01 20:31:06.254282,4.0,4.000004000004e-06,1,20,7,60,1.5258895258895258
1333,2018-06-01 20:31:27.081042,10.0,2.00000040000008e-06,0,32,9,109,4.364354872870975
1334,2018-06-01 20:31:31.482314,2.0,2.000002000002e-06,3,14,-1,93,0.5246545246545246
1335,2018-06-01 20:31:51.840610,10.0,2.00000040000008e-06,0,4,18,107,4.364272872854575
1336,2018-06-01 20:31:54.927786,1.0,1.000001000001e-06,4,46,16,60,0.21108721108721107
1337,2018-06-01 20:31:55.887715,0.02,2.0002000200020003e-06,8,36,7,92,0.007026702670267027
1338,2018-06-01 20:31:57.104604,0.4,4.000040000400005e-06,3,7,18,12,0.15602156021560218
1339,2018-06-01 20:31:58.065164,0.01,1.0001000100010001e-06,9,9,7,97,0.004669466946694669
1340,2018-06-01 20:32:00.927968,1.0,1.000001000001e-06,2,30,8,20,0.3939563939563939
1341,2018-06-01 20:32:03.878047,1.0,1.000001000001e-06,4,40,9,63,0.22128522128522127
1342,2018-06-01 20:32:05.127453,0.2,2.0000200002000023e-06,6,48,8,62,0.07027870278702789
1343,2018-06-01 20:32:06.282695,0.4,4.000040000400005e-06,4,10,2,46,0.170209702097021
1344,2018-06-01 20:32:09.241895,1.0,1.000001000001e-06,3,14,15,73,0.4426554426554426
1345,2018-06-01 20:32:12.263129,1.0,1.000001000001e-06,4,34,16,84,0.2725282725282725
1346,2018-06-01 20:32:15.230193,1.0,1.000001000001e-06,3,40,0,45,0.3197413197413197
1347,2018-06-01 20:32:16.156038,0.004,4.004004004004004e-06,9,34,7,18,0.0015095095095095095
1348,2018-06-01 20:32:17.082147,0.02,2.0002000200020003e-06,8,48,21,90,0.006900690069006901
1349,2018-06-01 20:32:21.462089,2.0,2.000002000002e-06,2,8,19,63,0.7217587217587217
1350,2018-06-01 20:32:42.184262,10.0,2.00000040000008e-06,0,9,8,70,3.053676610735322
1351,2018-06-01 20:32:44.991222,1.0,1.000001000001e-06,2,42,17,15,0.352999352999353
1352,2018-06-01 20:32:52.099485,4.0,4.000004000004e-06,1,33,-2,42,1.198213198213198
1353,2018-06-01 20:32:56.397001,2.0,2.000002000002e-06,2,15,12,91,0.9674309674309673
1354,2018-06-01 20:32:59.209212,1.0,1.000001000001e-06,5,18,5,114,0.1977391977391977
1355,2018-06-01 20:33:00.357325,0.1,1.0000100001000012e-06,7,28,22,72,0.04552045520455205
1356,2018-06-01 20:33:01.352416,0.1,1.0000100001000012e-06,7,24,6,54,0.036542365423654244
1357,2018-06-01 20:33:02.271729,0.004,4.004004004004004e-06,9,31,0,21,0.0016296296296296295
1358,2018-06-01 20:33:03.215758,0.02,2.0002000200020003e-06,8,22,14,118,0.008692869286928693
1359,2018-06-01 20:33:06.037118,1.0,1.000001000001e-06,2,24,10,21,0.39399639399639397
1360,2018-06-01 20:33:07.393831,0.4,4.000040000400005e-06,5,3,19,91,0.16196161961619618
1361,2018-06-01 20:33:08.658091,0.4,4.000040000400005e-06,5,43,20,93,0.1670176701767018
1362,2018-06-01 20:33:09.979363,0.4,4.000040000400005e-06,6,6,8,125,0.12403724037240374
1363,2018-06-01 20:33:12.822698,1.0,1.000001000001e-06,4,15,15,64,0.2213252213252213
1364,2018-06-01 20:33:14.103419,0.4,4.000040000400005e-06,6,34,1,124,0.12156121561215615
1365,2018-06-01 20:33:15.276761,0.4,4.000040000400005e-06,5,4,12,88,0.15685756857568578
1366,2018-06-01 20:33:22.374476,4.0,4.000004000004e-06,0,36,-2,39,
1367,2018-06-01 20:33:26.628180,2.0,2.000002000002e-06,2,28,12,89,0.9265929265929265
1368,2018-06-01 20:33:27.606373,0.02,2.0002000200020003e-06,9,36,3,121,0.0056285628562856285
1369,2018-06-01 20:33:34.763129,4.0,4.000004000004e-06,1,47,18,60,1.5258895258895258
1370,2018-06-01 20:33:35.859747,0.1,1.0000100001000012e-06,6,16,15,26,0.03956039560395604
1371,2018-06-01 20:33:37.091991,0.4,4.000040000400005e-06,5,27,11,61,0.11593715937159374
1372,2018-06-01 20:33:38.172743,0.2,2.0000200002000023e-06,6,13,7,73,0.07803878038780389
1373,2018-06-01 20:33:58.565119,10.0,2.00000040000008e-06,1,10,2,109,2.4269864853972973
1374,2018-06-01 20:33:59.520929,0.02,2.0002000200020003e-06,8,29,10,72,0.005748574857485748
1375,2018-06-01 20:34:19.776155,10.0,2.00000040000008e-06,0,11,6,101,4.2003848400769686
1376,2018-06-01 20:34:21.114035,0.2,2.0000200002000023e-06,7,31,22,118,0.06859868598685988
1377,2018-06-01 20:34:22.019627,0.02,2.0002000200020003e-06,8,8,1,71,0.005684568456845685
1378,2018-06-01 20:34:24.927247,1.0,1.000001000001e-06,4,41,19,120,0.36468836468836463
1379,2018-06-01 20:34:25.880611,0.01,1.0001000100010001e-06,9,31,16,70,0.0035883588358835883
1380,2018-06-01 20:34:26.780585,0.01,1.0001000100010001e-06,9,24,0,76,0.0038293829382938295
1381,2018-06-01 20:34:33.931464,4.0,4.000004000004e-06,0,3,-2,18,1.415213415213415
1382,2018-06-01 20:34:35.012797,0.1,1.0000100001000012e-06,5,32,13,0,0.028834288342883433
1383,2018-06-01 20:34:35.901682,0.01,1.0001000100010001e-06,8,31,19,37,0.0035083508350835083
1384,2018-06-01 20:34:43.095953,4.0,4.000004000004e-06,1,20,12,48,1.28019328019328
1385,2018-06-01 20:34:46.200112,1.0,1.000001000001e-06,3,12,10,73,0.4426564426564426
1386,2018-06-01 20:34:47.153776,0.01,1.0001000100010001e-06,9,9,13,77,0.0038693869386938694
1387,2018-06-01 20:34:50.118376,1.0,1.000001000001e-06,4,37,21,90,0.2828452828452828
1388,2018-06-01 20:34:51.090559,0.02,2.0002000200020003e-06,8,8,22,106,0.007926792679267927
1389,2018-06-01 20:34:55.367996,2.0,2.000002000002e-06,3,41,17,100,0.5655345655345655
1390,2018-06-01 20:35:02.586986,4.0,4.000004000004e-06,0,31,5,17,1.415173415173415
1391,2018-06-01 20:35:03.547242,0.02,2.0002000200020003e-06,8,39,3,81,0.0063286328632863285
1392,2018-06-01 20:35:04.586680,0.1,1.0000100001000012e-06,6,23,7,18,0.031920319203192035
1393,2018-06-01 20:35:05.741661,0.2,2.0000200002000023e-06,7,11,15,96,0.05828058280582807
1394,2018-06-01 20:35:06.861169,0.2,2.0000200002000023e-06,7,18,2,81,0.050604506045060456
1395,2018-06-01 20:35:07.765925,0.002,2.002002002002002e-06,8,22,11,0,
1396,2018-06-01 20:35:08.797950,0.1,1.0000100001000012e-06,7,51,13,60,0.039139391393913946
1397,2018-06-01 20:35:13.139880,2.0,2.000002000002e-06,1,33,6,24,0.8705388705388705
1398,2018-06-01 20:35:14.070657,0.01,1.0001000100010001e-06,8,37,-3,16,0.002163216321632163
1399,2018-06-01 20:35:18.351116,2.0,2.000002000002e-06,1,43,14,36,
1400,2018-06-01 20:35:21.335419,1.0,1.000001000001e-06,2,13,-2,14,0.3121983121983122
1401,2018-06-01 20:35:22.264397,0.01,1.0001000100010001e-06,8,17,8,17,0.002228222822282228
1402,2018-06-01 20:35:26.553512,2.0,2.000002000002e-06,3,0,-1,86,0.5040765040765041
1403,2018-06-01 20:35:29.539883,1.0,1.000001000001e-06,3,34,5,38,0.27885727885727885
1404,2018-06-01 20:35:30.511575,0.02,2.0002000200020003e-06,8,48,-1,117,0.008628862886288629
1405,2018-06-01 20:35:31.559243,0.1,1.0000100001000012e-06,6,50,18,19,0.03195931959319594
1406,2018-06-01 20:35:35.858125,2.0,2.000002000002e-06,2,25,17,65,0.7625947625947626
1407,2018-06-01 20:36:00.148166,10.0,2.00000040000008e-06,1,20,5,94,2.099428419885684
1408,2018-06-01 20:36:01.082166,0.01,1.0001000100010001e-06,9,20,9,46,0.0026302630263026305
1409,2018-06-01 20:36:26.100166,10.0,2.00000040000008e-06,0,24,7,83,3.545110709022142
1410,2018-06-01 20:36:27.013163,0.004,4.004004004004004e-06,9,32,1,13,
1411,2018-06-01 20:36:28.430166,0.4,4.000040000400005e-06,6,9,1,123,0.12151721517215174
1412,2018-06-01 20:36:33.655170,2.0,2.000002000002e-06,2,21,21,70,0.8035528035528035
1413,2018-06-01 20:36:37.369197,1.0,1.000001000001e-06,3,1,19,60,0.3812363812363812
1414,2018-06-01 20:36:38.540164,0.2,2.0000200002000023e-06,5,37,15,46,0.09541495414954151
1415,2018-06-01 20:36:46.852167,4.0,4.000004000004e-06,2,24,1,108,1.0903930903930903
1416,2018-06-01 20:36:47.833168,0.02,2.0002000200020003e-06,8,48,11,68,0.005492549254925492
1417,2018-06-01 20:36:48.995196,0.2,2.0000200002000023e-06,7,10,18,106,0.06340063400634008
1418,2018-06-01 20:36:49.891167,0.02,2.0002000200020003e-06,8,6,-1,61,0.005044504450445045
1419,2018-06-01 20:36:50.819163,0.01,1.0001000100010001e-06,9,23,19,49,0.0027482748274827483
1420,2018-06-01 20:36:51.777183,0.02,2.0002000200020003e-06,9,41,8,107,0.005068506850685069
1421,2018-06-01 20:36:55.580200,1.0,1.000001000001e-06,4,6,21,84,0.2725262725262725
1422,2018-06-01 20:36:56.848165,0.2,2.0000200002000023e-06,7,11,-2,75,0.04682246822468225
1423,2018-06-01 20:37:00.518172,1.0,1.000001000001e-06,4,31,2,69,0.23160923160923158
1424,2018-06-01 20:37:24.867168,10.0,2.00000040000008e-06,0,38,19,62,2.889714577942916
1425,2018-06-01 20:37:28.885168,1.0,1.000001000001e-06,3,34,10,65,0.4017364017364017
1426,2018-06-01 20:37:32.974168,1.0,1.000001000001e-06,3,18,14,53,0.3403633403633403
1427,2018-06-01 20:37:33.894190,0.01,1.0001000100010001e-06,8,47,2,27,0.0028672867286728674
1428,2018-06-01 20:37:58.443723,10.0,2.00000040000008e-06,1,37,22,90,2.017526403505281
1429,2018-06-01 20:37:59.709728,0.4,4.000040000400005e-06,3,19,1,18,0.19686196861968622
1430,2018-06-01 20:38:24.712723,10.0,2.00000040000008e-06,0,18,-3,69,3.0536346107269225
1431,2018-06-01 20:38:29.860769,2.0,2.000002000002e-06,3,22,0,111,0.6065786065786065
1432,2018-06-01 20:38:31.061757,0.4,4.000040000400005e-06,5,46,14,74,0.13637736377363777
1433,2018-06-01 20:38:32.102724,0.02,2.0002000200020003e-06,9,51,7,108,0.005106510651065107
1434,2018-06-01 20:38:33.327724,0.2,2.0000200002000023e-06,6,11,22,67,0.07292072920729209
1435,2018-06-01 20:38:34.347723,0.2,2.0000200002000023e-06,5,16,12,24,0.06465864658646588
1436,2018-06-01 20:38:35.269722,0.04,4.0004000400040005e-06,6,39,16,2,0.01908190819081908
1437,2018-06-01 20:38:43.368729,4.0,4.000004000004e-06,0,23,19,36,
1438,2018-06-01 20:38:44.445728,0.1,1.0000100001000012e-06,6,8,17,13,0.026840268402684032
1439,2018-06-01 20:38:49.607725,2.0,2.000002000002e-06,3,11,18,91,0.5245765245765245
1440,2018-06-01 20:39:13.991725,10.0,2.00000040000008e-06,0,16,-2,41,2.2343224468644896
1441,2018-06-01 20:39:38.403725,10.0,2.00000040000008e-06,1,30,13,99,2.1813644362728875
1442,2018-06-01 20:39:43.852731,2.0,2.000002000002e-06,3,25,19,89,0.5041945041945042
1443,2018-06-01 20:39:51.950729,4.0,4.000004000004e-06,0,48,-2,28,1.7428937428937428
1444,2018-06-01 20:40:16.714728,10.0,2.00000040000008e-06,0,43,21,97,4.036594807318962
1445,2018-06-01 20:40:17.710748,0.01,1.0001000100010001e-06,9,21,6,91,0.004428442844284428
1446,2018-06-01 20:40:18.965727,0.4,4.000040000400005e-06,3,27,9,17,0.1765217652176522
1447,2018-06-01 20:40:19.902722,0.02,2.0002000200020003e-06,8,46,17,69,0.005556555655565557
1448,2018-06-01 20:40:21.037723,0.2,2.0000200002000023e-06,6,51,3,53,0.06259862598625987
1449,2018-06-01 20:40:44.618730,10.0,2.00000040000008e-06,1,25,15,106,2.345124469024894
1450,2018-06-01 20:40:45.946723,0.2,2.0000200002000023e-06,7,13,16,117,0.06856068560685608
1451,2018-06-01 20:40:49.819734,1.0,1.000001000001e-06,4,22,6,111,0.3441643441643441
1452,2018-06-01 20:40:55.461727,2.0,2.000002000002e-06,3,47,3,113,0.6269526269526269
1453,2018-06-01 20:40:56.717724,0.4,4.000040000400005e-06,4,29,5,37,0.14968949689496897
1454,2018-06-01 20:41:01.826724,2.0,2.000002000002e-06,3,22,9,113,0.6269546269546269
1455,2018-06-01 20:41:07.027724,2.0,2.000002000002e-06,3,1,14,86,0.504074504074504
1456,2018-06-01 20:41:10.709724,1.0,1.000001000001e-06,3,48,8,30,0.23794023794023791
1457,2018-06-01 20:41:14.336762,1.0,1.000001000001e-06,3,13,8,49,0.34019834019834017
1458,2018-06-01 20:41:15.303724,0.02,2.0002000200020003e-06,9,27,12,120,0.005586558655865587
1459,2018-06-01 20:41:40.221733,10.0,2.00000040000008e-06,1,40,20,122,2.672720534544107
1460,2018-06-01 20:41:41.190731,0.02,2.0002000200020003e-06,8,39,6,114,0.008436843684368436
1461,2018-06-01 20:41:44.725730,1.0,1.000001000001e-06,5,19,15,116,0.1978141978141978
1462,2018-06-01 20:42:08.756728,10.0,2.00000040000008e-06,0,33,-2,88,3.7089487417897486
1463,2018-06-01 20:42:12.477730,1.0,1.000001000001e-06,3,42,-3,64,0.40169740169740165
1464,2018-06-01 20:42:38.028726,10.0,2.00000040000008e-06,1,13,8,102,2.2632224526444906
1465,2018-06-01 20:42:42.106724,1.0,1.000001000001e-06,3,46,-3,62,0.3813163813163813
1466,2018-06-01 20:42:43.231723,0.1,1.0000100001000012e-06,7,24,13,68,0.04299942999429995
1467,2018-06-01 20:42:44.233754,0.02,2.0002000200020003e-06,9,49,20,112,0.005268526852685269
1468,2018-06-01 20:42:45.380723,0.1,1.0000100001000012e-06,6,1,-3,29,0.042123421234212345
1469,2018-06-01 20:42:46.486757,0.1,1.0000100001000012e-06,7,8,19,67,0.04296042960429605
1470,2018-06-01 20:43:11.129730,10.0,2.00000040000008e-06,0,44,13,61,2.8896805779361157
1471,2018-06-01 20:43:12.085764,0.01,1.0001000100010001e-06,9,39,20,92,0.004467446744674468
1472,2018-06-01 20:43:13.347724,0.2,2.0000200002000023e-06,6,48,5,62,0.07028270282702828
1473,2018-06-01 20:43:14.524723,0.4,4.000040000400005e-06,3,30,0,19,0.19690196901969023
1474,2018-06-01 20:43:22.558764,4.0,4.000004000004e-06,1,12,6,72,1.6898456898456897
1475,2018-06-01 20:43:23.855754,0.4,4.000040000400005e-06,3,5,17,13,0.1763577635776358
1476,2018-06-01 20:43:24.791729,0.01,1.0001000100010001e-06,8,2,0,50,0.004340434043404341
1477,2018-06-01 20:43:26.090753,0.4,4.000040000400005e-06,6,45,20,103,0.10364103641036412
1478,2018-06-01 20:43:27.034758,0.01,1.0001000100010001e-06,9,14,8,88,0.004308430843084308
1479,2018-06-01 20:43:28.412753,0.4,4.000040000400005e-06,5,44,-1,109,0.1875778757787578
1480,2018-06-01 20:43:36.758753,4.0,4.000004000004e-06,1,38,12,39,1.1163611163611162
1481,2018-06-01 20:43:37.704723,0.01,1.0001000100010001e-06,9,12,9,83,0.004106410641064107
1482,2018-06-01 20:43:38.812753,0.2,2.0000200002000023e-06,3,43,9,0,
1483,2018-06-01 20:44:03.873725,10.0,2.00000040000008e-06,0,36,19,106,4.364230872846175
1484,2018-06-01 20:44:05.127726,0.4,4.000040000400005e-06,5,33,13,108,0.1875338753387534
1485,2018-06-01 20:44:06.189723,0.1,1.0000100001000012e-06,6,23,-2,8,0.024199241992419927
1486,2018-06-01 20:44:07.158724,0.1,1.0000100001000012e-06,5,49,-1,17,
1487,2018-06-01 20:44:08.570754,0.4,4.000040000400005e-06,5,37,15,104,0.1823938239382394
1488,2018-06-01 20:44:13.974723,2.0,2.000002000002e-06,1,47,5,22,0.7887167887167886
1489,2018-06-01 20:44:15.215724,0.1,1.0000100001000012e-06,6,35,5,8,0.024199241992419927
1490,2018-06-01 20:44:23.431724,4.0,4.000004000004e-06,1,42,15,43,1.198253198253198
1491,2018-06-01 20:44:24.810723,0.2,2.0000200002000023e-06,7,47,11,127,0.07367873678736789
1492,2018-06-01 20:44:25.721723,0.02,2.0002000200020003e-06,8,32,19,83,0.006454645464546454
1493,2018-06-01 20:44:33.537775,4.0,4.000004000004e-06,0,29,-3,40,
1494,2018-06-01 20:44:34.816726,0.2,2.0000200002000023e-06,7,10,-2,104,0.06213862138621387
1495,2018-06-01 20:44:38.820730,1.0,1.000001000001e-06,2,42,8,25,0.43491943491943486
1496,2018-06-01 20:44:44.260754,2.0,2.000002000002e-06,2,31,-3,73,0.8036788036788036
1497,2018-06-01 20:44:45.359725,0.2,2.0000200002000023e-06,6,16,11,62,0.07028270282702828
1498,2018-06-01 20:44:53.823726,4.0,4.000004000004e-06,2,46,15,117,1.172273172273172
1499,2018-06-01 20:44:59.517724,2.0,2.000002000002e-06,2,33,3,67,0.7626747626747626
1500,2018-06-01 20:45:04.562724,2.0,2.000002000002e-06,3,13,2,102,0.5656165656165656
1501,2018-06-01 20:45:12.887783,4.0,4.000004000004e-06,2,10,7,100,1.0493130493130491
1502,2018-06-01 20:45:14.221758,0.4,4.000040000400005e-06,5,22,16,96,0.1671376713767138
1503,2018-06-01 20:45:19.494759,2.0,2.000002000002e-06,3,23,11,87,0.5041145041145041
1504,2018-06-01 20:45:20.845725,0.4,4.000040000400005e-06,5,10,19,79,0.14653346533465336
1505,2018-06-01 20:45:22.055723,0.2,2.0000200002000023e-06,6,42,16,42,0.05240252402524026
1506,2018-06-01 20:45:23.249723,0.2,2.0000200002000023e-06,5,38,10,45,0.09537495374953751
1507,2018-06-01 20:45:31.248724,4.0,4.000004000004e-06,2,34,6,128,1.2542332542332542
1508,2018-06-01 20:45:32.302728,0.02,2.0002000200020003e-06,9,30,-2,114,0.005348534853485349
1509,2018-06-01 20:45:57.117728,10.0,2.00000040000008e-06,1,10,18,113,2.5088825017765006
1510,2018-06-01 20:45:58.065759,0.01,1.0001000100010001e-06,9,25,11,65,0.0033873387338733876
1511,2018-06-01 20:46:36.385723,20.0,4.00000080000016e-06,0,13,21,122,4.855784971156995
1512,2018-06-01 20:46:40.501759,1.0,1.000001000001e-06,3,33,2,73,0.4426564426564426
1513,2018-06-01 20:46:41.464724,0.04,4.0004000400040005e-06,7,10,19,5,0.010981098109810981
1514,2018-06-01 20:46:45.256723,1.0,1.000001000001e-06,4,43,22,114,0.34428834428834426
1515,2018-06-01 20:46:49.011762,1.0,1.000001000001e-06,4,1,3,79,0.2622492622492622
1516,2018-06-01 20:46:49.953758,0.01,1.0001000100010001e-06,9,46,18,73,0.0037083708370837087
1517,2018-06-01 20:46:51.254746,0.4,4.000040000400005e-06,4,29,-2,54,0.190689906899069
1518,2018-06-01 20:46:52.634724,0.4,4.000040000400005e-06,4,1,1,31,0.13936939369393697
1519,2018-06-01 20:46:56.729730,1.0,1.000001000001e-06,3,18,8,80,0.4632374632374632
1520,2018-06-01 20:46:57.659725,0.01,1.0001000100010001e-06,8,34,8,40,0.0037003700370037006
1521,2018-06-01 20:46:58.869752,0.1,1.0000100001000012e-06,7,18,15,57,0.037838378383783844
1522,2018-06-01 20:47:02.665730,1.0,1.000001000001e-06,5,32,18,119,0.2029152029152029
1523,2018-06-01 20:47:10.933727,4.0,4.000004000004e-06,0,38,18,22,1.5790135790135789
1524,2018-06-01 20:47:11.946724,0.01,1.0001000100010001e-06,9,38,10,66,0.0034273427342734275
1525,2018-06-01 20:47:12.923757,0.02,2.0002000200020003e-06,8,9,19,126,0.009204920492049205
1526,2018-06-01 20:47:14.108723,0.2,2.0000200002000023e-06,6,22,11,65,0.07284272842728429
1527,2018-06-01 20:47:15.297724,0.4,4.000040000400005e-06,4,17,0,51,0.19056990569905702
1528,2018-06-01 20:47:16.310760,0.02,2.0002000200020003e-06,8,35,0,61,0.005044504450445045
1529,2018-06-01 20:47:21.622775,2.0,2.000002000002e-06,0,38,2,3,0.9236989236989236
1530,2018-06-01 20:47:22.837727,0.2,2.0000200002000023e-06,7,44,21,122,0.07112071120711208
1531,2018-06-01 20:47:24.094724,0.4,4.000040000400005e-06,6,24,-2,109,0.10875708757087572
1532,2018-06-01 20:47:49.866730,10.0,2.00000040000008e-06,1,39,-2,87,2.0174044034808807
1533,2018-06-01 20:47:51.244723,0.4,4.000040000400005e-06,5,26,8,76,0.14143341433414336
1534,2018-06-01 20:47:52.652758,0.4,4.000040000400005e-06,5,42,5,108,0.18753787537875383
1535,2018-06-01 20:48:00.698759,4.0,4.000004000004e-06,1,11,16,66,1.6078696078696078
1536,2018-06-01 20:48:04.432723,1.0,1.000001000001e-06,3,13,21,54,0.3606963606963607
1537,2018-06-01 20:48:08.520760,1.0,1.000001000001e-06,4,50,3,120,0.36468536468536467
1538,2018-06-01 20:48:32.338724,10.0,2.00000040000008e-06,0,19,-2,59,2.7259585451917094
1539,2018-06-01 20:48:33.297755,0.01,1.0001000100010001e-06,9,18,8,94,0.004548454845484548
1540,2018-06-01 20:48:38.296723,2.0,2.000002000002e-06,3,1,21,96,0.545074545074545
1541,2018-06-01 20:48:39.706759,0.4,4.000040000400005e-06,5,23,7,110,0.18761787617876183
1542,2018-06-01 20:48:47.808724,4.0,4.000004000004e-06,0,29,18,20,1.4152934152934151
1543,2018-06-01 20:48:48.742723,0.01,1.0001000100010001e-06,9,4,20,60,0.00319031903190319
1544,2018-06-01 20:48:49.647760,0.01,1.0001000100010001e-06,8,29,17,30,0.0030603060306030605
1545,2018-06-01 20:48:50.667752,0.1,1.0000100001000012e-06,6,36,14,17,0.031879318793187936
1546,2018-06-01 20:48:54.571723,1.0,1.000001000001e-06,4,50,-1,65,0.22136622136622133
1547,2018-06-01 20:48:58.690772,1.0,1.000001000001e-06,5,40,16,120,0.20295520295520295
1548,2018-06-01 20:48:59.593725,0.002,2.002002002002002e-06,9,12,-3,4,0.0009489489489489488
1549,2018-06-01 20:49:03.177723,1.0,1.000001000001e-06,2,43,-2,31,0.47591947591947587
1550,2018-06-01 20:49:07.180724,1.0,1.000001000001e-06,5,46,14,124,0.20809720809720808
1551,2018-06-01 20:49:08.469723,0.4,4.000040000400005e-06,3,25,6,6,0.13548535485354857
1552,2018-06-01 20:49:09.417725,0.01,1.0001000100010001e-06,9,43,5,84,0.004148414841484148
1553,2018-06-01 20:49:13.364723,1.0,1.000001000001e-06,4,23,2,122,0.36476436476436475
1554,2018-06-01 20:49:17.410723,1.0,1.000001000001e-06,3,32,13,52,0.3403173403173403
1555,2018-06-01 20:49:22.761723,2.0,2.000002000002e-06,0,11,8,7,
1556,2018-06-01 20:49:26.322723,1.0,1.000001000001e-06,2,24,16,12,0.3121173121173121
1557,2018-06-01 20:49:31.358729,2.0,2.000002000002e-06,0,45,16,10,
1558,2018-06-01 20:49:32.267728,0.004,4.004004004004004e-06,9,16,12,15,0.0013893893893893892
1559,2018-06-01 20:49:37.364759,2.0,2.000002000002e-06,2,35,19,60,0.7216347216347215
1560,2018-06-01 20:49:44.979725,4.0,4.000004000004e-06,1,27,13,50,1.3620133620133619
1561,2018-06-01 20:49:46.299724,0.2,2.0000200002000023e-06,7,6,0,101,0.060840608406084074
1562,2018-06-01 20:49:47.647744,0.4,4.000040000400005e-06,5,18,-3,53,0.10566105661056613
1563,2018-06-01 20:49:48.684723,0.02,2.0002000200020003e-06,9,13,1,105,0.004988498849884989
1564,2018-06-01 20:49:52.615723,1.0,1.000001000001e-06,3,50,14,43,0.2993572993572993
1565,2018-06-01 20:49:56.227761,1.0,1.000001000001e-06,4,29,21,82,0.2623672623672623
1566,2018-06-01 20:49:59.863754,1.0,1.000001000001e-06,4,0,14,61,0.2111252111252111
1567,2018-06-01 20:50:01.070723,0.2,2.0000200002000023e-06,4,29,1,22,
1568,2018-06-01 20:50:01.999729,0.01,1.0001000100010001e-06,8,41,9,53,0.004531453145314532
1569,2018-06-01 20:50:23.514261,10.0,2.00000040000008e-06,0,43,15,77,3.3812386762477353
1570,2018-06-01 20:50:24.481229,0.02,2.0002000200020003e-06,8,11,9,78,0.006132613261326133
1571,2018-06-01 20:50:45.389443,10.0,2.00000040000008e-06,0,48,5,41,2.2343264468652895
1572,2018-06-01 20:50:46.363393,0.02,2.0002000200020003e-06,9,5,-1,105,0.0049904990499049905
1573,2018-06-01 20:50:47.447764,0.1,1.0000100001000012e-06,6,43,17,29,0.04212142121421215
1574,2018-06-01 20:50:48.353244,0.02,2.0002000200020003e-06,8,44,12,66,0.005364536453645365
1575,2018-06-01 20:50:51.271025,1.0,1.000001000001e-06,3,13,15,55,0.3607373607373607
1576,2018-06-01 20:50:52.195852,0.004,4.004004004004004e-06,9,30,11,16,0.0014294294294294294
1577,2018-06-01 20:50:55.025728,1.0,1.000001000001e-06,4,11,1,71,0.24176824176824174
1578,2018-06-01 20:50:55.958382,0.01,1.0001000100010001e-06,8,5,22,33,0.0032533253325332536
1579,2018-06-01 20:50:57.275636,0.2,2.0000200002000023e-06,7,30,7,125,0.07241872418724188
1580,2018-06-01 20:51:01.541024,2.0,2.000002000002e-06,3,39,13,123,0.6679546679546678
1581,2018-06-01 20:51:02.697897,0.2,2.0000200002000023e-06,6,4,4,67,0.07291872918729188
1582,2018-06-01 20:51:03.824553,0.2,2.0000200002000023e-06,5,21,4,34,0.07999679996799969
1583,2018-06-01 20:51:04.890397,0.2,2.0000200002000023e-06,6,37,10,68,0.07540275402754029
1584,2018-06-01 20:51:07.872425,1.0,1.000001000001e-06,1,41,2,7,
1585,2018-06-01 20:51:12.170035,2.0,2.000002000002e-06,0,37,17,3,0.9236969236969236
1586,2018-06-01 20:51:13.277363,0.2,2.0000200002000023e-06,6,46,3,54,0.06264462644626448
1587,2018-06-01 20:51:14.183718,0.02,2.0002000200020003e-06,8,50,8,60,0.00498049804980498
1588,2018-06-01 20:51:15.319182,0.2,2.0000200002000023e-06,7,16,4,99,0.05958259582595827
1589,2018-06-01 20:51:22.490895,4.0,4.000004000004e-06,0,26,17,19,1.415253415253415
1590,2018-06-01 20:51:25.313315,1.0,1.000001000001e-06,2,17,-1,33,0.4759954759954759
1591,2018-06-01 20:51:26.259039,0.01,1.0001000100010001e-06,9,44,11,51,0.0028292829282928296
1592,2018-06-01 20:51:33.353290,4.0,4.000004000004e-06,2,21,21,117,1.172273172273172
1593,2018-06-01 20:51:40.404054,4.0,4.000004000004e-06,1,5,22,39,1.1163531163531162
1594,2018-06-01 20:51:41.650121,0.4,4.000040000400005e-06,5,50,17,66,0.12610126101261016
1595,2018-06-01 20:51:42.574949,0.01,1.0001000100010001e-06,8,34,4,17,0.002228222822282228
1596,2018-06-01 20:51:43.821490,0.4,4.000040000400005e-06,6,18,7,92,0.09588095880958811
1597,2018-06-01 20:51:44.906052,0.2,2.0000200002000023e-06,4,34,22,15,0.09840698406984072
1598,2018-06-01 20:51:46.063642,0.2,2.0000200002000023e-06,7,37,-3,115,0.06730067300673008
1599,2018-06-01 20:51:47.175030,0.2,2.0000200002000023e-06,4,45,4,3,0.06768867688676888
1600,2018-06-01 20:51:48.114662,0.01,1.0001000100010001e-06,8,35,12,44,0.003956395639563956
1601,2018-06-01 20:51:49.017188,0.04,4.0004000400040005e-06,7,27,8,13,0.014845484548454847
1602,2018-06-01 20:51:51.946101,1.0,1.000001000001e-06,2,38,9,18,0.3531173531173531
