sample,time,window,precision,modulation,band,tx,measured
56,2018-06-07 10:27:14.640017,0.001,1.000010000100001e-08,3,32,False,0.0002726127261272613
57,2018-06-07 10:27:15.592409,0.001,1.000010000100001e-08,9,6,True,0.0005625956259562596
58,2018-06-07 10:27:16.508793,0.001,1.000010000100001e-08,9,19,False,0.0004518445184451845
59,2018-06-07 10:27:17.452665,0.001,1.000010000100001e-08,4,28,True,0.00032299322993229937
60,2018-06-07 10:27:18.356630,0.001,1.000010000100001e-08,4,25,False,0.0002787627876278763
61,2018-06-07 10:27:19.418167,0.001,1.000010000100001e-08,4,42,True,0.00034041340413404136
62,2018-06-07 10:27:20.361037,0.001,1.000010000100001e-08,7,46,False,0.0002723627236272363
63,2018-06-07 10:27:21.318285,0.001,1.000010000100001e-08,1,22,True,0.00034064340643406437
64,2018-06-07 10:27:22.324855,0.001,1.000010000100001e-08,9,38,True,0.0004704747047470475
65,2018-06-07 10:27:23.325503,0.001,1.000010000100001e-08,5,12,False,0.00024928249282492825
66,2018-06-07 10:27:24.333148,0.001,1.000010000100001e-08,9,38,False,0.0004691846918469185
67,2018-06-07 10:27:25.331701,0.001,1.000010000100001e-08,8,5,False,0.0004676446764467645
68,2018-06-07 10:27:26.273921,0.001,1.000010000100001e-08,2,44,False,0.0002498224982249823
69,2018-06-07 10:27:27.276779,0.001,1.000010000100001e-08,7,32,True,0.00027237272372723727
70,2018-06-07 10:27:28.271854,0.001,1.000010000100001e-08,5,45,False,0.0002726427264272643
71,2018-06-07 10:27:29.228475,0.001,1.000010000100001e-08,0,14,False,0.0002729027290272903
72,2018-06-07 10:27:30.148776,0.001,1.000010000100001e-08,7,24,True,0.00033984339843398437
73,2018-06-07 10:27:31.092915,0.001,1.000010000100001e-08,0,22,True,0.00034795347953479536
74,2018-06-07 10:27:32.087799,0.001,1.000010000100001e-08,5,48,True,0.00033983339833398336
75,2018-06-07 10:27:33.009243,0.001,1.000010000100001e-08,8,31,False,0.0004682646826468265
76,2018-06-07 10:27:33.957927,0.001,1.000010000100001e-08,2,25,True,0.00031711317113171134
77,2018-06-07 10:27:34.904000,0.001,1.000010000100001e-08,3,0,False,0.0002967429674296743
78,2018-06-07 10:27:35.819392,0.001,1.000010000100001e-08,8,38,False,0.00046849468494684953
79,2018-06-07 10:27:36.768551,0.001,1.000010000100001e-08,3,1,False,0.0002731527315273153
80,2018-06-07 10:27:37.681943,0.001,1.000010000100001e-08,7,5,False,0.0002959929599295993
81,2018-06-07 10:27:38.637436,0.001,1.000010000100001e-08,4,47,False,0.0002729227292272923
82,2018-06-07 10:27:39.582028,0.001,1.000010000100001e-08,6,22,False,0.0002719527195271953
83,2018-06-07 10:27:40.503867,0.001,1.000010000100001e-08,8,49,True,0.0005404054040540405
84,2018-06-07 10:27:41.457338,0.001,1.000010000100001e-08,2,44,False,0.0002514225142251423
85,2018-06-07 10:27:42.370372,0.001,1.000010000100001e-08,2,32,False,0.00027257272572725727
86,2018-06-07 10:27:43.334499,0.001,1.000010000100001e-08,8,2,False,0.0005006850068500685
87,2018-06-07 10:27:44.293951,0.001,1.000010000100001e-08,4,31,False,0.0002508125081250813
88,2018-06-07 10:27:45.296618,0.001,1.000010000100001e-08,2,41,False,0.0002726627266272663
89,2018-06-07 10:27:46.267840,0.001,1.000010000100001e-08,5,31,False,0.0002745427454274543
90,2018-06-07 10:27:47.233429,0.001,1.000010000100001e-08,4,48,False,0.0002794227942279423
91,2018-06-07 10:27:48.153838,0.001,1.000010000100001e-08,7,10,True,0.0002738627386273863
92,2018-06-07 10:27:49.093386,0.001,1.000010000100001e-08,0,21,True,0.00034739347393473937
93,2018-06-07 10:27:49.992455,0.001,1.000010000100001e-08,5,8,True,0.0003424534245342454
94,2018-06-07 10:27:50.966865,0.001,1.000010000100001e-08,6,48,False,0.0002789427894278943
95,2018-06-07 10:27:51.992131,0.001,1.000010000100001e-08,9,7,False,0.0004913949139491395
96,2018-06-07 10:27:52.907304,0.001,1.000010000100001e-08,1,20,False,0.00025194251942519427
97,2018-06-07 10:27:53.935668,0.001,1.000010000100001e-08,6,37,False,0.0002736127361273613
98,2018-06-07 10:27:54.854783,0.001,1.000010000100001e-08,7,24,True,0.00034280342803428036
99,2018-06-07 10:27:55.773886,0.001,1.000010000100001e-08,1,7,True,0.00029803298032980333
100,2018-06-07 10:27:56.875509,0.001,1.000010000100001e-08,0,0,False,0.00030242302423024234
101,2018-06-07 10:27:57.810048,0.001,1.000010000100001e-08,3,33,False,0.0002728627286272863
102,2018-06-07 10:27:58.870006,0.001,1.000010000100001e-08,9,43,True,0.0005334353343533436
103,2018-06-07 10:27:59.845075,0.001,1.000010000100001e-08,4,21,False,0.00024914249142491427
104,2018-06-07 10:28:00.782566,0.001,1.000010000100001e-08,1,10,False,0.0002730727307273073
105,2018-06-07 10:28:01.686736,0.001,1.000010000100001e-08,6,18,False,0.0002744927449274493
106,2018-06-07 10:28:02.585901,0.001,1.000010000100001e-08,6,48,False,0.0002746227462274623
107,2018-06-07 10:28:03.581780,0.001,1.000010000100001e-08,1,33,False,0.0002737227372273723
108,2018-06-07 10:28:04.511710,0.001,1.000010000100001e-08,6,4,True,0.0002958129581295813
109,2018-06-07 10:28:05.427933,0.001,1.000010000100001e-08,1,45,True,0.0002726327263272633
110,2018-06-07 10:28:06.340734,0.001,1.000010000100001e-08,3,0,True,0.0003641036410364104
111,2018-06-07 10:28:07.248433,0.001,1.000010000100001e-08,1,13,False,0.0002722827228272283
112,2018-06-07 10:28:08.153743,0.001,1.000010000100001e-08,0,22,True,0.0003407034070340704
113,2018-06-07 10:28:09.293980,0.001,1.000010000100001e-08,7,3,False,0.00029605296052960533
114,2018-06-07 10:28:10.239434,0.001,1.000010000100001e-08,7,12,True,0.0003426834268342684
115,2018-06-07 10:28:11.284480,0.001,1.000010000100001e-08,3,23,True,0.00034020340203402035
116,2018-06-07 10:28:12.199742,0.001,1.000010000100001e-08,8,4,True,0.0005559555595555956
117,2018-06-07 10:28:13.146795,0.001,1.000010000100001e-08,3,20,False,0.00025185251852518525
118,2018-06-07 10:28:14.097038,0.001,1.000010000100001e-08,2,41,False,0.0002727127271272713
119,2018-06-07 10:28:15.007706,0.001,1.000010000100001e-08,9,0,False,0.0005011850118501186
120,2018-06-07 10:28:16.078365,0.001,1.000010000100001e-08,8,30,False,0.0004451144511445115
121,2018-06-07 10:28:17.025001,0.001,1.000010000100001e-08,0,22,True,0.00032427324273242734
122,2018-06-07 10:28:17.966287,0.001,1.000010000100001e-08,5,40,True,0.0002722927229272293
