sample,time,window,precision,modulation,band,measured
63,2018-06-14 08:56:50.535629,0.0002,2.0000200002000022e-09,6,33,6.720867208672087e-05
64,2018-06-14 08:56:51.412203,0.0002,2.0000200002000022e-09,2,32,6.725267252672528e-05
65,2018-06-14 08:56:52.257678,0.0002,2.0000200002000022e-09,4,28,6.721067210672107e-05
66,2018-06-14 08:56:53.143126,0.0002,2.0000200002000022e-09,1,4,6.721067210672107e-05
67,2018-06-14 08:56:53.980264,0.0002,2.0000200002000022e-09,5,22,7.81687816878169e-05
68,2018-06-14 08:56:54.822883,0.0002,2.0000200002000022e-09,4,6,6.721067210672107e-05
69,2018-06-14 08:56:55.695665,0.0002,2.0000200002000022e-09,2,38,6.791867918679187e-05
70,2018-06-14 08:56:56.541845,0.0002,2.0000200002000022e-09,0,20,7.812678126781268e-05
71,2018-06-14 08:56:57.385951,0.0002,2.0000200002000022e-09,5,6,6.737667376673767e-05
72,2018-06-14 08:56:58.225525,0.0002,2.0000200002000022e-09,8,13,6.720867208672087e-05
73,2018-06-14 08:56:59.064594,0.0002,2.0000200002000022e-09,1,11,6.721067210672107e-05
74,2018-06-14 08:56:59.946795,0.0002,2.0000200002000022e-09,6,40,6.721067210672107e-05
75,2018-06-14 08:57:00.788849,0.0002,2.0000200002000022e-09,3,38,6.720867208672087e-05
76,2018-06-14 08:57:01.632753,0.0002,2.0000200002000022e-09,4,12,6.721067210672107e-05
77,2018-06-14 08:57:02.475754,0.0002,2.0000200002000022e-09,7,20,6.721067210672107e-05
78,2018-06-14 08:57:03.357544,0.0002,2.0000200002000022e-09,7,3,6.721067210672107e-05
79,2018-06-14 08:57:04.247837,0.0002,2.0000200002000022e-09,0,33,6.731467314673147e-05
80,2018-06-14 08:57:05.093851,0.0002,2.0000200002000022e-09,7,39,6.758467584675848e-05
81,2018-06-14 08:57:06.017706,0.0002,2.0000200002000022e-09,5,25,6.725267252672528e-05
