sample,time,window,precision,offset,measured
61,2018-06-07 15:22:49.087437,0.0004,4.0000400004000045e-09,1570,0.0001982259822598226
62,2018-06-07 15:22:51.447559,0.001,1.000001000001e-09,2849,0.0003580723580723581
63,2018-06-07 15:22:53.918743,0.002,2.000002000002e-09,5464,0.0006849566849566849
64,2018-06-07 15:22:54.925298,0.0004,4.0000400004000045e-09,1347,0.0001703617036170362
65,2018-06-07 15:22:57.627120,0.002,2.000002000002e-09,6924,0.0008674928674928676
66,2018-06-07 15:22:58.564849,0.0004,4.0000400004000045e-09,1521,0.0001921619216192162
67,2018-06-07 15:23:00.950268,0.002,2.000002000002e-09,7007,0.0008778748778748779
68,2018-06-07 15:23:03.160376,0.002,2.000002000002e-09,4631,0.0005809005809005809
69,2018-06-07 15:23:05.442257,0.001,1.000001000001e-09,3077,0.00038664638664638666
70,2018-06-07 15:23:07.758602,0.002,2.000002000002e-09,5982,0.0007496627496627496
71,2018-06-07 15:23:09.989476,0.001,1.000001000001e-09,3457,0.0004341104341104341
72,2018-06-07 15:23:12.355295,0.002,2.000002000002e-09,7249,0.0009080729080729081
73,2018-06-07 15:23:14.567640,0.002,2.000002000002e-09,6998,0.0008767428767428768
74,2018-06-07 15:23:17.153942,0.002,2.000002000002e-09,4116,0.0005165425165425166
75,2018-06-07 15:23:19.230500,0.002,2.000002000002e-09,7257,0.0009090809090809091
76,2018-06-07 15:23:20.164767,0.0004,4.0000400004000045e-09,1392,0.0001760177601776018
77,2018-06-07 15:23:22.327802,0.002,2.000002000002e-09,5271,0.0006608746608746609
78,2018-06-07 15:23:24.770266,0.001,1.000001000001e-09,3319,0.0004169034169034169
79,2018-06-07 15:23:27.024676,0.002,2.000002000002e-09,7630,0.0009557569557569558
80,2018-06-07 15:23:28.990496,0.001,1.000001000001e-09,2609,0.00032813532813532817
81,2018-06-07 15:23:31.187941,0.002,2.000002000002e-09,4049,0.0005080845080845081
82,2018-06-07 15:23:33.370087,0.002,2.000002000002e-09,5660,0.0007093887093887094
83,2018-06-07 15:23:35.434398,0.001,1.000001000001e-09,1881,0.00023707923707923709
84,2018-06-07 15:23:37.540114,0.001,1.000001000001e-09,2918,0.00036673236673236674
85,2018-06-07 15:23:39.800856,0.002,2.000002000002e-09,4035,0.0005063165063165063
86,2018-06-07 15:23:41.906227,0.001,1.000001000001e-09,2183,0.00027487427487427486
87,2018-06-07 15:23:44.045636,0.001,1.000001000001e-09,3594,0.0004511984511984512
88,2018-06-07 15:23:45.023442,0.0004,4.0000400004000045e-09,909,0.00011558115581155813
89,2018-06-07 15:23:47.325373,0.002,2.000002000002e-09,7333,0.0009185909185909187
90,2018-06-07 15:23:49.389172,0.002,2.000002000002e-09,5183,0.0006498306498306498
91,2018-06-07 15:23:51.573157,0.002,2.000002000002e-09,6381,0.0007995527995527995
92,2018-06-07 15:23:53.608300,0.002,2.000002000002e-09,6963,0.0008723848723848724
93,2018-06-07 15:23:55.906961,0.001,1.000001000001e-09,3927,0.0004928444928444929
94,2018-06-07 15:23:58.184102,0.002,2.000002000002e-09,5440,0.000681978681978682
95,2018-06-07 15:24:00.522714,0.002,2.000002000002e-09,5051,0.0006332946332946333
96,2018-06-07 15:24:02.741057,0.002,2.000002000002e-09,6898,0.0008642388642388643
97,2018-06-07 15:24:04.905129,0.002,2.000002000002e-09,6910,0.0008657148657148657
98,2018-06-07 15:24:07.079287,0.002,2.000002000002e-09,4047,0.0005077945077945078
99,2018-06-07 15:24:09.418788,0.001,1.000001000001e-09,3317,0.0004165804165804166
100,2018-06-07 15:24:11.630809,0.001,1.000001000001e-09,1879,0.00023681123681123682
101,2018-06-07 15:24:13.873752,0.001,1.000001000001e-09,1733,0.00021856321856321856
102,2018-06-07 15:24:16.150335,0.001,1.000001000001e-09,3103,0.0003898913898913899
103,2018-06-07 15:24:18.510053,0.002,2.000002000002e-09,4516,0.0005664305664305664
104,2018-06-07 15:24:20.726883,0.002,2.000002000002e-09,7390,0.0009256569256569256
105,2018-06-07 15:24:23.021003,0.001,1.000001000001e-09,2706,0.00034017534017534017
106,2018-06-07 15:24:25.386483,0.002,2.000002000002e-09,7588,0.0009504069504069504
107,2018-06-07 15:24:27.645286,0.001,1.000001000001e-09,2000,0.000251997251997252
108,2018-06-07 15:24:29.886537,0.002,2.000002000002e-09,6087,0.0007627867627867628
109,2018-06-07 15:24:32.118229,0.002,2.000002000002e-09,7894,0.0009886469886469886
110,2018-06-07 15:24:34.504152,0.001,1.000001000001e-09,1605,0.0002026112026112026
111,2018-06-07 15:24:35.484729,0.0004,4.0000400004000045e-09,1263,0.00015984959849598497
112,2018-06-07 15:24:37.643233,0.002,2.000002000002e-09,7447,0.0009328469328469329
113,2018-06-07 15:24:40.031923,0.002,2.000002000002e-09,4327,0.0005427885427885428
114,2018-06-07 15:24:42.342586,0.002,2.000002000002e-09,7826,0.0009802049802049803
115,2018-06-07 15:24:43.323156,0.0004,4.0000400004000045e-09,1333,0.00016860168601686017
116,2018-06-07 15:24:45.525733,0.001,1.000001000001e-09,1875,0.00023633023633023634
117,2018-06-07 15:24:47.963248,0.001,1.000001000001e-09,3352,0.000421005421005421
118,2018-06-07 15:24:50.587847,0.001,1.000001000001e-09,3341,0.0004195824195824196
119,2018-06-07 15:24:53.023993,0.002,2.000002000002e-09,7864,0.000984896984896985
120,2018-06-07 15:24:55.411118,0.002,2.000002000002e-09,4579,0.0005743045743045744
121,2018-06-07 15:24:57.948321,0.001,1.000001000001e-09,1983,0.00024987324987324987
122,2018-06-07 15:25:00.617647,0.001,1.000001000001e-09,1962,0.0002472882472882473
123,2018-06-07 15:25:03.204417,0.002,2.000002000002e-09,4330,0.0005432325432325432
124,2018-06-07 15:25:05.674720,0.002,2.000002000002e-09,6920,0.0008669448669448669
125,2018-06-07 15:25:08.597805,0.001,1.000001000001e-09,1851,0.00023336823336823337
126,2018-06-07 15:25:11.256729,0.002,2.000002000002e-09,5293,0.0006635886635886636
127,2018-06-07 15:25:13.585620,0.001,1.000001000001e-09,2796,0.0003514453514453515
128,2018-06-07 15:25:15.827993,0.002,2.000002000002e-09,5724,0.0007174587174587175
129,2018-06-07 15:25:18.456092,0.001,1.000001000001e-09,2777,0.00034912034912034913
130,2018-06-07 15:25:19.416436,0.0004,4.0000400004000045e-09,827,0.00010538505385053851
131,2018-06-07 15:25:21.894350,0.002,2.000002000002e-09,5045,0.0006325346325346326
132,2018-06-07 15:25:24.469938,0.002,2.000002000002e-09,6902,0.0008646948646948647
133,2018-06-07 15:25:27.444038,0.002,2.000002000002e-09,5391,0.0006757766757766758
134,2018-06-07 15:25:29.883945,0.001,1.000001000001e-09,3597,0.0004515444515444516
135,2018-06-07 15:25:32.122357,0.001,1.000001000001e-09,2594,0.00032623132623132626
136,2018-06-07 15:25:34.782528,0.002,2.000002000002e-09,7769,0.0009730329730329731
137,2018-06-07 15:25:37.045884,0.002,2.000002000002e-09,7561,0.0009471209471209472
138,2018-06-07 15:25:38.088602,0.0004,4.0000400004000045e-09,1097,0.00013911339113391135
139,2018-06-07 15:25:40.949492,0.001,1.000001000001e-09,2903,0.00036483036483036483
140,2018-06-07 15:25:43.463841,0.002,2.000002000002e-09,6453,0.0008086168086168087
141,2018-06-07 15:25:46.343234,0.001,1.000001000001e-09,2706,0.00034024734024734024
142,2018-06-07 15:25:49.015693,0.002,2.000002000002e-09,6213,0.0007785427785427785
143,2018-06-07 15:25:51.375497,0.002,2.000002000002e-09,6941,0.0008696108696108697
144,2018-06-07 15:25:52.317459,0.0004,4.0000400004000045e-09,1262,0.00015973359733597337
145,2018-06-07 15:25:54.739590,0.002,2.000002000002e-09,4823,0.0006048346048346049
146,2018-06-07 15:25:57.152467,0.001,1.000001000001e-09,3307,0.00041536341536341535
147,2018-06-07 15:25:59.422610,0.002,2.000002000002e-09,6536,0.000818974818974819
148,2018-06-07 15:26:01.425735,0.002,2.000002000002e-09,7943,0.0009947809947809948
149,2018-06-07 15:26:02.565090,0.0004,4.0000400004000045e-09,1260,0.000159429594295943
150,2018-06-07 15:26:04.817530,0.002,2.000002000002e-09,4371,0.0005482825482825482
151,2018-06-07 15:26:07.158401,0.001,1.000001000001e-09,2259,0.0002842922842922843
152,2018-06-07 15:26:08.193952,0.0004,4.0000400004000045e-09,927,0.00011782917829178293
153,2018-06-07 15:26:10.568043,0.002,2.000002000002e-09,5898,0.0007392287392287393
154,2018-06-07 15:26:12.899379,0.002,2.000002000002e-09,7055,0.0008837948837948838
155,2018-06-07 15:26:15.057391,0.001,1.000001000001e-09,3604,0.0004525034525034525
156,2018-06-07 15:26:16.035894,0.0004,4.0000400004000045e-09,1471,0.0001858458584585846
157,2018-06-07 15:26:17.000958,0.0004,4.0000400004000045e-09,1102,0.00013967339673396736
158,2018-06-07 15:26:19.277629,0.001,1.000001000001e-09,2038,0.00025667525667525667
159,2018-06-07 15:26:21.628882,0.002,2.000002000002e-09,5427,0.0006803106803106803
160,2018-06-07 15:26:24.043550,0.002,2.000002000002e-09,4026,0.0005051405051405051
161,2018-06-07 15:26:25.006676,0.0004,4.0000400004000045e-09,1426,0.000180209802098021
162,2018-06-07 15:26:27.441494,0.001,1.000001000001e-09,2477,0.0003115843115843116
163,2018-06-07 15:26:29.899152,0.001,1.000001000001e-09,1814,0.0002287862287862288
164,2018-06-07 15:26:32.415052,0.002,2.000002000002e-09,6294,0.0007886667886667887
165,2018-06-07 15:26:34.912031,0.001,1.000001000001e-09,3542,0.0004446494446494447
166,2018-06-07 15:26:36.033875,0.0004,4.0000400004000045e-09,1017,0.00012913329133291333
167,2018-06-07 15:26:38.226812,0.002,2.000002000002e-09,7822,0.0009797029797029798
168,2018-06-07 15:26:39.236165,0.0004,4.0000400004000045e-09,1088,0.00013801338013380134
169,2018-06-07 15:26:41.660388,0.002,2.000002000002e-09,4311,0.0005408725408725408
170,2018-06-07 15:26:42.641053,0.0004,4.0000400004000045e-09,1334,0.00016872968729687298
171,2018-06-07 15:26:44.959423,0.001,1.000001000001e-09,1624,0.00020494920494920497
172,2018-06-07 15:26:47.669409,0.002,2.000002000002e-09,5439,0.0006817826817826818
173,2018-06-07 15:26:50.126996,0.001,1.000001000001e-09,2992,0.000375981375981376
174,2018-06-07 15:26:52.616817,0.002,2.000002000002e-09,7058,0.0008841468841468842
175,2018-06-07 15:26:55.287783,0.001,1.000001000001e-09,3636,0.00045640645640645643
176,2018-06-07 15:26:57.773901,0.002,2.000002000002e-09,4349,0.0005455465455465456
177,2018-06-07 15:27:00.523207,0.001,1.000001000001e-09,3939,0.0004942774942774943
178,2018-06-07 15:27:01.508105,0.0004,4.0000400004000045e-09,1183,0.00014985349853498538
179,2018-06-07 15:27:03.939104,0.002,2.000002000002e-09,4918,0.0006166786166786167
180,2018-06-07 15:27:05.044189,0.0004,4.0000400004000045e-09,1161,0.00014706147061470617
181,2018-06-07 15:27:07.424511,0.001,1.000001000001e-09,2334,0.00029363529363529364
182,2018-06-07 15:27:09.709458,0.002,2.000002000002e-09,4157,0.0005215845215845216
183,2018-06-07 15:27:12.177201,0.001,1.000001000001e-09,2211,0.00027835227835227834
184,2018-06-07 15:27:14.213378,0.001,1.000001000001e-09,2130,0.0002682012682012682
185,2018-06-07 15:27:16.810957,0.002,2.000002000002e-09,5888,0.0007379147379147379
186,2018-06-07 15:27:17.874213,0.0004,4.0000400004000045e-09,1481,0.0001870818708187082
187,2018-06-07 15:27:20.032303,0.001,1.000001000001e-09,3043,0.00038230738230738234
188,2018-06-07 15:27:22.162861,0.002,2.000002000002e-09,4639,0.0005818225818225818
189,2018-06-07 15:27:24.442892,0.002,2.000002000002e-09,6068,0.0007604027604027604
190,2018-06-07 15:27:26.656980,0.002,2.000002000002e-09,7082,0.0008872448872448873
191,2018-06-07 15:27:28.999405,0.001,1.000001000001e-09,2657,0.00033406433406433405
192,2018-06-07 15:27:31.240451,0.002,2.000002000002e-09,7862,0.0009847409847409847
193,2018-06-07 15:27:32.294793,0.0004,4.0000400004000045e-09,1232,0.00015591755917559178
194,2018-06-07 15:27:34.513124,0.002,2.000002000002e-09,7187,0.0009003349003349004
195,2018-06-07 15:27:35.549485,0.0004,4.0000400004000045e-09,1378,0.0001741417414174142
196,2018-06-07 15:27:37.765868,0.001,1.000001000001e-09,3841,0.00048203148203148207
197,2018-06-07 15:27:40.021321,0.002,2.000002000002e-09,4581,0.0005746225746225747
198,2018-06-07 15:27:42.393246,0.002,2.000002000002e-09,6391,0.0008007908007908009
199,2018-06-07 15:27:44.675567,0.002,2.000002000002e-09,6912,0.0008659068659068659
200,2018-06-07 15:27:46.960978,0.001,1.000001000001e-09,2051,0.00025834125834125836
201,2018-06-07 15:27:49.116695,0.001,1.000001000001e-09,1710,0.00021567021567021568
202,2018-06-07 15:27:51.389115,0.002,2.000002000002e-09,7649,0.0009580889580889582
203,2018-06-07 15:27:53.635640,0.002,2.000002000002e-09,7066,0.0008852908852908854
204,2018-06-07 15:27:55.956025,0.001,1.000001000001e-09,2367,0.0002977722977722978
205,2018-06-07 15:27:58.232962,0.001,1.000001000001e-09,1762,0.0002221932221932222
206,2018-06-07 15:28:00.595186,0.002,2.000002000002e-09,6220,0.0007794167794167794
207,2018-06-07 15:28:02.884351,0.002,2.000002000002e-09,6589,0.0008256588256588257
208,2018-06-07 15:28:05.083245,0.002,2.000002000002e-09,4812,0.0006034646034646034
209,2018-06-07 15:28:07.337631,0.002,2.000002000002e-09,4843,0.0006073526073526074
210,2018-06-07 15:28:09.711323,0.001,1.000001000001e-09,3475,0.00043631643631643634
211,2018-06-07 15:28:12.190754,0.002,2.000002000002e-09,7590,0.0009507389507389508
