sample,time,window,precision,modulation,band,power,payload,measured
2632,09:25.6,1,5.00E-08,1,20,2,166,0.379070219
2633,09:27.2,0.002,2.00E-08,9,28,11,253,0.000623706
2634,09:55.8,1,5.00E-08,1,10,12,213,0.379070569
2635,09:58.5,0.02,2.00E-08,7,3,4,216,0.007171927
8355,51:01.0,0.04,4.00E-08,5,21,-13,179,0.023736504
6059,57:25.3,0.04,4.00E-08,6,35,-12,28,0.014049214
2638,10:11.2,0.1,2.00E-08,4,35,-9,51,0.047280769
8364,52:26.2,0.04,4.00E-08,5,39,-10,188,0.023736504
2640,10:21.9,0.1,2.00E-08,4,46,-5,11,0.047281229
2641,10:50.6,1,5.00E-08,0,49,22,153,0.759867338
1070,10:23.7,0.4,8.00E-08,2,3,7,129,0.189183718
2643,11:00.2,0.002,2.00E-08,8,32,-14,145,0.000906809
2644,11:01.6,0.002,2.00E-08,9,6,19,12,0.000625166
1092,14:04.3,0.4,8.00E-08,2,31,20,125,0.189183718
2646,11:10.7,0.002,2.00E-08,8,33,13,61,0.000904989
6233,25:19.7,0.04,4.00E-08,6,37,-5,218,0.014049214
2648,11:15.9,0.02,2.00E-08,7,32,-5,237,0.007169887
2649,11:17.4,0.002,2.00E-08,8,49,14,248,0.000905129
1192,28:10.6,0.4,8.00E-08,2,15,2,166,0.189183718
1781,57:18.8,0.4,8.00E-08,2,24,21,212,0.189183718
2652,11:34.5,0.002,2.00E-08,9,18,14,146,0.000624426
2653,11:42.5,0.1,2.00E-08,4,31,6,129,0.047281289
2654,11:45.1,0.02,2.00E-08,7,29,-9,239,0.007167827
2655,11:52.9,0.1,2.00E-08,4,43,-3,146,0.047283089
6402,51:46.7,0.04,4.00E-08,6,49,2,103,0.014049214
5467,25:45.4,0.2,4.00E-08,3,25,-17,242,0.094496379
2658,12:05.9,0.02,2.00E-08,7,31,5,92,0.007168367
2659,12:34.5,1,5.00E-08,0,30,-14,121,0.759866188
8352,50:48.2,0.2,4.00E-08,3,30,11,70,0.094496379
2661,13:11.2,1,5.00E-08,0,19,-1,41,0.759867988
377,17:46.7,0.2,4.00E-08,3,30,-16,74,0.094496419
2663,13:46.1,1,5.00E-08,0,24,4,49,0.759870038
2664,14:14.8,1,5.00E-08,1,9,-15,40,0.379070919
7291,04:29.8,0.04,4.00E-08,6,41,-9,100,0.014049214
2666,14:25.3,0.1,2.00E-08,4,10,-14,111,0.047280229
2667,14:28.0,0.02,2.00E-08,7,13,15,82,0.007169167
2668,14:56.5,1,5.00E-08,1,45,-15,103,0.379069869
2669,15:24.5,1,5.00E-08,0,13,-16,244,0.759866288
1611,29:31.2,0.2,4.00E-08,3,41,18,153,0.094496419
1935,21:05.3,0.4,8.00E-08,2,29,-16,20,0.189183718
2672,15:43.4,0.02,2.00E-08,7,40,-17,233,0.007173247
2673,15:46.0,0.02,2.00E-08,7,51,-1,205,0.007169207
2674,16:15.0,1,5.00E-08,0,32,14,131,0.759867388
2675,16:43.4,1,5.00E-08,1,2,21,89,0.379070019
2676,16:51.4,0.1,2.00E-08,4,0,-2,184,0.047279869
1952,23:24.9,0.2,4.00E-08,3,23,20,160,0.094496419
2678,17:01.9,0.02,2.00E-08,7,14,-8,183,0.007172567
2679,17:09.7,0.1,2.00E-08,4,36,6,226,0.047283009
1961,24:53.3,0.2,4.00E-08,3,36,8,72,0.094496419
2141,54:58.0,0.2,4.00E-08,3,18,-4,31,0.094496419
7648,02:13.3,0.04,4.00E-08,6,48,15,111,0.014049214
9788,29:51.2,0.04,4.00E-08,5,31,10,112,0.023736504
2684,17:31.6,0.002,2.00E-08,9,1,-16,166,0.000626066
2685,17:33.0,0.002,2.00E-08,9,31,-15,95,0.000623946
2686,17:34.5,0.002,2.00E-08,9,14,20,160,0.000624626
2687,18:03.3,1,5.00E-08,1,34,-8,233,0.379071719
2688,18:04.8,0.002,2.00E-08,9,50,7,55,0.000624006
894,43:28.2,0.04,4.00E-08,5,45,-11,230,0.023736544
2690,18:10.4,0.02,2.00E-08,7,37,12,123,0.007171447
2691,18:38.7,1,5.00E-08,1,15,14,107,0.379071419
2692,19:07.4,1,5.00E-08,0,9,8,86,0.759867188
2693,19:15.5,0.1,2.00E-08,4,50,11,247,0.047281649
1717,45:44.8,0.04,4.00E-08,5,10,22,138,0.023736544
2695,19:20.8,0.02,2.00E-08,7,15,8,76,0.007169107
3013,07:22.9,0.4,8.00E-08,2,16,-4,107,0.189183718
2697,19:36.8,0.1,2.00E-08,4,15,-16,171,0.047281529
2698,19:38.3,0.002,2.00E-08,9,9,12,21,0.000625066
8024,06:01.0,0.04,4.00E-08,6,39,17,126,0.014049214
2700,19:43.4,0.02,2.00E-08,7,49,21,111,0.007168407
2701,20:11.2,1,5.00E-08,1,18,20,22,0.379072269
3460,13:23.8,0.4,8.00E-08,2,1,0,232,0.189183718
2703,20:47.5,1,5.00E-08,1,4,17,171,0.379073669
2704,21:15.8,1,5.00E-08,0,43,-9,117,0.759866288
2705,21:43.2,1,5.00E-08,0,4,4,116,0.759867238
2706,21:51.1,0.1,2.00E-08,4,21,-8,236,0.047280709
2707,22:19.9,1,5.00E-08,1,41,-2,204,0.379072769
8187,29:18.5,0.04,4.00E-08,6,37,18,144,0.014049214
8210,33:03.8,0.04,4.00E-08,6,31,-3,111,0.014049214
2710,22:27.7,0.02,2.00E-08,7,45,8,253,0.007172547
2711,22:56.1,1,5.00E-08,1,7,-10,129,0.379072519
2712,22:57.7,0.002,2.00E-08,8,23,9,216,0.000905729
2713,22:59.1,0.002,2.00E-08,8,38,-14,183,0.000905649
2446,42:57.0,0.04,4.00E-08,5,35,-3,47,0.023736544
2715,23:03.1,0.002,2.00E-08,8,47,4,64,0.000905289
2716,23:04.5,0.002,2.00E-08,8,42,4,123,0.000904749
2717,23:32.6,1,5.00E-08,0,11,-10,23,0.759869888
8336,48:46.5,0.04,4.00E-08,6,12,7,165,0.014049214
2719,23:37.9,0.02,2.00E-08,7,40,-12,79,0.007171627
4240,13:48.9,0.4,8.00E-08,2,47,9,165,0.189183718
5014,17:00.0,0.4,8.00E-08,2,16,18,108,0.189183718
2722,24:22.6,1,5.00E-08,1,42,7,58,0.379070769
8464,10:41.2,0.04,4.00E-08,6,2,-10,79,0.014049214
3093,18:13.3,0.04,4.00E-08,5,20,8,106,0.023736544
4017,37:18.9,0.04,4.00E-08,5,25,-6,118,0.023736544
2726,24:58.7,1,5.00E-08,1,41,17,208,0.379072919
2727,25:01.6,0.02,2.00E-08,7,9,16,154,0.007168627
584,57:11.5,0.04,4.00E-08,5,51,11,9,0.023736584
2729,25:05.6,0.002,2.00E-08,9,31,-11,52,0.000623406
961,52:30.6,0.04,4.00E-08,5,31,1,154,0.023736584
8979,30:57.6,0.04,4.00E-08,6,16,-7,124,0.014049214
2732,25:18.4,0.1,2.00E-08,4,9,-17,23,0.047280629
2733,25:47.0,1,5.00E-08,0,50,-16,71,0.759870288
2734,25:48.6,0.002,2.00E-08,8,33,-2,148,0.000906729
2735,26:16.2,1,5.00E-08,0,13,-16,85,0.759869788
2736,26:44.9,1,5.00E-08,0,38,16,84,0.759867888
2737,26:46.4,0.002,2.00E-08,9,7,20,88,0.000623886
2738,26:54.0,0.1,2.00E-08,4,37,-5,222,0.047280109
5039,21:39.1,0.4,8.00E-08,2,9,-7,194,0.189183718
9201,05:55.6,0.04,4.00E-08,6,33,-15,222,0.014049214
2741,27:12.9,0.1,2.00E-08,4,30,1,117,0.047280269
2742,27:14.4,0.002,2.00E-08,8,36,20,172,0.000906869
5226,49:39.0,0.4,8.00E-08,2,17,20,195,0.189183718
1075,11:12.9,0.04,4.00E-08,5,29,0,232,0.023736584
2745,27:53.2,1,5.00E-08,0,49,0,151,0.759867638
2746,27:54.8,0.002,2.00E-08,8,11,18,35,0.000907529
2747,27:56.3,0.002,2.00E-08,9,14,-13,254,0.000625026
2748,27:58.8,0.02,2.00E-08,7,6,-15,134,0.007170307
9467,44:33.4,0.04,4.00E-08,6,3,12,63,0.014049214
2411,38:10.6,0.2,4.00E-08,3,5,8,109,0.094496419
9946,55:24.4,0.04,4.00E-08,6,41,-12,180,0.014049214
2752,28:19.7,0.1,2.00E-08,4,40,-15,35,0.047283749
2753,28:21.4,0.002,2.00E-08,9,7,13,224,
2754,28:22.9,0.002,2.00E-08,9,7,-13,138,0.000623986
2755,28:24.4,0.002,2.00E-08,8,32,-15,142,0.000905429
2415,38:25.3,0.2,4.00E-08,3,25,-17,148,0.094496419
2757,29:00.5,1,5.00E-08,0,15,-5,174,0.759866938
3675,45:57.0,0.2,4.00E-08,3,37,-12,71,0.094496419
1084,12:43.6,0.04,4.00E-08,6,19,18,109,0.014049254
2760,29:38.1,1,5.00E-08,1,27,0,204,0.379071219
2761,30:06.7,1,5.00E-08,0,28,10,169,0.759869838
2762,30:35.0,1,5.00E-08,1,36,5,115,0.379072819
2763,30:37.7,0.02,2.00E-08,7,22,13,70,0.007168087
4184,07:12.8,0.2,4.00E-08,3,14,12,118,0.094496419
2765,30:46.8,0.002,2.00E-08,8,34,-1,114,0.000907669
1808,00:19.9,0.04,4.00E-08,5,47,19,149,0.023736584
2767,30:50.9,0.002,2.00E-08,9,31,0,28,0.000624526
2768,30:53.4,0.02,2.00E-08,7,42,9,32,0.007169627
2769,30:54.9,0.002,2.00E-08,8,43,0,155,0.000907349
7658,03:18.3,0.2,4.00E-08,3,47,21,168,0.094496419
8607,34:07.8,0.2,4.00E-08,3,45,0,19,0.094496419
2772,31:39.5,1,5.00E-08,0,17,16,192,0.759869738
2773,31:41.1,0.002,2.00E-08,8,10,6,84,0.000905069
2774,32:09.4,1,5.00E-08,0,17,-11,231,0.759867738
9881,44:24.4,0.2,4.00E-08,3,26,-14,177,0.094496419
1212,29:55.2,0.04,4.00E-08,6,13,-11,201,0.014049254
2777,32:21.2,0.002,2.00E-08,9,46,-13,147,0.000625986
2778,32:49.2,1,5.00E-08,1,1,15,59,0.379074019
2008,32:41.9,0.04,4.00E-08,5,6,18,115,0.023736584
2780,32:59.2,0.1,2.00E-08,4,7,-5,22,0.047284029
3194,35:59.4,0.04,4.00E-08,6,2,-6,14,0.014049254
2782,33:03.2,0.002,2.00E-08,8,40,1,94,0.000906509
2783,33:10.6,0.1,2.00E-08,4,38,20,58,0.047284229
2784,33:39.0,1,5.00E-08,0,18,8,136,0.759868138
2785,33:40.6,0.002,2.00E-08,8,13,14,27,0.000906289
2786,33:42.1,0.002,2.00E-08,9,30,-3,216,0.000625166
2787,33:44.6,0.02,2.00E-08,7,42,-3,109,0.007168687
2788,34:12.0,1,5.00E-08,1,12,22,47,0.379070069
2789,34:13.7,0.002,2.00E-08,8,37,22,158,0.000905649
6207,21:12.9,0.4,8.00E-08,2,10,17,31,0.189183718
2791,34:22.9,0.002,2.00E-08,8,47,-5,110,0.000906429
2792,34:24.3,0.002,2.00E-08,8,9,14,19,0.000906509
2793,34:25.6,0.002,2.00E-08,8,1,-10,74,0.000905109
6593,22:07.3,0.4,8.00E-08,2,36,-10,24,0.189183718
2795,34:35.3,0.002,2.00E-08,9,20,2,222,0.000625926
2796,34:36.7,0.002,2.00E-08,9,33,3,84,0.000623386
2797,34:39.3,0.02,2.00E-08,7,1,-2,198,0.007173027
2798,34:41.9,0.02,2.00E-08,7,6,-8,151,0.007168947
2799,34:43.3,0.002,2.00E-08,8,6,17,61,0.000905649
2800,35:11.6,1,5.00E-08,0,5,13,57,0.759868838
2812,37:01.9,0.04,4.00E-08,5,4,-4,17,0.023736584
2802,35:42.7,1,5.00E-08,0,50,19,179,0.759866238
4081,50:50.4,0.04,4.00E-08,5,8,-17,64,0.023736584
2804,36:13.8,1,5.00E-08,1,10,-9,151,0.379073669
2805,36:15.4,0.002,2.00E-08,8,44,-2,59,0.000905089
2806,36:16.8,0.002,2.00E-08,9,22,-14,199,0.000625066
2807,36:18.2,0.002,2.00E-08,8,30,-13,97,0.000904969
5047,23:00.4,0.04,4.00E-08,6,18,6,11,0.014049254
2809,36:49.2,1,5.00E-08,0,2,-2,189,0.759869038
2810,36:56.8,0.1,2.00E-08,4,24,-1,185,0.047282209
2811,36:59.5,0.02,2.00E-08,7,47,11,195,0.007170987
4517,56:20.0,0.04,4.00E-08,5,48,-6,243,0.023736584
7098,37:58.1,0.4,8.00E-08,2,35,-9,78,0.189183718
2814,37:11.5,0.002,2.00E-08,9,33,16,204,0.000625466
2815,37:40.4,1,5.00E-08,0,11,2,212,0.759865938
2816,37:42.0,0.002,2.00E-08,9,19,-11,90,0.000623466
2817,38:10.3,1,5.00E-08,0,12,3,184,0.759866788
2818,38:12.9,0.02,2.00E-08,7,23,-14,114,0.007173507
2819,38:41.4,1,5.00E-08,1,15,19,63,0.379069869
837,33:06.4,0.2,4.00E-08,3,34,-14,196,0.094496459
2821,38:52.1,0.02,2.00E-08,7,16,-4,93,0.007168447
2822,38:54.7,0.02,2.00E-08,7,49,-8,249,0.007169847
8594,32:35.3,0.4,8.00E-08,2,29,-16,176,0.189183718
2824,39:31.6,1,5.00E-08,1,9,7,214,0.379070619
8733,53:16.9,0.4,8.00E-08,2,9,-8,185,0.189183718
2826,39:42.3,0.02,2.00E-08,7,5,5,113,0.007169727
2827,39:43.8,0.002,2.00E-08,9,16,6,241,0.000623646
2828,40:12.5,1,5.00E-08,1,27,-11,69,0.379070169
5178,41:23.1,0.04,4.00E-08,6,8,8,179,0.014049254
2830,40:16.9,0.002,2.00E-08,9,51,-15,168,0.000626146
2831,40:44.6,1,5.00E-08,0,9,7,153,0.759867738
5336,06:17.8,0.04,4.00E-08,6,36,18,64,0.014049254
6047,55:25.1,0.04,4.00E-08,6,40,13,117,0.014049254
2834,40:51.4,0.002,2.00E-08,8,46,-12,195,0.000906329
2835,40:52.8,0.002,2.00E-08,9,21,16,71,0.000624766
6447,58:26.9,0.04,4.00E-08,6,8,9,102,0.014049254
1398,59:37.4,0.2,4.00E-08,3,28,15,8,0.094496459
2838,41:11.3,0.1,2.00E-08,4,51,-17,70,0.047281389
9680,11:39.6,0.4,8.00E-08,2,46,3,159,0.189183718
2840,41:22.0,0.02,2.00E-08,7,31,-12,184,0.007169387
6559,18:03.7,0.04,4.00E-08,5,50,22,18,0.023736584
4663,20:39.3,0.2,4.00E-08,3,25,19,121,0.094496459
2843,41:35.1,0.02,2.00E-08,7,43,-5,133,0.007172387
5837,22:02.0,0.2,4.00E-08,3,36,-13,185,0.094496459
2845,42:12.2,1,5.00E-08,1,15,-15,242,0.379073519
2846,42:13.7,0.002,2.00E-08,8,43,14,4,0.000907249
2847,42:16.2,0.02,2.00E-08,7,6,-3,111,0.007174027
7573,50:30.1,0.04,4.00E-08,5,28,12,116,0.023736584
2849,42:20.3,0.002,2.00E-08,9,34,-6,87,0.000625566
9940,53:53.2,0.4,8.00E-08,2,36,21,27,0.189183718
2851,42:29.8,0.002,2.00E-08,9,21,-8,160,0.000625126
8150,24:26.1,0.04,4.00E-08,5,8,6,166,0.023736584
8579,30:12.4,0.04,4.00E-08,5,8,-11,75,0.023736584
2854,42:36.7,0.002,2.00E-08,8,28,17,134,0.000904889
8790,59:29.5,0.04,4.00E-08,5,40,13,192,0.023736584
2856,43:07.3,1,5.00E-08,0,11,-9,201,0.759868338
2857,43:08.9,0.002,2.00E-08,9,29,17,225,0.000623566
7019,28:24.1,0.2,4.00E-08,3,18,22,103,0.094496459
2859,43:17.9,0.002,2.00E-08,9,40,-1,132,0.000624166
2860,43:20.4,0.02,2.00E-08,7,43,-10,226,0.007168687
7296,05:24.8,0.2,4.00E-08,3,40,10,84,0.094496459
2862,43:57.0,1,5.00E-08,1,19,16,60,0.379069819
2863,44:25.4,1,5.00E-08,1,9,19,212,0.379073319
2864,44:33.8,0.1,2.00E-08,4,30,-7,9,0.047283069
2865,44:35.3,0.002,2.00E-08,8,29,13,214,0.000904869
7626,58:56.2,0.04,4.00E-08,6,28,10,220,0.014049254
1568,22:04.3,0.04,4.00E-08,5,47,11,19,0.023736624
1101,15:01.7,0.4,8.00E-08,2,38,14,185,0.189183798
2869,44:51.7,0.02,2.00E-08,7,43,-12,245,0.007169687
2870,44:53.1,0.002,2.00E-08,8,35,-5,80,0.000906449
2871,45:21.0,1,5.00E-08,1,43,8,17,0.379072969
7530,41:34.6,0.2,4.00E-08,3,43,-14,178,0.094496459
2873,45:30.6,0.002,2.00E-08,8,51,21,203,0.000906969
2874,45:57.7,1,5.00E-08,1,17,21,39,0.379070019
2875,45:59.2,0.002,2.00E-08,9,49,17,3,0.000625106
8254,38:46.3,0.2,4.00E-08,3,12,-14,187,0.094496459
2877,46:10.0,0.02,2.00E-08,7,6,-4,145,0.007167987
7881,45:06.4,0.04,4.00E-08,6,18,-12,128,0.014049254
1816,01:36.6,0.4,8.00E-08,2,28,-8,129,0.189183798
2880,46:48.5,1,5.00E-08,0,43,8,140,0.759866988
9014,36:09.2,0.04,4.00E-08,6,8,6,169,0.014049254
2882,46:53.0,0.002,2.00E-08,9,19,22,33,0.000623806
2883,46:55.6,0.02,2.00E-08,7,30,-4,2,0.007169007
1934,20:57.2,0.4,8.00E-08,2,0,9,196,0.189183798
2885,47:06.4,0.02,2.00E-08,7,42,9,74,0.007170387
2886,47:07.9,0.002,2.00E-08,8,45,10,86,0.000905949
2152,55:46.9,0.04,4.00E-08,5,16,2,96,0.023736624
2888,47:13.1,0.02,2.00E-08,7,1,-3,64,0.007172227
2889,47:42.0,1,5.00E-08,1,9,-12,49,0.379069919
2890,47:44.7,0.02,2.00E-08,7,37,-12,76,0.007167567
2891,48:12.7,1,5.00E-08,1,22,-13,100,0.379075569
2892,48:15.4,0.02,2.00E-08,7,44,-16,157,0.007168067
9275,17:00.7,0.04,4.00E-08,6,19,-16,193,0.014049254
9599,02:00.5,0.04,4.00E-08,6,11,9,175,0.014049254
2895,48:22.0,0.002,2.00E-08,9,31,5,2,0.000625186
2896,48:50.3,1,5.00E-08,1,20,-16,233,0.379072669
2897,48:53.1,0.02,2.00E-08,7,38,2,210,0.007168907
2898,49:21.0,1,5.00E-08,0,29,21,91,0.759868588
2899,49:22.6,0.002,2.00E-08,9,36,11,62,0.000624086
8966,28:48.1,0.2,4.00E-08,3,30,-12,30,0.094496459
2901,50:00.9,1,5.00E-08,0,11,-4,34,0.759866838
9620,05:32.4,0.2,4.00E-08,3,12,19,128,0.094496459
2903,50:16.4,0.1,2.00E-08,4,33,-6,25,0.047283049
2904,50:24.3,0.1,2.00E-08,4,30,14,83,0.047280729
4502,54:37.5,0.4,8.00E-08,2,14,-4,108,0.189183798
2186,01:03.9,0.04,4.00E-08,5,20,22,14,0.023736624
2907,51:03.2,1,5.00E-08,0,32,-12,15,0.759868388
2908,51:30.8,1,5.00E-08,0,35,-11,164,0.759866788
2266,14:34.7,0.04,4.00E-08,5,10,21,19,0.023736624
2910,51:35.0,0.002,2.00E-08,8,46,2,251,0.000905869
729,18:21.7,0.04,4.00E-08,6,22,-4,173,0.014049294
2912,52:05.5,1,5.00E-08,1,47,-17,43,0.379069169
2913,52:08.3,0.02,2.00E-08,7,10,9,141,0.007169367
2914,52:10.6,0.02,2.00E-08,7,37,-17,13,0.007169727
2915,52:39.9,1,5.00E-08,1,43,9,32,0.379069619
2916,53:08.3,1,5.00E-08,1,4,-13,203,0.379070269
2917,53:09.9,0.002,2.00E-08,8,21,7,174,0.000905529
2918,53:38.1,1,5.00E-08,0,46,-1,26,0.759866388
9687,12:32.3,0.2,4.00E-08,3,46,9,126,0.094496459
2920,53:53.7,0.1,2.00E-08,4,16,11,95,0.047281449
590,57:55.1,0.2,4.00E-08,3,46,-12,106,0.094496499
2922,54:09.2,0.1,2.00E-08,4,4,-3,245,0.047282189
4612,14:35.6,0.4,8.00E-08,2,13,13,178,0.189183798
2474,46:21.3,0.04,4.00E-08,5,48,14,199,0.023736624
2925,54:48.2,1,5.00E-08,1,15,16,216,0.379069969
2926,55:15.6,1,5.00E-08,1,5,18,131,0.379072219
2927,55:44.1,1,5.00E-08,0,10,-13,16,0.759869688
2928,56:12.5,1,5.00E-08,0,16,-1,234,0.759865838
1120,18:19.1,0.2,4.00E-08,3,0,-15,234,0.094496499
2930,56:28.5,0.1,2.00E-08,4,28,-12,211,0.047279829
2931,56:31.0,0.02,2.00E-08,7,21,13,29,0.007172707
2932,56:32.5,0.002,2.00E-08,8,43,11,25,0.000905769
2933,56:33.9,0.002,2.00E-08,8,36,7,248,0.000905909
2934,56:42.0,0.1,2.00E-08,4,10,14,123,0.047285289
4680,23:25.2,0.4,8.00E-08,2,3,3,36,0.189183798
4278,20:31.3,0.04,4.00E-08,5,36,21,10,0.023736624
1200,29:12.7,0.2,4.00E-08,3,34,10,14,0.094496499
2026,35:55.2,0.2,4.00E-08,3,45,7,86,0.094496499
2939,57:36.3,1,5.00E-08,0,24,8,10,0.759866688
2940,57:44.0,0.1,2.00E-08,4,3,12,198,0.047279689
2941,57:46.8,0.02,2.00E-08,7,13,16,236,0.007170847
3608,36:22.1,0.2,4.00E-08,3,25,21,30,0.094496499
2943,58:02.8,0.1,2.00E-08,4,10,2,27,0.047284929
3863,16:24.6,0.2,4.00E-08,3,35,1,247,0.094496499
2945,58:12.4,0.002,2.00E-08,9,25,-13,155,0.000624746
5529,33:08.8,0.2,4.00E-08,3,33,-12,190,0.094496499
6293,36:09.9,0.2,4.00E-08,3,21,-16,42,0.094496499
4857,47:58.8,0.4,8.00E-08,2,31,6,159,0.189183798
5005,14:58.8,0.4,8.00E-08,2,23,5,199,0.189183798
6778,52:58.9,0.2,4.00E-08,3,9,19,178,0.094496499
6102,02:38.2,0.4,8.00E-08,2,41,8,234,0.189183798
2952,59:29.7,1,5.00E-08,0,38,-4,210,0.759870138
2953,59:31.4,0.002,2.00E-08,8,36,8,235,0.000905709
925,48:03.2,0.04,4.00E-08,6,15,-14,107,0.014049294
2955,00:02.6,1,5.00E-08,1,23,5,15,0.379075369
1045,07:43.9,0.04,4.00E-08,6,26,18,84,0.014049294
2957,00:33.7,1,5.00E-08,1,8,9,218,0.379071769
2958,00:35.3,0.002,2.00E-08,9,51,3,141,0.000624846
6606,23:53.3,0.4,8.00E-08,2,30,-15,56,0.189183798
2960,00:51.3,0.1,2.00E-08,4,15,9,213,0.047280889
7001,25:58.0,0.2,4.00E-08,3,50,-7,105,0.094496499
2962,01:07.2,0.1,2.00E-08,4,2,-9,60,0.047280569
2963,01:15.0,0.1,2.00E-08,4,38,16,228,0.047281329
7191,52:14.1,0.2,4.00E-08,3,35,12,247,0.094496499
4645,18:39.0,0.04,4.00E-08,5,2,7,121,0.023736624
2966,01:54.3,1,5.00E-08,0,2,-2,103,0.759866288
2967,01:55.9,0.002,2.00E-08,8,50,13,150,0.000905689
2968,01:57.3,0.002,2.00E-08,9,42,-10,210,0.000624986
2969,01:58.8,0.002,2.00E-08,8,21,-12,220,0.000905569
6667,35:17.6,0.4,8.00E-08,2,38,-11,1,0.189183798
7282,02:53.7,0.4,8.00E-08,2,21,-7,112,0.189183798
5354,08:47.4,0.04,4.00E-08,5,0,12,118,0.023736624
6007,47:30.1,0.04,4.00E-08,5,15,-2,38,0.023736624
6113,04:27.3,0.04,4.00E-08,5,20,9,103,0.023736624
2975,02:30.9,0.1,2.00E-08,4,7,-5,189,0.047281269
2976,03:00.4,1,5.00E-08,0,27,10,9,0.759867288
2977,03:28.9,1,5.00E-08,0,2,19,91,0.759869338
2978,03:30.5,0.002,2.00E-08,9,32,-12,151,0.000623846
6422,54:21.9,0.04,4.00E-08,5,51,-2,197,0.023736624
1959,24:38.2,0.04,4.00E-08,6,44,1,73,0.014049294
1978,26:35.4,0.04,4.00E-08,6,28,-3,56,0.014049294
2982,03:46.6,0.1,2.00E-08,4,49,2,18,0.047281129
2983,03:54.3,0.1,2.00E-08,4,5,9,165,0.047281249
2984,04:01.9,0.1,2.00E-08,4,4,-16,17,0.047280929
2985,04:04.6,0.02,2.00E-08,7,39,11,108,0.007168927
6951,18:24.1,0.04,4.00E-08,5,26,-4,182,0.023736624
2987,04:09.7,0.02,2.00E-08,7,25,-2,211,0.007171087
7307,06:37.3,0.2,4.00E-08,3,9,-3,150,0.094496499
7366,15:05.7,0.04,4.00E-08,5,39,-3,42,0.023736624
2990,04:22.9,0.02,2.00E-08,7,11,-14,126,0.007168867
7298,05:35.3,0.4,8.00E-08,2,16,5,8,0.189183798
2992,04:32.9,0.002,2.00E-08,8,12,-8,205,0.000907149
2575,59:36.8,0.04,4.00E-08,6,8,4,157,0.014049294
3310,53:02.7,0.04,4.00E-08,6,2,6,84,0.014049294
8124,21:21.8,0.4,8.00E-08,2,12,-8,117,0.189183798
2996,05:14.9,1,5.00E-08,1,46,-4,89,0.379070669
7308,06:45.4,0.2,4.00E-08,3,13,7,113,0.094496499
9130,55:15.8,0.2,4.00E-08,3,13,17,52,0.094496499
4919,58:29.8,0.04,4.00E-08,6,0,2,58,0.014049294
3000,05:35.1,0.002,2.00E-08,9,13,19,161,0.000624286
8773,58:04.2,0.04,4.00E-08,5,16,-11,201,0.023736624
3002,05:45.6,0.1,2.00E-08,4,45,-13,124,0.047283109
3003,05:47.1,0.002,2.00E-08,8,18,-9,44,0.000905049
6067,58:44.0,0.04,4.00E-08,6,39,-8,97,0.014049294
7037,30:42.4,0.04,4.00E-08,6,17,22,151,0.014049294
9177,02:56.4,0.04,4.00E-08,5,45,4,64,0.023736624
3007,06:03.2,0.1,2.00E-08,4,15,10,42,0.047282709
8184,29:06.6,0.4,8.00E-08,2,20,15,39,0.189183798
3009,06:40.4,1,5.00E-08,0,41,8,103,0.759868738
9200,05:52.9,0.04,4.00E-08,5,48,22,57,0.023736624
3011,07:12.3,1,5.00E-08,1,17,-8,143,0.379070719
3012,07:15.0,0.02,2.00E-08,7,42,18,186,0.007169127
8249,38:30.1,0.4,8.00E-08,2,25,-12,162,0.189183798
3014,07:24.5,0.002,2.00E-08,9,10,5,246,0.000623626
3015,07:52.8,1,5.00E-08,1,24,2,26,0.379072619
9399,35:52.6,0.04,4.00E-08,6,1,0,143,0.014049294
3017,07:56.8,0.002,2.00E-08,8,21,-6,127,0.000905369
3018,08:25.2,1,5.00E-08,1,0,-6,108,0.379071019
3019,08:27.8,0.02,2.00E-08,7,46,12,231,0.007168427
3020,08:29.3,0.002,2.00E-08,8,11,12,66,0.000905369
3021,08:30.7,0.002,2.00E-08,8,30,-3,155,0.000905989
3022,08:32.1,0.002,2.00E-08,9,9,9,175,0.000625246
3023,08:33.6,0.002,2.00E-08,8,38,-16,120,0.000905489
3024,09:02.5,1,5.00E-08,1,46,22,145,0.379073569
9815,33:01.0,0.04,4.00E-08,6,9,15,216,0.014049294
8396,58:32.5,0.4,8.00E-08,2,38,19,51,0.189183798
3027,09:41.6,1,5.00E-08,1,41,1,226,0.379070319
3028,10:10.9,1,5.00E-08,1,9,-15,106,0.379070919
3029,10:13.6,0.02,2.00E-08,7,30,14,104,0.007167967
3030,10:21.2,0.1,2.00E-08,4,3,5,120,0.047281949
3031,10:50.2,1,5.00E-08,1,12,5,153,0.379072069
3032,10:51.8,0.002,2.00E-08,9,7,22,128,0.000627126
8815,02:44.7,0.4,8.00E-08,2,41,9,98,0.189183798
9190,04:41.1,0.4,8.00E-08,2,26,1,22,0.189183798
3035,11:16.3,0.1,2.00E-08,4,0,13,197,0.047281309
3036,11:17.9,0.002,2.00E-08,9,28,-7,219,0.000623586
3037,11:19.2,0.002,2.00E-08,9,45,-13,70,0.000624366
3038,11:21.8,0.02,2.00E-08,7,48,11,44,0.007171307
3039,11:50.4,1,5.00E-08,0,28,-6,220,0.759869588
9264,15:00.9,0.4,8.00E-08,2,46,5,195,0.189183798
9762,26:29.6,0.4,8.00E-08,2,16,5,23,0.189183798
9854,39:18.8,0.04,4.00E-08,6,37,-11,229,0.014049294
