sample,time,window,precision,modulation,band,power,payload,measured
196,41:39.7,0.002,2.00E-08,9,9,-13,38,0.000623406
197,41:42.4,0.02,2.00E-08,7,29,1,190,0.007170707
198,42:11.6,1,5.00E-08,0,23,-3,212,0.759868238
4499,53:52.9,0.2,4.00E-08,3,50,21,227,0.094495379
5989,44:16.2,0.04,4.00E-08,6,51,21,108,0.014048214
201,42:23.7,0.002,2.00E-08,9,4,20,85,0.000624006
4791,37:56.9,0.2,4.00E-08,3,24,-3,175,0.094495379
8119,20:33.5,0.04,4.00E-08,5,18,12,242,0.023735544
204,42:42.3,0.1,2.00E-08,4,51,-11,72,0.047282949
205,43:11.6,1,5.00E-08,1,17,-1,189,0.379072069
206,43:40.4,1,5.00E-08,0,34,-16,205,0.759867838
2017,34:54.1,0.04,4.00E-08,6,46,-9,174,0.014048254
9371,31:49.2,0.2,4.00E-08,3,45,-1,95,0.094495379
2440,42:05.6,0.04,4.00E-08,6,51,21,231,0.014048254
727,18:16.7,0.04,4.00E-08,5,16,6,135,0.023735584
211,44:25.3,1,5.00E-08,0,15,-14,189,0.759867238
3422,08:43.3,0.2,4.00E-08,3,17,17,180,0.094495419
213,44:34.8,0.002,2.00E-08,9,48,18,120,0.000624666
214,45:03.3,1,5.00E-08,1,23,3,113,0.379073119
5274,57:51.3,0.04,4.00E-08,6,13,-16,230,0.014048254
2724,24:27.8,0.04,4.00E-08,5,32,21,244,0.023735584
3906,23:50.4,0.2,4.00E-08,3,1,-1,158,0.094495419
218,45:19.1,0.02,2.00E-08,7,30,7,6,0.007168587
219,45:20.5,0.002,2.00E-08,8,28,-6,94,0.000906109
220,45:23.0,0.02,2.00E-08,7,50,2,94,0.007171207
221,45:25.5,0.02,2.00E-08,7,35,-10,56,0.007172467
222,45:27.9,0.02,2.00E-08,7,35,16,248,0.007169087
223,45:29.4,0.002,2.00E-08,8,29,-13,193,0.000906109
224,45:30.8,0.002,2.00E-08,8,18,12,143,0.000905789
225,45:32.2,0.002,2.00E-08,9,0,11,171,0.000626006
4478,49:41.4,0.04,4.00E-08,5,38,-9,145,0.023735584
4288,22:28.4,0.2,4.00E-08,3,47,14,184,0.094495419
5410,16:24.8,0.04,4.00E-08,5,11,-15,108,0.023735584
229,46:13.9,1,5.00E-08,1,5,2,104,0.379072219
1510,14:25.7,0.2,4.00E-08,3,44,8,184,0.094495459
231,46:51.3,1,5.00E-08,0,14,15,224,0.759871638
232,46:54.2,0.02,2.00E-08,7,24,3,116,0.007172027
2287,17:56.3,0.4,8.00E-08,2,8,-8,70,0.189182598
234,47:46.4,1,5.00E-08,1,31,13,244,0.379074119
2696,19:28.8,0.4,8.00E-08,2,46,22,129,0.189182598
236,48:00.3,0.02,2.00E-08,7,40,-15,90,0.007168327
6303,38:03.6,0.04,4.00E-08,5,31,-6,17,0.023735584
6441,57:32.3,0.2,4.00E-08,3,32,-14,124,0.094495459
9217,08:29.8,0.2,4.00E-08,3,32,-2,6,0.094495459
460,37:31.2,0.2,4.00E-08,3,51,20,73,0.094495499
7942,54:07.5,0.04,4.00E-08,5,12,-3,156,0.023735584
242,48:42.1,0.002,2.00E-08,8,30,-4,109,0.000905889
3892,22:08.8,0.4,8.00E-08,2,25,-15,123,0.189182598
244,48:55.2,0.002,2.00E-08,9,21,4,169,0.000623846
245,49:34.4,1,5.00E-08,0,26,-5,69,0.759866888
246,49:36.0,0.002,2.00E-08,8,29,4,249,0.000905189
247,50:19.2,1,5.00E-08,1,39,-12,129,0.379069719
248,51:05.0,1,5.00E-08,1,35,0,211,0.379070419
249,51:06.7,0.002,2.00E-08,8,46,3,223,0.000904609
1038,06:23.2,0.2,4.00E-08,3,51,-15,188,0.094495499
251,52:00.3,1,5.00E-08,0,39,8,243,0.759866738
252,52:46.2,1,5.00E-08,1,41,17,66,0.379070119
253,53:31.4,1,5.00E-08,0,48,1,123,0.759867488
1729,47:53.1,0.2,4.00E-08,3,15,14,1,0.094495499
784,25:55.6,0.04,4.00E-08,5,28,1,142,0.023735624
256,53:57.1,0.1,2.00E-08,4,31,4,198,0.047280429
257,53:58.7,0.002,2.00E-08,9,15,-2,103,0.000624066
258,54:47.5,1,5.00E-08,1,9,19,247,0.379070319
8212,33:07.9,0.04,4.00E-08,5,28,-7,135,0.023735624
260,55:36.9,1,5.00E-08,0,16,0,65,0.759867588
8651,40:23.8,0.04,4.00E-08,5,35,-1,17,0.023735624
262,55:42.1,0.002,2.00E-08,8,48,7,148,0.000905069
263,55:43.5,0.002,2.00E-08,9,30,17,13,0.000623786
264,55:46.9,0.02,2.00E-08,7,17,-6,223,0.007168567
265,56:29.3,1,5.00E-08,1,36,-13,223,0.379070019
266,56:40.6,0.1,2.00E-08,4,16,-17,172,0.047282689
6971,21:04.5,0.4,8.00E-08,2,31,14,142,0.189182598
268,57:29.1,1,5.00E-08,1,34,-12,214,0.379070169
3130,23:58.0,0.04,4.00E-08,6,36,3,210,0.014048294
270,57:42.7,0.1,2.00E-08,4,22,6,228,0.047284449
8397,58:40.5,0.4,8.00E-08,2,36,6,62,0.189182598
272,58:36.3,1,5.00E-08,0,12,14,91,0.759869938
273,59:21.1,1,5.00E-08,0,9,21,191,0.759866638
274,59:32.7,0.1,2.00E-08,4,45,10,1,0.047282489
275,59:36.2,0.02,2.00E-08,7,21,-1,209,0.007168687
276,59:37.6,0.002,2.00E-08,9,0,-4,70,0.000624626
277,59:39.0,0.002,2.00E-08,9,40,-6,103,
5481,26:58.2,0.04,4.00E-08,6,40,4,110,0.014048294
2681,17:25.1,0.2,4.00E-08,3,18,-13,71,0.094495499
928,48:15.0,0.04,4.00E-08,5,24,7,68,0.023735664
281,00:00.5,0.02,2.00E-08,7,10,6,241,0.007170867
282,00:04.1,0.02,2.00E-08,7,45,0,11,0.007170307
283,00:05.6,0.002,2.00E-08,8,36,-5,130,0.000905269
284,00:16.2,0.1,2.00E-08,4,17,5,30,0.047282189
285,00:17.6,0.002,2.00E-08,8,32,-6,2,0.000907389
2444,42:26.1,0.04,4.00E-08,6,38,-12,120,0.014048334
287,00:22.4,0.002,2.00E-08,9,16,2,60,0.000625066
288,00:25.8,0.02,2.00E-08,7,29,-1,72,0.007173047
289,00:27.3,0.002,2.00E-08,8,21,-5,130,0.000906569
290,00:30.7,0.02,2.00E-08,7,32,-7,201,0.007169167
291,01:09.2,1,5.00E-08,1,21,1,83,0.379070469
292,01:10.9,0.002,2.00E-08,9,18,2,102,0.000625046
293,01:12.3,0.002,2.00E-08,9,2,-11,226,0.000624386
294,01:13.7,0.002,2.00E-08,9,6,15,167,0.000624846
295,01:15.1,0.002,2.00E-08,8,22,-9,26,0.000906929
3264,46:54.5,0.2,4.00E-08,3,12,7,1,0.094495499
7933,52:42.1,0.04,4.00E-08,6,15,22,66,0.014048334
1820,02:03.0,0.4,8.00E-08,2,47,-13,72,0.189182678
299,02:23.0,1,5.00E-08,1,13,17,10,0.379070719
1635,34:05.5,0.04,4.00E-08,5,38,-2,43,0.023735664
3147,28:05.0,0.04,4.00E-08,5,16,9,21,0.023735664
731,18:52.8,0.04,4.00E-08,6,34,-7,224,0.014048374
4182,07:02.3,0.2,4.00E-08,3,39,9,133,0.094495499
304,02:46.5,0.002,2.00E-08,9,41,10,140,0.000624026
305,03:30.4,1,5.00E-08,1,3,0,122,0.379072619
306,03:34.1,0.02,2.00E-08,7,17,-15,147,0.007168727
1940,21:53.7,0.4,8.00E-08,2,38,4,218,0.189182678
308,04:32.3,1,5.00E-08,1,6,-9,141,0.379072169
309,04:43.1,0.1,2.00E-08,4,38,15,20,0.047279869
310,05:22.6,1,5.00E-08,1,51,20,242,0.379073769
311,05:24.2,0.002,2.00E-08,9,9,8,130,0.000624866
2981,03:38.7,0.04,4.00E-08,6,23,13,197,0.014048374
313,05:29.2,0.002,2.00E-08,8,12,1,210,0.000905869
2201,03:45.2,0.4,8.00E-08,2,21,0,237,0.189182678
315,05:41.7,0.002,2.00E-08,9,0,-14,58,0.000625006
