sample,time,window,precision,modulation,band,power,payload,tx2txdone
55,2018-06-05 13:11:59.544668,0.2,2.000002000002e-07,6,41,2,88,0.0878906878906879
56,2018-06-05 13:12:03.189699,0.4,4.000004000004e-07,6,8,21,217,0.19797019797019796
57,2018-06-05 13:12:18.212997,2.0,4.00000080000016e-07,2,29,8,95,0.9607165921433184
58,2018-06-05 13:12:36.562513,4.0,8.00000160000032e-07,2,7,15,130,1.24743304948661
59,2018-06-05 13:12:37.895511,0.02,2.0000200002000021e-07,9,13,8,234,0.010114301143011432
60,2018-06-05 13:12:50.046525,1.0,2.00000040000008e-07,3,8,9,41,0.27566505513301104
61,2018-06-05 13:12:53.650523,0.4,4.000004000004e-07,6,7,7,219,0.20052980052980054
62,2018-06-05 13:13:12.382511,4.0,8.00000160000032e-07,3,24,19,218,1.0948570189714038
63,2018-06-05 13:13:31.815021,4.0,8.00000160000032e-07,2,50,-1,169,1.575109115021823
64,2018-06-05 13:14:34.509393,10.0,5.000000250000012e-07,1,33,16,112,2.412733620636681
65,2018-06-05 13:14:37.852576,0.4,4.000004000004e-07,6,3,1,215,0.197970997970998
66,2018-06-05 13:15:08.754594,0.04,4.0000400004000043e-07,9,27,5,254,
67,2018-06-05 13:15:09.723570,0.004,4.0004000400040005e-07,9,0,0,19,0.0015145514551455146
68,2018-06-05 13:15:13.352564,0.4,4.000004000004e-07,6,45,7,168,0.15700975700975703
69,2018-06-05 13:15:14.330566,0.004,4.0004000400040005e-07,9,42,20,24,0.001714971497149715
70,2018-06-05 13:15:26.223566,1.0,2.00000040000008e-07,5,15,2,177,0.28411245682249137
71,2018-06-05 13:16:26.815565,10.0,5.000000250000012e-07,1,32,20,174,3.559602177980109
72,2018-06-05 13:16:27.794565,0.002,2.0002000200020003e-07,9,27,10,3,0.0008748874887488749
73,2018-06-05 13:16:28.921568,0.01,1.0000100001000011e-07,8,38,12,31,0.003064430644306443
74,2018-06-05 13:16:30.147566,0.01,1.0000100001000011e-07,9,34,-2,58,0.0030742307423074233
75,2018-06-05 13:16:33.594565,0.4,4.000004000004e-07,7,21,-2,197,0.10805050805050806
76,2018-06-05 13:16:48.649566,2.0,4.00000080000016e-07,3,39,21,165,0.849100569820114
77,2018-06-05 13:17:03.668567,2.0,4.00000080000016e-07,3,49,11,120,0.6443017288603458
78,2018-06-05 13:17:34.578594,0.4,4.000004000004e-07,7,39,13,246,
79,2018-06-05 13:17:36.127568,0.02,2.0000200002000021e-07,8,13,15,122,0.00888648886488865
80,2018-06-05 13:17:39.796565,0.4,4.000004000004e-07,5,48,9,101,0.1714737714737715
81,2018-06-05 13:17:41.251567,0.04,4.0000400004000043e-07,8,35,21,167,0.011766517665176652
82,2018-06-05 13:17:53.617567,1.0,2.00000040000008e-07,5,46,11,218,0.34555266911053384
