sample,time,window,precision,modulation,band,power,payload,measured
254,28:17.7,0.1,1.00E-07,3,30,7,9,0.06992247
255,28:21.5,0.1,1.00E-07,3,8,10,6,0.06992177
256,28:22.9,0.001,1.00E-07,9,39,-10,15,0.000386339
264,28:44.1,0.01,1.00E-07,7,29,11,11,0.007170472
79,20:15.7,0.01,1.00E-07,7,45,7,1,0.007170372
259,28:27.4,0.001,1.00E-07,9,29,10,4,0.000385939
260,28:31.3,0.04,4.00E-08,5,34,6,4,0.017595218
261,28:34.9,0.1,1.00E-07,3,21,2,3,0.06992167
262,28:38.5,0.1,1.00E-07,3,47,12,19,0.06992297
263,28:42.5,0.1,1.00E-07,3,44,-9,10,0.06992277
160,24:11.2,0.01,1.00E-07,7,33,7,0,0.007170372
265,28:45.4,0.001,1.00E-07,9,20,19,16,0.000387039
161,24:12.8,0.01,1.00E-07,7,15,12,6,0.007170372
267,28:48.2,0.001,1.00E-07,9,11,-8,1,0.000385239
268,28:49.6,0.001,1.00E-07,9,5,-11,18,0.000385739
269,28:53.2,0.1,1.00E-07,3,50,-7,14,0.06992417
270,28:54.6,0.001,1.00E-07,9,20,22,10,0.000386239
271,28:58.4,0.1,1.00E-07,3,20,-17,9,0.06992687
266,28:46.9,0.01,1.00E-07,7,11,18,19,0.007170372
350,32:24.2,0.01,1.00E-07,7,36,-12,7,0.007170372
274,29:05.5,0.1,1.00E-07,3,23,-10,0,0.06992317
275,29:09.3,0.04,4.00E-08,5,40,-12,20,0.017594498
276,29:13.1,0.1,1.00E-07,3,37,-1,17,0.06992177
277,29:17.1,0.1,1.00E-07,3,25,-16,9,0.06992187
278,29:20.7,0.1,1.00E-07,3,19,12,15,0.06992227
279,29:22.1,0.001,1.00E-07,9,31,3,16,0.000385939
280,29:26.2,0.04,4.00E-08,5,6,12,17,0.017597058
281,29:30.1,0.1,1.00E-07,3,22,-9,10,0.06992257
282,29:31.5,0.001,1.00E-07,9,14,10,15,0.000386039
378,33:38.1,0.01,1.00E-07,7,14,2,2,0.007170272
88,20:35.3,0.01,1.00E-07,7,16,-7,1,0.007170172
285,29:38.0,0.1,1.00E-07,3,22,19,0,0.06992607
286,29:39.4,0.001,1.00E-07,9,41,8,5,0.000385539
287,29:43.5,0.1,1.00E-07,3,10,-12,2,0.06992147
288,29:45.0,0.001,1.00E-07,9,37,11,18,0.000385039
289,29:46.3,0.001,1.00E-07,9,17,-17,20,0.000386939
290,29:50.1,0.04,4.00E-08,5,40,-8,7,0.017594778
291,29:51.6,0.001,1.00E-07,9,19,-12,17,
292,29:55.4,0.04,4.00E-08,5,16,-4,4,0.017597338
293,29:59.3,0.04,4.00E-08,5,35,20,12,0.017594698
294,30:02.8,0.1,1.00E-07,3,11,-3,7,0.06992287
295,30:04.2,0.001,1.00E-07,9,10,13,4,0.000387039
296,30:07.8,0.1,1.00E-07,3,42,21,14,0.06992117
186,25:20.9,0.01,1.00E-07,7,0,-14,5,0.007170172
298,30:13.4,0.04,4.00E-08,5,37,-12,11,0.017595738
273,29:01.8,0.01,1.00E-07,7,0,-10,3,0.007170172
300,30:18.9,0.1,1.00E-07,3,47,-15,2,0.06992197
301,30:20.3,0.001,1.00E-07,9,38,-8,7,0.000386939
302,30:24.1,0.04,4.00E-08,5,10,-14,19,0.017597778
303,30:25.5,0.001,1.00E-07,9,40,15,18,
304,30:26.8,0.001,1.00E-07,9,13,12,16,0.000385639
305,30:30.7,0.1,1.00E-07,3,30,0,8,0.06992607
306,30:32.1,0.001,1.00E-07,9,48,14,2,0.000386339
315,30:49.4,0.01,1.00E-07,7,51,2,2,0.007170172
308,30:36.8,0.04,4.00E-08,5,49,5,1,0.017594938
309,30:38.2,0.001,1.00E-07,9,3,-5,12,0.000386539
310,30:39.5,0.001,1.00E-07,9,12,-5,18,0.000384938
311,30:43.6,0.1,1.00E-07,3,20,15,10,0.06992207
345,32:11.8,0.01,1.00E-07,7,1,-14,20,0.007170172
313,30:46.5,0.001,1.00E-07,9,38,-13,8,0.000385839
314,30:47.8,0.001,1.00E-07,9,28,20,10,0.000386339
198,25:54.2,0.01,1.00E-07,7,51,-6,1,0.007170072
316,30:53.1,0.1,1.00E-07,3,25,-15,16,0.06992147
317,30:54.5,0.001,1.00E-07,9,50,0,1,0.000385739
318,30:55.8,0.001,1.00E-07,9,48,1,11,0.000387539
319,30:59.5,0.1,1.00E-07,3,8,-2,10,0.06992567
320,31:03.2,0.1,1.00E-07,3,5,17,15,0.06992587
312,30:45.2,0.01,1.00E-07,7,1,18,18,0.007170072
396,34:29.8,0.01,1.00E-07,7,17,-14,2,0.007170072
323,31:10.1,0.04,4.00E-08,5,46,9,4,0.017594138
128,22:33.0,0.01,1.00E-07,7,43,-5,4,0.007169972
325,31:15.6,0.04,4.00E-08,5,19,3,3,0.017595738
326,31:17.0,0.001,1.00E-07,9,6,8,2,0.000386939
327,31:20.9,0.04,4.00E-08,5,14,11,13,0.017598338
328,31:24.6,0.04,4.00E-08,5,5,5,1,0.017599258
380,33:43.5,0.01,1.00E-07,7,46,17,17,0.007169972
330,31:30.4,0.1,1.00E-07,3,15,-8,17,0.06992197
