sample,time,window,precision,modulation,band,preamble,offset,valid
70,2018-06-14 17:08:49.934355,0.4,4.0004000400040005e-05,3,43,3,454073,True
71,2018-06-14 17:08:51.670885,0.4,4.0004000400040005e-05,3,14,11,587312,True
72,2018-06-14 17:08:53.036882,0.04,4.004004004004004e-05,9,11,6,4366,True
73,2018-06-14 17:08:54.472451,0.1,1.0001000100010001e-05,7,9,8,11160,True
74,2018-06-14 17:08:55.842476,0.04,4.004004004004004e-05,9,11,4,1980,True
75,2018-06-14 17:09:01.691070,2.0,2.000020000200002e-05,1,37,12,1911069,True
76,2018-06-14 17:09:03.226739,0.2,2.0002000200020003e-05,5,18,11,207651,True
77,2018-06-14 17:09:06.527309,1.0,1.000010000100001e-05,2,33,8,979987,True
78,2018-06-14 17:09:07.899184,0.04,4.004004004004004e-05,8,37,6,5056,True
79,2018-06-14 17:09:09.222397,0.04,4.004004004004004e-05,9,48,5,1966,False
80,2018-06-14 17:09:11.001309,0.4,4.0004000400040005e-05,2,46,4,642169,True
81,2018-06-14 17:09:14.255836,1.0,1.000010000100001e-05,3,9,10,1152570,False
82,2018-06-14 17:09:15.688947,0.1,1.0001000100010001e-05,6,39,4,49704,True
83,2018-06-14 17:09:17.115044,0.1,1.0001000100010001e-05,5,45,6,174948,False
84,2018-06-14 17:09:23.053688,2.0,2.000020000200002e-05,0,15,6,5128827,True
85,2018-06-14 17:09:24.462232,0.04,4.004004004004004e-05,8,6,6,5502,True
86,2018-06-14 17:09:25.799442,0.04,4.004004004004004e-05,9,51,8,5526,False
87,2018-06-14 17:09:27.576178,0.4,4.0004000400040005e-05,3,36,12,397482,True
88,2018-06-14 17:09:28.944651,0.04,4.004004004004004e-05,8,23,10,4678,False
89,2018-06-14 17:09:30.380341,0.1,1.0001000100010001e-05,7,7,10,28268,True
90,2018-06-14 17:09:31.814167,0.1,1.0001000100010001e-05,5,3,3,95144,True
91,2018-06-14 17:09:37.632784,2.0,2.000020000200002e-05,1,8,11,3264988,True
92,2018-06-14 17:09:39.014243,0.04,4.004004004004004e-05,8,34,10,11156,False
93,2018-06-14 17:09:40.448430,0.1,1.0001000100010001e-05,7,11,5,51816,True
94,2018-06-14 17:09:41.879954,0.1,1.0001000100010001e-05,7,32,4,3357,False
95,2018-06-14 17:09:43.311591,0.1,1.0001000100010001e-05,7,42,5,54482,False
96,2018-06-14 17:09:45.095571,0.4,4.0004000400040005e-05,2,14,5,113897,False
97,2018-06-14 17:09:50.944058,2.0,2.000020000200002e-05,1,30,9,3012972,True
98,2018-06-14 17:09:52.369787,0.1,1.0001000100010001e-05,7,44,7,57932,False
99,2018-06-14 17:09:53.915786,0.2,2.0002000200020003e-05,5,43,12,290894,False
100,2018-06-14 17:09:57.157319,1.0,1.000010000100001e-05,2,6,3,1133522,True
101,2018-06-14 17:09:58.527357,0.04,4.004004004004004e-05,8,0,8,2708,True
102,2018-06-14 17:09:59.854693,0.04,4.004004004004004e-05,9,46,8,4948,True
103,2018-06-14 17:10:01.179817,0.04,4.004004004004004e-05,9,17,6,717,True
104,2018-06-14 17:10:02.754978,0.2,2.0002000200020003e-05,3,0,7,271304,True
105,2018-06-14 17:10:13.687338,4.0,4.000040000400004e-05,0,29,12,9459098,False
106,2018-06-14 17:10:15.112743,0.1,1.0001000100010001e-05,7,7,9,34886,True
107,2018-06-14 17:10:16.696534,0.2,2.0002000200020003e-05,3,39,9,171556,False
108,2018-06-14 17:10:18.071453,0.04,4.004004004004004e-05,8,47,9,2817,True
109,2018-06-14 17:10:21.609979,1.0,1.000010000100001e-05,0,25,4,1460336,False
110,2018-06-14 17:10:23.155026,0.2,2.0002000200020003e-05,4,10,8,123769,True
111,2018-06-14 17:10:24.581420,0.1,1.0001000100010001e-05,6,31,5,46501,True
112,2018-06-14 17:10:26.006673,0.1,1.0001000100010001e-05,6,32,10,107742,True
113,2018-06-14 17:10:27.785127,0.4,4.0004000400040005e-05,2,6,4,547512,True
