sample,time,window,precision,modulation,band,power,payload,tx2txdone
280,2018-06-06 22:39:42.924860,0.4,8.000001600000321e-08,6,8,-3,195,0.18260867652173532
281,2018-06-06 22:40:31.012503,10.0,5.000000250000012e-07,0,48,20,78,3.3507041675352083
282,2018-06-06 22:41:43.177181,20.0,1.0000000500000025e-06,0,40,21,236,8.593533429676672
283,2018-06-06 22:42:14.112256,0.04,4.000004000004e-08,9,10,4,249,
284,2018-06-06 22:43:02.129705,10.0,5.000000250000012e-07,1,6,3,204,4.1330322066516105
285,2018-06-06 22:43:28.399405,1.0,5.0000002500000126e-08,5,31,9,189,0.30459006522950327
286,2018-06-06 22:43:35.786305,0.4,8.000001600000321e-08,7,44,-2,234,0.12852954570590916
287,2018-06-06 22:44:04.248869,2.0,1.0000000500000025e-07,2,36,1,74,0.796873339843667
288,2018-06-06 22:44:06.366806,0.01,1.000001000001e-08,9,12,12,87,0.004272724272724273
289,2018-06-06 22:44:13.284229,0.4,8.000001600000321e-08,7,0,18,193,0.10676866135373228
290,2018-06-06 22:44:15.538502,0.04,4.000004000004e-08,9,18,-2,235,0.010192970192970194
291,2018-06-06 22:44:22.512224,0.1,2.0000004000000802e-08,7,3,11,30,0.023568864713772945
292,2018-06-06 22:45:09.734830,10.0,5.000000250000012e-07,1,51,1,159,3.3138411656920583
293,2018-06-06 22:45:35.663803,1.0,5.0000002500000126e-08,3,24,19,60,0.37806136890306846
294,2018-06-06 22:45:37.861923,0.02,2.000002000002e-08,9,42,6,189,0.008352228352228352
295,2018-06-06 22:46:06.858755,2.0,1.0000000500000025e-07,4,17,7,228,0.6396918319845916
296,2018-06-06 22:46:14.409168,0.4,8.000001600000321e-08,6,35,2,116,0.11604842320968466
297,2018-06-06 22:46:16.618950,0.02,2.000002000002e-08,9,5,0,135,0.006192646192646193
298,2018-06-06 22:47:04.897371,10.0,5.000000250000012e-07,0,38,0,112,4.4975732248786615
299,2018-06-06 22:47:53.038413,10.0,5.000000250000012e-07,2,21,12,230,2.107580105379005
300,2018-06-06 22:48:00.553073,0.4,8.000001600000321e-08,7,0,-3,167,0.09396817879363577
301,2018-06-06 22:49:12.381345,20.0,1.0000000500000025e-06,0,14,10,229,8.26585741329287
302,2018-06-06 22:49:19.957291,0.4,8.000001600000321e-08,6,41,5,127,0.12372778474555697
303,2018-06-06 22:50:08.193841,10.0,5.000000250000012e-07,0,48,12,104,4.16989620849481
304,2018-06-06 22:50:14.861046,0.1,2.0000004000000802e-08,6,11,2,16,0.029008805801761163
305,2018-06-06 22:50:22.462500,0.4,8.000001600000321e-08,6,9,14,113,0.11348898269779656
306,2018-06-06 22:50:29.810020,0.4,8.000001600000321e-08,6,19,10,178,0.1672473934494787
307,2018-06-06 22:51:18.338058,10.0,5.000000250000012e-07,0,41,9,54,2.531512126575606
308,2018-06-06 22:51:25.351696,0.1,2.0000004000000802e-08,6,8,4,29,0.04180864836172968
309,2018-06-06 22:51:52.257046,1.0,5.0000002500000126e-08,4,17,17,135,0.40417312020865603
310,2018-06-06 22:51:54.519859,0.02,2.000002000002e-08,8,23,20,87,0.00670974670974671
311,2018-06-06 22:53:06.173229,20.0,1.0000000500000025e-06,0,23,18,159,5.972118298605915
312,2018-06-06 22:53:13.267818,0.4,8.000001600000321e-08,4,21,9,51,0.1891361178272236
313,2018-06-06 22:53:39.975987,1.0,5.0000002500000126e-08,5,49,5,222,0.3506695675334784
314,2018-06-06 22:54:08.925836,2.0,1.0000000500000025e-07,4,4,20,222,0.6192110309605515
315,2018-06-06 22:54:41.676844,4.0,2.000000100000005e-07,2,38,18,167,1.575106078755304
316,2018-06-06 22:54:43.842618,0.04,4.000004000004e-08,8,20,5,203,0.014132214132214133
317,2018-06-06 22:54:44.937637,0.004,4.000040000400004e-08,9,19,7,10,0.0011923719237192372
318,2018-06-06 22:55:13.430986,2.0,1.0000000500000025e-07,3,26,12,99,0.5623809281190464
319,2018-06-06 22:56:00.851052,10.0,5.000000250000012e-07,1,45,-1,108,2.3308101165405057
320,2018-06-06 22:56:27.034826,1.0,5.0000002500000126e-08,6,26,10,213,0.197967159898358
321,2018-06-06 22:57:38.172441,20.0,1.0000000500000025e-06,0,30,21,150,5.644442282222114
322,2018-06-06 22:58:25.816944,10.0,5.000000250000012e-07,1,47,14,92,2.08505360425268
323,2018-06-06 22:58:33.102356,0.2,4.0000008000001605e-08,5,21,9,43,0.0895521379104276
324,2018-06-06 22:58:40.415170,0.4,8.000001600000321e-08,5,47,9,85,0.15099339019867805
325,2018-06-06 22:58:42.545399,0.02,2.000002000002e-08,9,41,9,172,0.0076722476722476726
326,2018-06-06 22:59:16.739520,4.0,2.000000100000005e-07,1,25,12,62,1.5116182755809138
327,2018-06-06 22:59:43.115679,1.0,5.0000002500000126e-08,6,1,12,237,0.21844696092234805
328,2018-06-06 22:59:45.221427,0.04,4.000004000004e-08,7,18,-2,18,0.01716889716889717
329,2018-06-06 23:00:57.574927,20.0,1.0000000500000025e-06,0,18,3,147,5.644442282222114
330,2018-06-06 23:00:59.763599,0.04,4.000004000004e-08,8,21,22,164,0.011636411636411638
331,2018-06-06 23:01:28.869863,2.0,1.0000000500000025e-07,2,47,10,44,0.5511164275558214
332,2018-06-06 23:01:58.131516,2.0,1.0000000500000025e-07,3,40,16,134,0.7057381352869068
333,2018-06-06 23:02:05.323131,0.1,2.0000004000000802e-08,7,25,21,64,0.041488668297733663
334,2018-06-06 23:02:06.408921,0.002,2.000020000200002e-08,9,18,21,2,0.0008734087340873409
335,2018-06-06 23:02:13.848023,0.4,8.000001600000321e-08,7,43,-3,199,0.11060866212173244
336,2018-06-06 23:02:21.352137,0.4,8.000001600000321e-08,7,48,9,168,0.09396889879377977
337,2018-06-06 23:02:52.261153,0.04,4.000004000004e-08,9,15,19,254,
338,2018-06-06 23:03:18.383595,1.0,5.0000002500000126e-08,4,36,-3,161,0.46561247328062366
339,2018-06-06 23:04:06.532083,10.0,5.000000250000012e-07,1,48,21,150,3.1500026575001328
340,2018-06-06 23:04:33.198534,1.0,5.0000002500000126e-08,4,41,15,121,0.3632135681606784
341,2018-06-06 23:05:01.945882,2.0,1.0000000500000025e-07,2,36,7,84,0.8787929439396472
342,2018-06-06 23:05:04.228424,0.04,4.000004000004e-08,8,10,5,137,0.00990940990940991
343,2018-06-06 23:05:11.542676,0.4,8.000001600000321e-08,7,18,1,234,0.12852890570578115
344,2018-06-06 23:05:13.600363,0.01,1.000001000001e-08,8,12,-2,18,0.0022941522941522944
345,2018-06-06 23:05:42.308016,2.0,1.0000000500000025e-07,1,41,-1,15,0.6924266346213317
346,2018-06-06 23:05:49.632765,0.2,4.0000008000001605e-08,7,15,12,138,0.07860981572196316
347,2018-06-06 23:05:51.695372,0.02,2.000002000002e-08,9,50,19,151,0.006832306832306833
348,2018-06-06 23:06:25.241043,4.0,2.000000100000005e-07,0,38,18,40,2.039997701999885
349,2018-06-06 23:07:01.561775,4.0,2.000000100000005e-07,3,4,9,253,
350,2018-06-06 23:07:52.669823,10.0,5.000000250000012e-07,0,22,2,98,4.006059700302985
351,2018-06-06 23:08:00.086644,0.4,8.000001600000321e-08,6,5,1,131,0.12884786576957316
352,2018-06-06 23:08:26.473646,1.0,5.0000002500000126e-08,5,14,12,181,0.29435061471753077
353,2018-06-06 23:08:28.553702,0.04,4.000004000004e-08,7,31,8,10,0.01332921332921333
354,2018-06-06 23:08:56.600431,2.0,1.0000000500000025e-07,2,31,20,54,0.6330349316517466
355,2018-06-06 23:09:27.512216,0.04,4.000004000004e-08,8,31,2,250,
356,2018-06-06 23:10:15.717990,10.0,5.000000250000012e-07,1,4,19,89,2.00313360015668
357,2018-06-06 23:10:23.232051,0.4,8.000001600000321e-08,6,6,13,146,0.14164770832954168
358,2018-06-06 23:11:35.164675,20.0,1.0000000500000025e-06,0,7,22,161,6.135957306797865
359,2018-06-06 23:11:37.362123,0.02,2.000002000002e-08,8,32,5,112,0.00830832830832831
360,2018-06-06 23:12:25.201227,10.0,5.000000250000012e-07,1,28,18,129,2.7404061370203068
361,2018-06-06 23:12:26.304478,0.004,4.000040000400004e-08,9,22,12,12,0.0012727327273272734
362,2018-06-06 23:12:33.905816,0.4,8.000001600000321e-08,6,38,16,158,0.1518896303779261
363,2018-06-06 23:12:36.077546,0.02,2.000002000002e-08,7,16,19,1,0.00948902948902949
364,2018-06-06 23:13:02.515947,1.0,5.0000002500000126e-08,4,10,4,149,0.4348945217447261
365,2018-06-06 23:13:09.497790,0.2,4.0000008000001605e-08,6,12,6,51,0.059730851946170394
366,2018-06-06 23:13:11.813053,0.02,2.000002000002e-08,9,13,19,165,0.007393247393247393
367,2018-06-06 23:14:23.384026,20.0,1.0000000500000025e-06,0,32,-2,168,6.299795314989765
368,2018-06-06 23:14:25.593447,0.01,1.000001000001e-08,8,28,0,22,0.002548812548812549
369,2018-06-06 23:15:12.792422,10.0,5.000000250000012e-07,1,11,22,190,3.8872761943638094
370,2018-06-06 23:16:01.206262,10.0,5.000000250000012e-07,0,34,20,44,2.2038351101917555
371,2018-06-06 23:16:49.258071,10.0,5.000000250000012e-07,0,10,18,84,3.514542675727134
372,2018-06-06 23:18:01.497498,20.0,1.0000000500000025e-06,0,41,14,209,7.610502380525118
373,2018-06-06 23:18:30.167306,2.0,1.0000000500000025e-07,3,33,20,137,0.7262179363108968
374,2018-06-06 23:18:32.401385,0.01,1.000001000001e-08,9,42,-3,40,0.0023923523923523927
375,2018-06-06 23:18:39.921222,0.4,8.000001600000321e-08,5,46,11,50,0.099793219958644
376,2018-06-06 23:19:09.339852,2.0,1.0000000500000025e-07,3,21,-1,118,0.6442987322149366
377,2018-06-06 23:19:35.851709,1.0,5.0000002500000126e-08,5,25,12,150,0.2482719124135956
378,2018-06-06 23:19:43.302305,0.4,8.000001600000321e-08,7,40,18,179,0.10036810007362003
379,2018-06-06 23:20:12.285476,2.0,1.0000000500000025e-07,3,42,9,148,0.787657339382867
380,2018-06-06 23:20:40.675630,2.0,1.0000000500000025e-07,2,5,12,46,0.5920753296037665
381,2018-06-06 23:20:42.900022,0.02,2.000002000002e-08,9,0,18,156,0.0070322470322470325
382,2018-06-06 23:20:50.569338,0.4,8.000001600000321e-08,4,49,1,24,0.11745594349118871
383,2018-06-06 23:20:52.757596,0.02,2.000002000002e-08,8,48,10,112,0.00830824830824831
384,2018-06-06 23:21:26.047817,2.0,1.0000000500000025e-07,4,4,9,251,
385,2018-06-06 23:21:54.361910,1.0,5.0000002500000126e-08,5,22,19,153,0.25339191266959565
386,2018-06-06 23:22:42.537114,10.0,5.000000250000012e-07,0,22,15,113,4.497574224878711
387,2018-06-06 23:22:49.483294,0.1,2.0000004000000802e-08,7,2,11,31,0.024848824969764996
388,2018-06-06 23:23:36.909129,10.0,5.000000250000012e-07,0,36,16,111,4.497575224878761
389,2018-06-06 23:24:24.939622,10.0,5.000000250000012e-07,1,40,4,198,3.96919419845971
390,2018-06-06 23:24:53.479094,2.0,1.0000000500000025e-07,3,41,0,117,0.6442994322149717
391,2018-06-06 23:25:21.664513,2.0,1.0000000500000025e-07,4,35,5,197,0.5577720278886014
392,2018-06-06 23:25:48.246722,1.0,5.0000002500000126e-08,5,48,5,197,0.31482991574149577
393,2018-06-06 23:26:22.175430,4.0,2.000000100000005e-07,2,43,14,148,1.4112670705633537
394,2018-06-06 23:26:29.468588,0.4,8.000001600000321e-08,6,43,1,95,0.09812809962561994
395,2018-06-06 23:26:31.632364,0.04,4.000004000004e-08,8,42,10,215,0.014900494900494901
396,2018-06-06 23:27:00.128014,2.0,1.0000000500000025e-07,3,40,0,85,0.5009401250470062
397,2018-06-06 23:27:36.526862,4.0,2.000000100000005e-07,3,6,5,254,
398,2018-06-06 23:28:52.059431,20.0,1.0000000500000025e-06,0,27,12,192,7.118988355949417
399,2018-06-06 23:28:59.462390,0.4,8.000001600000321e-08,7,41,3,216,0.1195679439135888
400,2018-06-06 23:29:47.802483,10.0,5.000000250000012e-07,1,24,15,110,2.412730120636506
401,2018-06-06 23:29:50.052535,0.04,4.000004000004e-08,8,39,14,229,0.015796175796175798
402,2018-06-06 23:30:23.347838,2.0,1.0000000500000025e-07,4,19,9,247,
403,2018-06-06 23:30:32.553411,0.4,8.000001600000321e-08,5,18,10,65,0.12539186507837302
404,2018-06-06 23:30:39.835104,0.2,4.0000008000001605e-08,7,14,2,75,0.04660956932191387
405,2018-06-06 23:31:27.444478,10.0,5.000000250000012e-07,2,6,14,206,1.9027825951391297
406,2018-06-06 23:31:56.034458,2.0,1.0000000500000025e-07,4,11,-2,207,0.5884926294246314
407,2018-06-06 23:32:29.542794,4.0,2.000000100000005e-07,2,21,7,150,1.4522268726113436
408,2018-06-06 23:32:31.798366,0.02,2.000002000002e-08,9,5,-2,136,0.006233126233126234
409,2018-06-06 23:32:39.278362,0.4,8.000001600000321e-08,7,14,5,231,0.12724810544962112
410,2018-06-06 23:32:41.561430,0.02,2.000002000002e-08,8,51,21,119,0.008756648756648758
411,2018-06-06 23:33:54.335721,20.0,1.0000000500000025e-06,0,43,14,149,5.644442282222114
412,2018-06-06 23:34:27.681406,4.0,2.000000100000005e-07,2,37,1,115,1.165510858275543
413,2018-06-06 23:34:35.150653,0.4,8.000001600000321e-08,7,43,10,216,0.1195679439135888
414,2018-06-06 23:34:37.216342,0.04,4.000004000004e-08,8,10,22,129,0.009396329396329397
415,2018-06-06 23:35:06.634191,2.0,1.0000000500000025e-07,2,36,0,43,0.5511177275558864
416,2018-06-06 23:35:54.374753,10.0,5.000000250000012e-07,0,44,6,117,4.661411733070587
417,2018-06-06 23:35:56.580337,0.01,1.000001000001e-08,8,17,-3,21,0.0024843224843224846
418,2018-06-06 23:36:03.643753,0.1,2.0000004000000802e-08,6,15,-3,27,0.039249447849889575
419,2018-06-06 23:37:15.591643,20.0,1.0000000500000025e-06,0,2,7,141,5.480604274030213
420,2018-06-06 23:37:17.774179,0.04,4.000004000004e-08,8,39,15,154,0.010996730996730998
421,2018-06-06 23:37:46.201102,2.0,1.0000000500000025e-07,3,11,15,100,0.5623799281189964
422,2018-06-06 23:38:15.036845,2.0,1.0000000500000025e-07,3,16,21,155,0.808137140406857
423,2018-06-06 23:38:22.106206,0.1,2.0000004000000802e-08,7,45,-2,67,0.04276998855399772
424,2018-06-06 23:38:58.416211,4.0,2.000000100000005e-07,3,26,10,249,
425,2018-06-06 23:39:28.060422,1.0,5.0000002500000126e-08,5,13,9,231,0.3660299683014984
426,2018-06-06 23:39:54.244694,1.0,5.0000002500000126e-08,3,22,18,27,0.2347027617351381
427,2018-06-06 23:40:28.142063,4.0,2.000000100000005e-07,2,33,-3,152,1.4522272726113636
428,2018-06-06 23:40:35.184053,0.2,4.0000008000001605e-08,6,29,11,58,0.0648484529696906
429,2018-06-06 23:40:37.372254,0.04,4.000004000004e-08,8,26,18,170,0.012020812020812021
430,2018-06-06 23:40:39.531385,0.04,4.000004000004e-08,8,37,15,162,0.01150817150817151
431,2018-06-06 23:41:12.809388,2.0,1.0000000500000025e-07,4,12,21,254,
432,2018-06-06 23:41:21.823826,0.2,4.0000008000001605e-08,3,34,1,1,0.11182394236478849
433,2018-06-06 23:41:50.798669,2.0,1.0000000500000025e-07,4,4,15,234,0.6499309324965467
434,2018-06-06 23:41:58.041153,0.4,8.000001600000321e-08,6,32,9,146,0.1416486683297337
435,2018-06-06 23:42:58.325992,20.0,1.0000000500000025e-06,0,23,8,249,
436,2018-06-06 23:43:45.145280,2.0,1.0000000500000025e-07,4,35,15,197,0.5577717278885864
437,2018-06-06 23:43:52.604337,0.2,4.0000008000001605e-08,7,45,8,145,0.08245069649013931
438,2018-06-06 23:44:00.104435,0.4,8.000001600000321e-08,6,47,22,166,0.1570081914016383
439,2018-06-06 23:44:07.355164,0.2,4.0000008000001605e-08,7,24,14,156,0.08884821776964356
440,2018-06-06 23:44:33.433365,1.0,5.0000002500000126e-08,5,30,12,156,0.2585105129255256
441,2018-06-06 23:44:35.559073,0.04,4.000004000004e-08,8,31,0,225,0.015540215540215542
442,2018-06-06 23:45:23.955334,10.0,5.000000250000012e-07,1,33,21,156,3.231921661596083
443,2018-06-06 23:45:57.244334,2.0,1.0000000500000025e-07,4,51,21,243,
444,2018-06-06 23:46:06.201324,0.4,8.000001600000321e-08,7,28,11,230,0.12596794519358906
445,2018-06-06 23:46:07.297146,0.004,4.000040000400004e-08,9,17,21,26,0.001832338323383234
446,2018-06-06 23:46:35.927973,2.0,1.0000000500000025e-07,3,20,11,157,0.8286179414308971
447,2018-06-06 23:47:04.946993,2.0,1.0000000500000025e-07,4,47,5,238,0.6601705330085267
448,2018-06-06 23:47:32.037668,1.0,5.0000002500000126e-08,6,25,19,206,0.192847259642363
449,2018-06-06 23:47:39.521970,0.4,8.000001600000321e-08,5,5,0,54,0.10491202098240421
450,2018-06-06 23:48:39.838903,20.0,1.0000000500000025e-06,1,29,3,251,
451,2018-06-06 23:49:05.315671,0.4,8.000001600000321e-08,7,20,17,226,0.124687864937573
452,2018-06-06 23:49:53.819945,10.0,5.000000250000012e-07,2,1,15,207,1.9027835951391796
453,2018-06-06 23:49:56.000366,0.02,2.000002000002e-08,8,8,7,84,0.006516306516306517
454,2018-06-06 23:50:22.454334,1.0,5.0000002500000126e-08,4,38,3,136,0.40417312020865603
455,2018-06-06 23:50:51.100420,2.0,1.0000000500000025e-07,3,44,11,118,0.6442987322149366
456,2018-06-06 23:51:20.083004,2.0,1.0000000500000025e-07,3,45,9,109,0.6033395301669765
457,2018-06-06 23:51:46.101886,1.0,5.0000002500000126e-08,3,21,-1,75,0.4395007719750386
458,2018-06-06 23:51:48.403547,0.02,2.000002000002e-08,9,33,14,153,0.006912286912286913
459,2018-06-06 23:52:22.012331,4.0,2.000000100000005e-07,2,22,0,127,1.2474298623714932
460,2018-06-06 23:52:24.161896,0.04,4.000004000004e-08,8,42,10,143,0.010292210292210294
461,2018-06-06 23:52:31.147516,0.2,4.0000008000001605e-08,5,32,0,43,0.08955241791048359
462,2018-06-06 23:53:04.665057,4.0,2.000000100000005e-07,2,25,19,139,1.3293490664674534
463,2018-06-06 23:53:11.588372,0.2,4.0000008000001605e-08,7,11,19,136,0.07860861572172316
464,2018-06-06 23:53:40.457764,2.0,1.0000000500000025e-07,3,6,14,164,0.8490967424548371
465,2018-06-06 23:53:42.663581,0.04,4.000004000004e-08,8,43,20,191,0.013364533364533365
466,2018-06-06 23:54:54.488743,20.0,1.0000000500000025e-06,0,42,19,201,7.446664372333219
467,2018-06-06 23:55:01.920008,0.4,8.000001600000321e-08,6,27,8,141,0.1365286673057335
468,2018-06-06 23:55:28.055175,1.0,5.0000002500000126e-08,4,42,6,135,0.40417362020868103
469,2018-06-06 23:55:30.201888,0.04,4.000004000004e-08,8,16,20,151,0.010804290804290805
470,2018-06-06 23:55:59.456107,2.0,1.0000000500000025e-07,3,47,6,154,0.8081376404068821
471,2018-06-06 23:56:06.432966,0.2,4.0000008000001605e-08,7,51,4,85,0.05172865034573008
472,2018-06-06 23:56:08.520109,0.01,1.000001000001e-08,9,31,8,59,0.0031523431523431526
473,2018-06-06 23:56:37.759784,2.0,1.0000000500000025e-07,3,16,5,163,0.8490967424548371
474,2018-06-06 23:57:11.689125,4.0,2.000000100000005e-07,1,37,10,49,1.2658612632930633
475,2018-06-06 23:58:23.582273,20.0,1.0000000500000025e-06,1,1,9,236,4.706467235323362
476,2018-06-06 23:58:25.964034,0.04,4.000004000004e-08,8,30,8,227,0.015668135668135668
477,2018-06-06 23:59:14.165038,10.0,5.000000250000012e-07,1,10,16,115,2.494649624732481
478,2018-06-06 23:59:15.284046,0.004,4.000040000400004e-08,9,26,4,31,0.002032740327403274
479,2018-06-06 23:59:17.347178,0.04,4.000004000004e-08,8,33,-2,169,0.011956171956171957
480,2018-06-06 23:59:19.599828,0.04,4.000004000004e-08,9,50,12,235,0.010192730192730193
481,2018-06-06 23:59:26.771112,0.1,2.0000004000000802e-08,7,17,3,52,0.03508872701774541
482,2018-06-06 23:59:53.245689,1.0,5.0000002500000126e-08,5,5,4,227,0.3609102680455134
483,2018-06-07 00:00:24.144887,0.4,8.000001600000321e-08,7,39,18,254,
484,2018-06-07 00:00:26.673259,0.02,2.000002000002e-08,9,35,10,202,0.008872268872268873
485,2018-06-07 00:00:56.193321,2.0,1.0000000500000025e-07,1,18,1,30,0.9381838469091923
486,2018-06-07 00:00:58.312436,0.01,1.000001000001e-08,9,12,8,64,0.003353973353973354
487,2018-06-07 00:01:25.770780,1.0,5.0000002500000126e-08,5,38,-1,135,0.22779081138954058
488,2018-06-07 00:01:56.686461,0.4,8.000001600000321e-08,7,25,20,249,
489,2018-06-07 00:02:24.188918,1.0,5.0000002500000126e-08,5,9,21,212,0.34043106702155335
490,2018-06-07 00:03:12.419816,10.0,5.000000250000012e-07,1,11,8,184,3.7234376861718843
491,2018-06-07 00:03:38.577342,1.0,5.0000002500000126e-08,3,39,1,27,0.2347027117351356
492,2018-06-07 00:03:45.747945,0.1,2.0000004000000802e-08,7,24,20,65,0.04149102829820567
493,2018-06-07 00:04:11.937844,1.0,5.0000002500000126e-08,4,42,-3,84,0.2710545135527257
494,2018-06-07 00:04:19.482526,0.4,8.000001600000321e-08,6,20,5,135,0.13140770628154128
495,2018-06-07 00:04:45.866511,1.0,5.0000002500000126e-08,4,30,20,124,0.37345341867267096
496,2018-06-07 00:04:53.315270,0.4,8.000001600000321e-08,7,48,14,188,0.10420946084189218
497,2018-06-07 00:06:05.624312,20.0,1.0000000500000025e-06,0,2,20,203,7.446663372333169
498,2018-06-07 00:06:12.998677,0.4,8.000001600000321e-08,5,47,16,92,0.16123203224640648
499,2018-06-07 00:06:43.879107,0.4,8.000001600000321e-08,7,41,7,241,
500,2018-06-07 00:06:51.377888,0.4,8.000001600000321e-08,6,5,4,191,0.18004739600947922
501,2018-06-07 00:06:58.756207,0.2,4.0000008000001605e-08,6,9,0,85,0.08788813757762752
502,2018-06-07 00:07:06.284740,0.4,8.000001600000321e-08,3,12,-3,26,0.2142250028450006
503,2018-06-07 00:07:35.888124,2.0,1.0000000500000025e-07,2,51,19,46,0.5920761296038065
504,2018-06-07 00:07:38.064630,0.02,2.000002000002e-08,9,5,5,212,0.009272229272229274
505,2018-06-07 00:07:39.197504,0.004,4.000040000400004e-08,9,5,21,26,0.001832338323383234
506,2018-06-07 00:07:41.342516,0.02,2.000002000002e-08,8,41,11,107,0.007988287988287988
507,2018-06-07 00:07:43.488068,0.04,4.000004000004e-08,8,16,13,197,0.01374817374817375
508,2018-06-07 00:07:45.772904,0.02,2.000002000002e-08,9,17,22,202,0.008872268872268873
509,2018-06-07 00:08:31.066341,10.0,5.000000250000012e-07,2,47,16,251,
510,2018-06-07 00:08:41.248402,0.002,2.000020000200002e-08,9,14,-3,2,0.0008722087220872209
511,2018-06-07 00:09:14.540973,2.0,1.0000000500000025e-07,4,40,20,242,
512,2018-06-07 00:09:18.600771,0.04,4.000004000004e-08,9,2,11,231,0.010032250032250034
513,2018-06-07 00:09:25.814001,0.2,4.0000008000001605e-08,5,12,2,42,0.08955433791086759
514,2018-06-07 00:09:54.302237,2.0,1.0000000500000025e-07,3,0,-2,142,0.7466985373349269
515,2018-06-07 00:10:01.233455,0.1,2.0000004000000802e-08,7,46,11,60,0.03892934778586956
516,2018-06-07 00:10:29.998676,2.0,1.0000000500000025e-07,2,33,7,68,0.7559146377957319
517,2018-06-07 00:10:36.951720,0.1,2.0000004000000802e-08,6,44,0,16,0.029009165801833162
518,2018-06-07 00:11:05.772194,2.0,1.0000000500000025e-07,2,26,-2,73,0.796873239843662
519,2018-06-07 00:11:32.383102,1.0,5.0000002500000126e-08,5,8,16,128,0.21755096087754805
520,2018-06-07 00:11:58.350657,1.0,5.0000002500000126e-08,2,29,-3,19,0.3463177173158859
521,2018-06-07 00:12:05.413565,0.2,4.0000008000001605e-08,5,13,1,22,0.05883389176677836
522,2018-06-07 00:12:34.082927,2.0,1.0000000500000025e-07,3,37,9,165,0.8490967424548371
523,2018-06-07 00:12:41.315635,0.4,8.000001600000321e-08,6,41,16,140,0.13652842730568548
524,2018-06-07 00:12:48.820491,0.4,8.000001600000321e-08,7,17,17,184,0.10292810058562013
525,2018-06-07 00:12:50.987631,0.01,1.000001000001e-08,9,30,-1,93,0.004512144512144513
526,2018-06-07 00:12:53.236988,0.02,2.000002000002e-08,9,35,-2,196,0.008634088634088634
527,2018-06-07 00:13:21.870506,2.0,1.0000000500000025e-07,4,23,2,170,0.48609222430461124
528,2018-06-07 00:13:29.154700,0.4,8.000001600000321e-08,5,16,7,66,0.12539178507835702
529,2018-06-07 00:13:31.317785,0.01,1.000001000001e-08,9,31,8,33,0.0021124821124821128
530,2018-06-07 00:13:33.482644,0.04,4.000004000004e-08,8,17,19,163,0.011572251572251573
531,2018-06-07 00:14:06.958433,4.0,2.000000100000005e-07,2,23,19,200,1.8618228930911447
532,2018-06-07 00:14:35.749439,2.0,1.0000000500000025e-07,4,3,13,220,0.6192110309605515
533,2018-06-07 00:15:02.363089,1.0,5.0000002500000126e-08,6,51,19,229,0.21076706053835303
534,2018-06-07 00:15:04.542533,0.01,1.000001000001e-08,8,6,7,53,0.004532704532704533
535,2018-06-07 00:15:33.443190,2.0,1.0000000500000025e-07,4,3,12,222,0.6192109309605466
536,2018-06-07 00:15:35.665750,0.02,2.000002000002e-08,8,2,17,111,0.008244328244328246
537,2018-06-07 00:16:22.692897,10.0,5.000000250000012e-07,1,19,11,174,3.559598177979909
538,2018-06-07 00:16:51.339136,2.0,1.0000000500000025e-07,2,23,16,62,0.7149541357477068
539,2018-06-07 00:17:18.084593,1.0,5.0000002500000126e-08,3,21,1,70,0.41902182095109103
540,2018-06-07 00:18:29.349633,20.0,1.0000000500000025e-06,0,30,18,197,7.282825364141268
541,2018-06-07 00:19:40.440848,20.0,1.0000000500000025e-06,0,33,21,205,7.446664372333219
542,2018-06-07 00:20:09.370300,2.0,1.0000000500000025e-07,3,14,21,100,0.5623803281190164
543,2018-06-07 00:20:16.927380,0.4,8.000001600000321e-08,6,34,-1,167,0.1595677119135424
544,2018-06-07 00:20:24.330460,0.4,8.000001600000321e-08,3,1,-1,17,0.17326347465269495
545,2018-06-07 00:20:26.532294,0.04,4.000004000004e-08,8,13,19,219,0.015156135156135158
546,2018-06-07 00:20:52.587398,1.0,5.0000002500000126e-08,4,44,20,150,0.43489427174471357
547,2018-06-07 00:20:59.610416,0.2,4.0000008000001605e-08,7,35,18,86,0.053009090601818125
548,2018-06-07 00:21:07.241693,0.4,8.000001600000321e-08,6,36,22,194,0.18260763652152734
549,2018-06-07 00:21:14.134932,0.1,2.0000004000000802e-08,6,47,9,29,0.041810988362197675
550,2018-06-07 00:21:40.413173,1.0,5.0000002500000126e-08,3,38,7,46,0.3166219658310983
551,2018-06-07 00:22:13.804796,4.0,2.000000100000005e-07,2,51,14,106,1.0835908541795427
552,2018-06-07 00:22:20.738587,0.2,4.0000008000001605e-08,6,27,1,57,0.0648494529698906
553,2018-06-07 00:22:47.279327,1.0,5.0000002500000126e-08,5,38,7,158,0.25851301292565065
554,2018-06-07 00:23:58.748212,20.0,1.0000000500000025e-06,0,12,12,142,5.480603274030163
555,2018-06-07 00:24:26.983884,2.0,1.0000000500000025e-07,4,5,13,231,0.6499307324965367
556,2018-06-07 00:24:29.171585,0.04,4.000004000004e-08,8,32,0,213,0.014772854772854773
557,2018-06-07 00:24:36.262905,0.1,2.0000004000000802e-08,7,0,21,70,0.044049668809933766
558,2018-06-07 00:25:10.197768,4.0,2.000000100000005e-07,3,26,8,233,1.156294057814703
559,2018-06-07 00:25:12.332270,0.01,1.000001000001e-08,9,14,-2,62,0.003272573272573273
