sample,time,window,precision,modulation,band,payload,measured
64,2018-06-07 10:53:11.843717,0.002,2.000020000200002e-08,0,51,254,0.0005293652936529366
65,2018-06-07 10:53:12.744127,0.002,2.000020000200002e-08,3,12,254,0.0005295052950529506
66,2018-06-07 10:53:13.644975,0.002,2.000020000200002e-08,8,21,254,0.0004877448774487745
67,2018-06-07 10:53:14.509358,0.002,2.000020000200002e-08,1,25,254,0.0005386653866538666
68,2018-06-07 10:53:15.379073,0.002,2.000020000200002e-08,7,6,254,0.0005305453054530546
69,2018-06-07 10:53:16.247497,0.002,2.000020000200002e-08,3,48,254,0.0005278052780527806
70,2018-06-07 10:53:17.106980,0.002,2.000020000200002e-08,8,2,254,0.0004886848868488685
71,2018-06-07 10:53:18.058620,0.002,2.000020000200002e-08,5,12,254,0.0005253052530525305
72,2018-06-07 10:53:18.968599,0.002,2.000020000200002e-08,9,24,254,0.0004877448774487745
73,2018-06-07 10:53:19.826561,0.002,2.000020000200002e-08,5,38,254,0.0005293852938529386
74,2018-06-07 10:53:20.722934,0.002,2.000020000200002e-08,8,22,254,0.00048520485204852054
75,2018-06-07 10:53:21.627294,0.002,2.000020000200002e-08,3,46,254,0.0005294252942529426
76,2018-06-07 10:53:22.541296,0.002,2.000020000200002e-08,4,31,254,0.0005253252532525325
77,2018-06-07 10:53:23.449449,0.002,2.000020000200002e-08,0,26,254,0.0005268852688526885
78,2018-06-07 10:53:24.352673,0.002,2.000020000200002e-08,1,44,254,0.0005291652916529166
79,2018-06-07 10:53:25.217916,0.002,2.000020000200002e-08,4,37,254,0.0005260452604526045
80,2018-06-07 10:53:26.077820,0.002,2.000020000200002e-08,7,20,254,0.0005295452954529546
81,2018-06-07 10:53:26.937212,0.002,2.000020000200002e-08,7,14,254,0.0005261452614526145
82,2018-06-07 10:53:27.802237,0.002,2.000020000200002e-08,3,10,254,0.0005271252712527126
83,2018-06-07 10:53:28.703770,0.002,2.000020000200002e-08,9,41,254,0.0004852648526485265
84,2018-06-07 10:53:29.630998,0.002,2.000020000200002e-08,1,36,254,0.0005275852758527586
85,2018-06-07 10:53:30.477666,0.002,2.000020000200002e-08,7,32,254,0.0005268852688526885
86,2018-06-07 10:53:31.337324,0.002,2.000020000200002e-08,9,17,254,0.00048618486184861853
87,2018-06-07 10:53:32.272871,0.002,2.000020000200002e-08,4,7,254,0.0005268852688526885
88,2018-06-07 10:53:33.121384,0.002,2.000020000200002e-08,8,51,254,0.00048780487804878054
89,2018-06-07 10:53:34.012925,0.002,2.000020000200002e-08,1,9,254,0.0005269452694526945
90,2018-06-07 10:53:34.860604,0.002,2.000020000200002e-08,4,33,254,0.0005268252682526825
91,2018-06-07 10:53:35.792501,0.002,2.000020000200002e-08,4,35,254,0.0005353453534535346
