sample,time,window,precision,modulation,band,preamble,offset_1,offset_2,valid
5160,00:00.0,2,2.00E-05,1,8,9,2670966,6635538,True
5161,00:00.0,1,1.00E-05,2,21,4,1242572,2556737,True
5162,00:00.0,0.04,4.00E-05,8,10,8,2786,7689,True
5163,00:00.0,0.2,2.00E-05,4,13,4,330563,663119,False
5164,00:00.0,0.2,2.00E-05,4,50,4,198024,485337,True
5165,00:00.0,0.04,4.00E-05,7,34,4,9865,19786,True
5166,00:00.0,0.04,4.00E-05,8,37,3,2833,5891,True
5167,00:00.0,0.04,4.00E-05,7,3,5,22273,56491,True
5168,00:00.0,0.04,4.00E-05,7,21,10,22630,80916,True
5169,00:00.0,1,1.00E-05,2,16,11,1960278,4175082,False
5170,00:00.0,0.1,1.00E-05,6,38,10,117255,283270,True
5171,00:00.0,0.1,1.00E-05,6,1,11,32198,184002,True
5172,00:00.0,0.1,1.00E-05,6,23,11,63029,209066,True
5173,00:00.0,0.04,4.00E-05,7,43,5,20574,71557,True
5174,00:00.0,1,1.00E-05,2,24,10,1881409,4052921,False
5175,00:00.0,4,4.00E-05,0,38,9,7342825,15929357,False
5176,00:00.0,0.1,1.00E-05,3,33,4,32860,173057,False
5177,00:00.0,2,2.00E-05,0,50,7,1275876,8033112,False
5178,00:00.0,0.4,4.00E-05,4,18,11,564243,1155189,False
5179,00:00.0,1,1.00E-05,2,5,6,1253521,2554207,True
5180,00:00.0,1,1.00E-05,1,20,4,1911503,4372992,True
5181,00:00.0,0.04,4.00E-05,8,3,5,1463,5838,True
5182,00:00.0,0.1,1.00E-05,5,42,5,112386,255531,True
5183,00:00.0,0.4,4.00E-05,4,38,12,419293,1057906,True
5184,00:00.0,0.1,1.00E-05,5,32,9,141096,331847,True
5185,00:00.0,0.1,1.00E-05,7,37,9,59464,137456,True
5186,00:00.0,1,1.00E-05,2,47,10,1807001,3623146,False
5187,00:00.0,0.04,4.00E-05,7,45,9,15894,33177,True
5188,00:00.0,1,1.00E-05,2,6,7,941759,2468094,True
5189,00:00.0,0.1,1.00E-05,6,37,10,55368,153715,True
5190,00:00.0,0.04,4.00E-05,7,36,3,9941,34120,True
5191,00:00.0,0.04,4.00E-05,7,47,3,32433,66812,True
5192,00:00.0,0.04,4.00E-05,8,18,2,1241,3485,True
5193,00:00.0,4,4.00E-05,0,46,8,7646535,15666960,False
5194,00:00.0,0.4,4.00E-05,4,11,12,427645,1085338,True
5195,00:00.0,0.4,4.00E-05,2,33,11,237593,659162,False
5196,00:00.0,2,2.00E-05,0,48,4,3605189,8754297,True
5197,00:00.0,1,1.00E-05,0,25,3,1144881,2699537,False
5198,00:00.0,0.1,1.00E-05,6,28,3,36347,73582,True
5199,00:00.0,0.4,4.00E-05,3,24,6,671838,1456077,True
5200,00:00.0,0.2,2.00E-05,3,11,3,407448,886457,True
5201,00:00.0,0.4,4.00E-05,3,28,7,344337,972927,True
5202,00:00.0,0.04,4.00E-05,8,13,2,2341,4772,True
5203,00:00.0,0.04,4.00E-05,9,38,6,948,4421,True
5204,00:00.0,2,2.00E-05,0,2,10,336610,3699558,False
5205,00:00.0,0.04,4.00E-05,7,43,9,26599,67079,True
5206,00:00.0,1,1.00E-05,1,9,4,685943,2545415,False
5207,00:00.0,0.1,1.00E-05,5,20,9,96097,233213,True
5208,00:00.0,1,1.00E-05,0,7,7,262606,881621,False
5209,00:00.0,0.4,4.00E-05,3,46,3,558175,1135322,True
5210,00:00.0,0.04,4.00E-05,8,15,12,1108,2640,True
5211,00:00.0,0.2,2.00E-05,3,40,4,364745,825208,True
5212,00:00.0,0.04,4.00E-05,8,16,8,9002,18243,False
5213,00:00.0,0.04,4.00E-05,8,47,2,2257,4555,True
5214,00:00.0,0.2,2.00E-05,5,15,12,187926,520521,True
5215,00:00.0,0.04,4.00E-05,8,17,8,3908,9727,True
5216,00:00.0,0.04,4.00E-05,8,2,3,1913,5462,True
5217,00:00.0,0.04,4.00E-05,9,37,11,1760,8476,True
5218,00:00.0,0.1,1.00E-05,6,20,3,12568,98591,True
5219,00:00.0,0.04,4.00E-05,9,31,3,831,3201,True
