sample,time,window,precision,modulation,band,payload,measured
56,2018-06-07 11:11:06.662493,0.002,2.000020000200002e-08,2,50,254,0.0005293452934529346
57,2018-06-07 11:11:07.532529,0.002,2.000020000200002e-08,3,7,254,0.0005304253042530425
58,2018-06-07 11:11:08.416162,0.002,2.000020000200002e-08,0,7,254,0.0005269452694526945
59,2018-06-07 11:11:09.290049,0.002,2.000020000200002e-08,9,46,254,0.00048518485184851853
60,2018-06-07 11:11:10.160162,0.002,2.000020000200002e-08,9,43,254,0.0004878848788487885
61,2018-06-07 11:11:11.036808,0.002,2.000020000200002e-08,3,9,254,0.0005268452684526845
62,2018-06-07 11:11:11.995779,0.002,2.000020000200002e-08,4,17,254,0.0005340653406534065
63,2018-06-07 11:11:12.879091,0.002,2.000020000200002e-08,3,32,254,0.0005303253032530326
64,2018-06-07 11:11:13.794720,0.002,2.000020000200002e-08,6,42,254,0.0005250252502525026
65,2018-06-07 11:11:14.660895,0.002,2.000020000200002e-08,1,16,254,0.0005303853038530386
66,2018-06-07 11:11:15.529221,0.002,2.000020000200002e-08,6,43,254,0.0005303053030530306
67,2018-06-07 11:11:16.406953,0.002,2.000020000200002e-08,9,25,254,0.0004879048790487905
68,2018-06-07 11:11:17.286249,0.002,2.000020000200002e-08,3,7,254,0.0005268252682526825
69,2018-06-07 11:11:18.194993,0.002,2.000020000200002e-08,0,28,254,0.0005294652946529466
70,2018-06-07 11:11:19.077662,0.002,2.000020000200002e-08,8,40,254,0.0004847248472484725
71,2018-06-07 11:11:20.037456,0.002,2.000020000200002e-08,2,8,254,0.0005341253412534126
72,2018-06-07 11:11:20.943710,0.002,2.000020000200002e-08,1,43,254,0.0005268252682526825
73,2018-06-07 11:11:21.823995,0.002,2.000020000200002e-08,5,32,254,0.0005287452874528746
74,2018-06-07 11:11:22.743461,0.002,2.000020000200002e-08,3,42,254,0.0005268852688526885
75,2018-06-07 11:11:23.623422,0.002,2.000020000200002e-08,1,8,254,0.0005268252682526825
76,2018-06-07 11:11:24.491310,0.002,2.000020000200002e-08,5,39,254,0.0005302853028530286
77,2018-06-07 11:11:25.370644,0.002,2.000020000200002e-08,6,30,254,0.0005276452764527645
78,2018-06-07 11:11:26.251063,0.002,2.000020000200002e-08,9,8,254,0.0004878648786487865
79,2018-06-07 11:11:27.127922,0.002,2.000020000200002e-08,7,50,254,0.0005278452784527846
80,2018-06-07 11:11:28.008457,0.002,2.000020000200002e-08,4,2,254,0.0005341253412534126
81,2018-06-07 11:11:28.881515,0.002,2.000020000200002e-08,3,48,254,0.0005296052960529605
82,2018-06-07 11:11:29.786368,0.002,2.000020000200002e-08,5,3,254,0.0005276052760527605
83,2018-06-07 11:11:30.686439,0.002,2.000020000200002e-08,4,25,254,0.0005303653036530366
84,2018-06-07 11:11:31.567780,0.002,2.000020000200002e-08,9,14,254,0.0004862448624486245
85,2018-06-07 11:11:32.448771,0.002,2.000020000200002e-08,7,14,254,0.0005302853028530286
86,2018-06-07 11:11:33.327973,0.002,2.000020000200002e-08,7,15,254,0.0005303653036530366
87,2018-06-07 11:11:34.203192,0.002,2.000020000200002e-08,2,47,254,0.0005279652796527966
88,2018-06-07 11:11:35.074881,0.002,2.000020000200002e-08,3,38,254,0.0005269052690526905
89,2018-06-07 11:11:35.956243,0.002,2.000020000200002e-08,8,34,254,0.0004862848628486285
90,2018-06-07 11:11:36.874424,0.002,2.000020000200002e-08,7,1,254,0.0005302853028530286
91,2018-06-07 11:11:37.792466,0.002,2.000020000200002e-08,9,27,254,0.00048522485224852254
92,2018-06-07 11:11:38.661066,0.002,2.000020000200002e-08,2,2,254,0.0005303853038530386
93,2018-06-07 11:11:39.581674,0.002,2.000020000200002e-08,0,9,254,0.0005268252682526825
94,2018-06-07 11:11:40.460029,0.002,2.000020000200002e-08,0,31,254,0.0005268852688526885
95,2018-06-07 11:11:41.332927,0.002,2.000020000200002e-08,2,5,254,0.0005279852798527986
96,2018-06-07 11:11:42.243624,0.002,2.000020000200002e-08,7,8,254,0.0005287452874528746
97,2018-06-07 11:11:43.125381,0.002,2.000020000200002e-08,7,28,254,0.0005302853028530286
98,2018-06-07 11:11:44.045376,0.002,2.000020000200002e-08,3,18,254,0.0005303053030530306
99,2018-06-07 11:11:44.918329,0.002,2.000020000200002e-08,3,20,254,0.0005294652946529466
100,2018-06-07 11:11:45.838256,0.002,2.000020000200002e-08,5,8,254,0.0005303853038530386
101,2018-06-07 11:11:46.713189,0.002,2.000020000200002e-08,9,45,254,0.0004878448784487845
102,2018-06-07 11:11:47.592607,0.002,2.000020000200002e-08,6,3,254,0.0005302853028530286
103,2018-06-07 11:11:48.474526,0.002,2.000020000200002e-08,4,21,254,0.0005269452694526945
104,2018-06-07 11:11:49.397748,0.002,2.000020000200002e-08,5,42,254,0.0005280652806528065
105,2018-06-07 11:11:50.280134,0.002,2.000020000200002e-08,5,18,254,0.0005279652796527966
106,2018-06-07 11:11:51.223881,0.002,2.000020000200002e-08,7,49,254,0.0005275652756527566
107,2018-06-07 11:11:52.130868,0.002,2.000020000200002e-08,0,12,254,0.0005303853038530386
108,2018-06-07 11:11:53.077059,0.002,2.000020000200002e-08,5,0,254,0.0005303053030530306
109,2018-06-07 11:11:53.984313,0.002,2.000020000200002e-08,8,3,254,0.0004887048870488705
110,2018-06-07 11:11:54.946248,0.002,2.000020000200002e-08,6,23,254,0.0005303653036530366
111,2018-06-07 11:11:55.817569,0.002,2.000020000200002e-08,2,44,254,0.0005268252682526825
112,2018-06-07 11:11:56.763209,0.002,2.000020000200002e-08,1,3,254,0.0005302853028530286
113,2018-06-07 11:11:57.710059,0.002,2.000020000200002e-08,2,23,254,0.0005276452764527645
114,2018-06-07 11:11:58.591553,0.002,2.000020000200002e-08,4,37,254,0.0005280852808528085
115,2018-06-07 11:11:59.476657,0.002,2.000020000200002e-08,4,14,254,0.0005303653036530366
116,2018-06-07 11:12:00.398578,0.002,2.000020000200002e-08,7,34,254,0.0005303053030530306
117,2018-06-07 11:12:01.317623,0.002,2.000020000200002e-08,5,6,254,0.0005269252692526925
118,2018-06-07 11:12:02.274092,0.002,2.000020000200002e-08,0,12,254,0.0005293452934529346
119,2018-06-07 11:12:03.145599,0.002,2.000020000200002e-08,1,18,254,0.0005302853028530286
120,2018-06-07 11:12:04.140627,0.002,2.000020000200002e-08,0,45,254,0.0005275452754527546
121,2018-06-07 11:12:05.090195,0.002,2.000020000200002e-08,2,34,254,0.0005275452754527546
122,2018-06-07 11:12:05.994314,0.002,2.000020000200002e-08,9,6,254,0.0004878448784487845
123,2018-06-07 11:12:06.918620,0.002,2.000020000200002e-08,7,48,254,0.0005268452684526845
124,2018-06-07 11:12:07.796635,0.002,2.000020000200002e-08,6,43,254,0.0005303053030530306
125,2018-06-07 11:12:08.670731,0.002,2.000020000200002e-08,1,44,254,0.0005303653036530366
