sample,time,window,precision,modulation,band,delay,sleep,wakeup
15,2018-06-07 09:58:02.371601,0.4,4.000040000400005e-06,7,32,0.05818377818231928,1.600016000160002e-05,0.00048400484004840053
16,2018-06-07 09:58:03.767974,0.4,4.000040000400005e-06,2,2,0.06123318847163868,1.600016000160002e-05,0.0005120051200512006
17,2018-06-07 09:58:05.129046,0.4,4.000040000400005e-06,7,25,0.13539441593323284,1.600016000160002e-05,0.00048800488004880054
18,2018-06-07 09:58:06.522435,0.4,4.000040000400005e-06,5,8,0.05529481987140992,1.600016000160002e-05,0.00048400484004840053
19,2018-06-07 09:58:07.873294,0.4,4.000040000400005e-06,3,39,0.014564741570394247,1.2000120001200014e-05,0.00048400484004840053
20,2018-06-07 09:58:09.273445,0.4,4.000040000400005e-06,2,10,0.17395108541980453,1.600016000160002e-05,0.00048800488004880054
21,2018-06-07 09:58:10.738550,0.4,4.000040000400005e-06,5,6,0.013950873719554635,1.600016000160002e-05,0.0005120051200512006
22,2018-06-07 09:58:12.237837,0.4,4.000040000400005e-06,0,11,0.11971496536833762,1.2000120001200014e-05,0.00048400484004840053
23,2018-06-07 09:58:13.640327,0.4,4.000040000400005e-06,4,24,0.16959326494566157,1.600016000160002e-05,0.00048400484004840053
24,2018-06-07 09:58:15.076246,0.4,4.000040000400005e-06,7,43,0.15876227441390206,1.600016000160002e-05,0.00048400484004840053
25,2018-06-07 09:58:16.452467,0.4,4.000040000400005e-06,3,1,0.03172035611954913,2.0000200002000023e-05,0.0005120051200512006
26,2018-06-07 09:58:17.850132,0.4,4.000040000400005e-06,2,38,0.04668753804912029,1.600016000160002e-05,0.00048400484004840053
27,2018-06-07 09:58:19.271782,0.4,4.000040000400005e-06,6,16,0.14281054033371016,1.600016000160002e-05,0.00048800488004880054
28,2018-06-07 09:58:20.639824,0.4,4.000040000400005e-06,5,14,0.10821861755013795,1.600016000160002e-05,0.00048400484004840053
29,2018-06-07 09:58:22.078008,0.4,4.000040000400005e-06,5,21,0.18580394187471552,1.600016000160002e-05,0.00048400484004840053
30,2018-06-07 09:58:23.493149,0.4,4.000040000400005e-06,1,51,0.06484103476459313,1.600016000160002e-05,0.00048400484004840053
31,2018-06-07 09:58:24.852002,0.4,4.000040000400005e-06,2,8,0.09046223785527273,1.600016000160002e-05,0.00048800488004880054
32,2018-06-07 09:58:26.296928,0.4,4.000040000400005e-06,5,4,0.16396345845142188,1.600016000160002e-05,0.0005160051600516006
33,2018-06-07 09:58:27.789950,0.4,4.000040000400005e-06,7,6,0.007376285733719379,1.600016000160002e-05,0.0005120051200512006
34,2018-06-07 09:58:29.176900,0.4,4.000040000400005e-06,1,7,0.15352684442201123,1.2000120001200014e-05,0.0005120051200512006
35,2018-06-07 09:58:30.607537,0.4,4.000040000400005e-06,2,11,0.18515617632901946,1.600016000160002e-05,0.00048400484004840053
36,2018-06-07 09:58:32.045127,0.4,4.000040000400005e-06,4,41,0.19539782725897425,1.600016000160002e-05,0.0004920049200492005
37,2018-06-07 09:58:33.469629,0.4,4.000040000400005e-06,2,38,0.036463928839805315,1.2000120001200014e-05,0.00048400484004840053
38,2018-06-07 09:58:34.965315,0.4,4.000040000400005e-06,4,21,0.17421407399661734,1.600016000160002e-05,0.00048800488004880054
39,2018-06-07 09:58:36.445116,0.4,4.000040000400005e-06,2,24,0.04365580889984904,1.600016000160002e-05,0.00048400484004840053
40,2018-06-07 09:58:38.022054,0.4,4.000040000400005e-06,6,43,0.11856769887498067,1.600016000160002e-05,0.00048400484004840053
41,2018-06-07 09:58:39.461675,0.4,4.000040000400005e-06,1,26,0.10785332462766238,1.600016000160002e-05,0.00048400484004840053
42,2018-06-07 09:58:40.965589,0.4,4.000040000400005e-06,1,14,0.12853905994052647,1.600016000160002e-05,0.00048800488004880054
43,2018-06-07 09:58:42.385835,0.4,4.000040000400005e-06,3,13,0.042753257812138214,1.2000120001200014e-05,0.00048400484004840053
44,2018-06-07 09:58:43.787203,0.4,4.000040000400005e-06,5,5,0.1568178571801787,1.2000120001200014e-05,0.0005120051200512006
45,2018-06-07 09:58:45.181419,0.4,4.000040000400005e-06,1,30,0.05533954879675376,1.2000120001200014e-05,0.0004800048000480005
