sample,time,window,precision,modulation,band,preamble,offset_1,offset_2,valid
66,2018-06-18 11:47:08.658343,2.0,2.000020000200002e-05,0,20,11,5162775,7226433,True
67,2018-06-18 11:47:11.665464,1.0,1.000010000100001e-05,2,5,10,2185089,2202788,False
68,2018-06-18 11:47:12.901451,0.1,1.0001000100010001e-05,6,7,11,77116,138355,True
69,2018-06-18 11:47:14.263399,0.2,2.0002000200020003e-05,4,14,7,196702,370930,True
70,2018-06-18 11:47:15.786451,0.4,4.0004000400040005e-05,3,43,8,563536,820736,True
71,2018-06-18 11:47:16.962480,0.04,4.004004004004004e-05,9,33,8,5705,6253,False
72,2018-06-18 11:47:18.321907,0.2,2.0002000200020003e-05,3,37,10,151612,370089,False
73,2018-06-18 11:47:19.551418,0.1,1.0001000100010001e-05,5,11,12,184447,257384,True
74,2018-06-18 11:47:20.724196,0.04,4.004004004004004e-05,8,28,2,115,2028,False
75,2018-06-18 11:47:21.951405,0.1,1.0001000100010001e-05,5,19,11,68060,240649,True
76,2018-06-18 11:47:23.122005,0.04,4.004004004004004e-05,8,4,3,2562,3299,True
77,2018-06-18 11:47:24.352200,0.1,1.0001000100010001e-05,5,29,4,146290,166577,True
78,2018-06-18 11:47:25.678984,0.2,2.0002000200020003e-05,3,38,11,643055,675059,False
79,2018-06-18 11:47:26.906648,0.1,1.0001000100010001e-05,6,12,7,76076,107917,True
80,2018-06-18 11:47:28.267821,0.2,2.0002000200020003e-05,3,51,7,163544,740143,False
81,2018-06-18 11:47:29.510871,0.1,1.0001000100010001e-05,6,0,8,36853,81498,True
82,2018-06-18 11:47:30.696439,0.04,4.004004004004004e-05,8,9,2,31,1818,False
83,2018-06-18 11:47:32.015387,0.2,2.0002000200020003e-05,3,40,7,280264,371048,True
84,2018-06-18 11:47:33.283376,0.1,1.0001000100010001e-05,6,27,5,89627,99863,True
85,2018-06-18 11:47:34.615223,0.2,2.0002000200020003e-05,4,11,8,168766,442423,True
86,2018-06-18 11:47:37.588965,1.0,1.000010000100001e-05,1,30,9,1465171,2311773,True
87,2018-06-18 11:47:38.770741,0.04,4.004004004004004e-05,8,25,12,3190,5119,True
88,2018-06-18 11:47:41.729080,1.0,1.000010000100001e-05,2,28,12,1225941,1828436,True
89,2018-06-18 11:47:42.909768,0.04,4.004004004004004e-05,9,45,7,3033,4983,True
90,2018-06-18 11:47:45.922746,1.0,1.000010000100001e-05,2,38,12,1903793,2351936,False
