sample,time,window,precision,modulation,band,measured
54,2018-06-07 13:25:25.003188,0.0001,1.0000100001000011e-09,2,26,4.1188411884118845e-05
55,2018-06-07 13:25:25.873081,0.0001,1.0000100001000011e-09,6,1,4.441744417444175e-05
56,2018-06-07 13:25:26.709485,0.0001,1.0000100001000011e-09,8,1,4.1187411874118745e-05
57,2018-06-07 13:25:27.548731,0.0001,1.0000100001000011e-09,8,35,4.1188411884118845e-05
58,2018-06-07 13:25:28.435560,0.0001,1.0000100001000011e-09,1,15,4.1189411894118945e-05
59,2018-06-07 13:25:29.354392,0.0001,1.0000100001000011e-09,5,40,4.435544355443555e-05
60,2018-06-07 13:25:30.234487,0.0001,1.0000100001000011e-09,1,45,4.1189411894118945e-05
61,2018-06-07 13:25:31.110639,0.0001,1.0000100001000011e-09,1,28,4.1188411884118845e-05
62,2018-06-07 13:25:32.002382,0.0001,1.0000100001000011e-09,3,22,4.1188411884118845e-05
63,2018-06-07 13:25:32.882371,0.0001,1.0000100001000011e-09,9,30,4.1188411884118845e-05
64,2018-06-07 13:25:33.711761,0.0001,1.0000100001000011e-09,9,34,4.1189411894118945e-05
65,2018-06-07 13:25:34.626007,0.0001,1.0000100001000011e-09,2,22,4.1189411894118945e-05
66,2018-06-07 13:25:35.469169,0.0001,1.0000100001000011e-09,7,5,4.1188411884118845e-05
67,2018-06-07 13:25:36.306182,0.0001,1.0000100001000011e-09,0,6,4.1188411884118845e-05
68,2018-06-07 13:25:37.139762,0.0001,1.0000100001000011e-09,9,29,4.1188411884118845e-05
69,2018-06-07 13:25:38.013810,0.0001,1.0000100001000011e-09,3,20,4.1188411884118845e-05
70,2018-06-07 13:25:38.847157,0.0001,1.0000100001000011e-09,9,16,4.1188411884118845e-05
71,2018-06-07 13:25:39.730433,0.0001,1.0000100001000011e-09,6,3,4.4418444184441846e-05
72,2018-06-07 13:25:40.568566,0.0001,1.0000100001000011e-09,9,34,4.1189411894118945e-05
73,2018-06-07 13:25:41.434765,0.0001,1.0000100001000011e-09,7,23,4.362643626436265e-05
74,2018-06-07 13:25:42.348384,0.0001,1.0000100001000011e-09,2,37,4.1187411874118745e-05
75,2018-06-07 13:25:43.223475,0.0001,1.0000100001000011e-09,2,17,4.1188411884118845e-05
76,2018-06-07 13:25:44.102378,0.0001,1.0000100001000011e-09,4,28,4.1188411884118845e-05
77,2018-06-07 13:25:45.012364,0.0001,1.0000100001000011e-09,4,47,4.1188411884118845e-05
78,2018-06-07 13:25:45.850119,0.0001,1.0000100001000011e-09,4,18,4.1189411894118945e-05
79,2018-06-07 13:25:46.682578,0.0001,1.0000100001000011e-09,0,27,4.1188411884118845e-05
80,2018-06-07 13:25:47.517652,0.0001,1.0000100001000011e-09,3,19,4.1188411884118845e-05
81,2018-06-07 13:25:48.357161,0.0001,1.0000100001000011e-09,1,40,4.1188411884118845e-05
82,2018-06-07 13:25:49.236855,0.0001,1.0000100001000011e-09,5,49,4.1188411884118845e-05
83,2018-06-07 13:25:50.125353,0.0001,1.0000100001000011e-09,2,33,4.1189411894118945e-05
84,2018-06-07 13:25:50.965852,0.0001,1.0000100001000011e-09,9,44,4.1189411894118945e-05
85,2018-06-07 13:25:51.808439,0.0001,1.0000100001000011e-09,1,7,4.441744417444175e-05
86,2018-06-07 13:25:52.652606,0.0001,1.0000100001000011e-09,8,34,4.1188411884118845e-05
87,2018-06-07 13:25:53.491901,0.0001,1.0000100001000011e-09,3,50,4.1188411884118845e-05
88,2018-06-07 13:25:54.332653,0.0001,1.0000100001000011e-09,1,47,4.1188411884118845e-05
89,2018-06-07 13:25:55.187009,0.0001,1.0000100001000011e-09,1,51,4.1188411884118845e-05
90,2018-06-07 13:25:56.032731,0.0001,1.0000100001000011e-09,8,21,4.1189411894118945e-05
91,2018-06-07 13:25:56.878428,0.0001,1.0000100001000011e-09,7,22,4.1188411884118845e-05
92,2018-06-07 13:25:57.764514,0.0001,1.0000100001000011e-09,9,18,4.1188411884118845e-05
93,2018-06-07 13:25:58.598997,0.0001,1.0000100001000011e-09,1,3,4.1188411884118845e-05
94,2018-06-07 13:25:59.515983,0.0001,1.0000100001000011e-09,0,44,4.1189411894118945e-05
95,2018-06-07 13:26:00.354618,0.0001,1.0000100001000011e-09,4,25,4.1189411894118945e-05
96,2018-06-07 13:26:01.199448,0.0001,1.0000100001000011e-09,8,3,4.1189411894118945e-05
97,2018-06-07 13:26:02.045351,0.0001,1.0000100001000011e-09,3,45,4.1188411884118845e-05
98,2018-06-07 13:26:02.889322,0.0001,1.0000100001000011e-09,0,43,4.1188411884118845e-05
99,2018-06-07 13:26:03.812580,0.0001,1.0000100001000011e-09,3,49,4.1189411894118945e-05
100,2018-06-07 13:26:04.663326,0.0001,1.0000100001000011e-09,3,51,4.1188411884118845e-05
101,2018-06-07 13:26:05.509333,0.0001,1.0000100001000011e-09,8,7,4.1188411884118845e-05
102,2018-06-07 13:26:06.384590,0.0001,1.0000100001000011e-09,8,8,4.1189411894118945e-05
103,2018-06-07 13:26:07.298769,0.0001,1.0000100001000011e-09,6,27,4.1188411884118845e-05
104,2018-06-07 13:26:08.128129,0.0001,1.0000100001000011e-09,4,3,4.1188411884118845e-05
105,2018-06-07 13:26:08.962419,0.0001,1.0000100001000011e-09,9,13,4.1188411884118845e-05
106,2018-06-07 13:26:09.856013,0.0001,1.0000100001000011e-09,7,31,4.1188411884118845e-05
107,2018-06-07 13:26:10.745604,0.0001,1.0000100001000011e-09,0,1,4.1188411884118845e-05
108,2018-06-07 13:26:11.662112,0.0001,1.0000100001000011e-09,6,48,4.1189411894118945e-05
109,2018-06-07 13:26:12.537575,0.0001,1.0000100001000011e-09,0,39,4.1189411894118945e-05
110,2018-06-07 13:26:13.368010,0.0001,1.0000100001000011e-09,4,23,4.1188411884118845e-05
111,2018-06-07 13:26:14.206192,0.0001,1.0000100001000011e-09,9,5,4.1188411884118845e-05
112,2018-06-07 13:26:15.127814,0.0001,1.0000100001000011e-09,2,22,4.1189411894118945e-05
113,2018-06-07 13:26:15.968479,0.0001,1.0000100001000011e-09,9,30,4.4418444184441846e-05
114,2018-06-07 13:26:16.816080,0.0001,1.0000100001000011e-09,6,38,4.1188411884118845e-05
115,2018-06-07 13:26:17.664638,0.0001,1.0000100001000011e-09,9,43,4.362643626436265e-05
116,2018-06-07 13:26:18.510039,0.0001,1.0000100001000011e-09,7,14,4.1188411884118845e-05
117,2018-06-07 13:26:19.402707,0.0001,1.0000100001000011e-09,1,44,4.362643626436265e-05
118,2018-06-07 13:26:20.279149,0.0001,1.0000100001000011e-09,5,50,4.441744417444175e-05
119,2018-06-07 13:26:21.195638,0.0001,1.0000100001000011e-09,5,51,4.3625436254362547e-05
120,2018-06-07 13:26:22.025490,0.0001,1.0000100001000011e-09,4,25,4.362643626436265e-05
121,2018-06-07 13:26:22.854251,0.0001,1.0000100001000011e-09,1,21,4.1188411884118845e-05
122,2018-06-07 13:26:23.691021,0.0001,1.0000100001000011e-09,9,21,4.1188411884118845e-05
123,2018-06-07 13:26:24.527551,0.0001,1.0000100001000011e-09,1,45,4.1188411884118845e-05
124,2018-06-07 13:26:25.378950,0.0001,1.0000100001000011e-09,5,16,4.1189411894118945e-05
125,2018-06-07 13:26:26.302270,0.0001,1.0000100001000011e-09,0,15,4.1188411884118845e-05
126,2018-06-07 13:26:27.139991,0.0001,1.0000100001000011e-09,9,13,4.1188411884118845e-05
127,2018-06-07 13:26:27.981701,0.0001,1.0000100001000011e-09,3,13,4.1188411884118845e-05
128,2018-06-07 13:26:28.865646,0.0001,1.0000100001000011e-09,9,25,4.1188411884118845e-05
129,2018-06-07 13:26:29.709170,0.0001,1.0000100001000011e-09,7,49,4.1188411884118845e-05
130,2018-06-07 13:26:30.626934,0.0001,1.0000100001000011e-09,6,29,4.1188411884118845e-05
131,2018-06-07 13:26:31.505601,0.0001,1.0000100001000011e-09,1,39,4.1189411894118945e-05
132,2018-06-07 13:26:32.411749,0.0001,1.0000100001000011e-09,6,41,4.1189411894118945e-05
133,2018-06-07 13:26:33.245017,0.0001,1.0000100001000011e-09,6,36,4.441744417444175e-05
134,2018-06-07 13:26:34.136528,0.0001,1.0000100001000011e-09,1,51,4.1189411894118945e-05
135,2018-06-07 13:26:35.018732,0.0001,1.0000100001000011e-09,6,39,4.441744417444175e-05
136,2018-06-07 13:26:35.855556,0.0001,1.0000100001000011e-09,2,2,4.1188411884118845e-05
137,2018-06-07 13:26:36.698851,0.0001,1.0000100001000011e-09,0,28,4.1189411894118945e-05
138,2018-06-07 13:26:37.552856,0.0001,1.0000100001000011e-09,7,18,4.1188411884118845e-05
139,2018-06-07 13:26:38.386590,0.0001,1.0000100001000011e-09,5,7,4.1189411894118945e-05
140,2018-06-07 13:26:39.232228,0.0001,1.0000100001000011e-09,7,28,4.1188411884118845e-05
141,2018-06-07 13:26:40.147071,0.0001,1.0000100001000011e-09,2,48,4.1187411874118745e-05
142,2018-06-07 13:26:40.986490,0.0001,1.0000100001000011e-09,8,50,4.3625436254362547e-05
143,2018-06-07 13:26:41.833280,0.0001,1.0000100001000011e-09,8,38,4.1189411894118945e-05
144,2018-06-07 13:26:42.685369,0.0001,1.0000100001000011e-09,4,43,4.1188411884118845e-05
145,2018-06-07 13:26:43.528903,0.0001,1.0000100001000011e-09,6,38,4.1189411894118945e-05
146,2018-06-07 13:26:44.368122,0.0001,1.0000100001000011e-09,9,5,4.1187411874118745e-05
147,2018-06-07 13:26:45.254677,0.0001,1.0000100001000011e-09,4,26,4.1188411884118845e-05
148,2018-06-07 13:26:46.145562,0.0001,1.0000100001000011e-09,6,15,4.1188411884118845e-05
149,2018-06-07 13:26:46.985261,0.0001,1.0000100001000011e-09,2,19,4.1189411894118945e-05
150,2018-06-07 13:26:47.834468,0.0001,1.0000100001000011e-09,3,39,4.1189411894118945e-05
151,2018-06-07 13:26:48.704025,0.0001,1.0000100001000011e-09,8,42,4.1189411894118945e-05
152,2018-06-07 13:26:49.536359,0.0001,1.0000100001000011e-09,6,43,4.1188411884118845e-05
153,2018-06-07 13:26:50.377886,0.0001,1.0000100001000011e-09,9,29,4.362643626436265e-05
154,2018-06-07 13:26:51.262424,0.0001,1.0000100001000011e-09,5,35,4.1187411874118745e-05
155,2018-06-07 13:26:52.102602,0.0001,1.0000100001000011e-09,3,42,4.1188411884118845e-05
156,2018-06-07 13:26:52.936015,0.0001,1.0000100001000011e-09,0,34,4.1187411874118745e-05
157,2018-06-07 13:26:53.774074,0.0001,1.0000100001000011e-09,0,9,4.1188411884118845e-05
158,2018-06-07 13:26:54.607679,0.0001,1.0000100001000011e-09,4,29,4.1189411894118945e-05
159,2018-06-07 13:26:55.481762,0.0001,1.0000100001000011e-09,0,39,4.362643626436265e-05
160,2018-06-07 13:26:56.332343,0.0001,1.0000100001000011e-09,0,2,4.1189411894118945e-05
161,2018-06-07 13:26:57.224319,0.0001,1.0000100001000011e-09,2,11,4.1188411884118845e-05
162,2018-06-07 13:26:58.073552,0.0001,1.0000100001000011e-09,1,33,4.1188411884118845e-05
163,2018-06-07 13:26:58.949798,0.0001,1.0000100001000011e-09,3,10,4.1188411884118845e-05
164,2018-06-07 13:26:59.790351,0.0001,1.0000100001000011e-09,6,6,4.1188411884118845e-05
165,2018-06-07 13:27:00.678771,0.0001,1.0000100001000011e-09,8,35,4.1188411884118845e-05
166,2018-06-07 13:27:01.521586,0.0001,1.0000100001000011e-09,5,33,4.1188411884118845e-05
167,2018-06-07 13:27:02.399016,0.0001,1.0000100001000011e-09,5,20,4.1188411884118845e-05
168,2018-06-07 13:27:03.248325,0.0001,1.0000100001000011e-09,0,24,4.362643626436265e-05
169,2018-06-07 13:27:04.171297,0.0001,1.0000100001000011e-09,6,38,4.1189411894118945e-05
170,2018-06-07 13:27:05.013315,0.0001,1.0000100001000011e-09,3,22,4.1188411884118845e-05
171,2018-06-07 13:27:05.856299,0.0001,1.0000100001000011e-09,5,20,4.1189411894118945e-05
172,2018-06-07 13:27:06.704023,0.0001,1.0000100001000011e-09,6,6,4.362643626436265e-05
173,2018-06-07 13:27:07.586232,0.0001,1.0000100001000011e-09,9,10,4.362643626436265e-05
174,2018-06-07 13:27:08.421047,0.0001,1.0000100001000011e-09,5,34,4.1188411884118845e-05
175,2018-06-07 13:27:09.307090,0.0001,1.0000100001000011e-09,9,44,4.1188411884118845e-05
176,2018-06-07 13:27:10.265595,0.0001,1.0000100001000011e-09,5,33,4.1188411884118845e-05
177,2018-06-07 13:27:11.149417,0.0001,1.0000100001000011e-09,7,38,4.1188411884118845e-05
178,2018-06-07 13:27:11.998337,0.0001,1.0000100001000011e-09,7,26,4.1188411884118845e-05
179,2018-06-07 13:27:12.838650,0.0001,1.0000100001000011e-09,4,49,4.1188411884118845e-05
180,2018-06-07 13:27:13.670727,0.0001,1.0000100001000011e-09,2,46,4.1188411884118845e-05
181,2018-06-07 13:27:14.551983,0.0001,1.0000100001000011e-09,9,4,4.1188411884118845e-05
182,2018-06-07 13:27:15.438402,0.0001,1.0000100001000011e-09,5,33,4.362643626436265e-05
183,2018-06-07 13:27:16.278873,0.0001,1.0000100001000011e-09,2,14,4.1189411894118945e-05
184,2018-06-07 13:27:17.169890,0.0001,1.0000100001000011e-09,4,50,4.1188411884118845e-05
185,2018-06-07 13:27:18.011620,0.0001,1.0000100001000011e-09,9,10,4.1188411884118845e-05
186,2018-06-07 13:27:18.849835,0.0001,1.0000100001000011e-09,6,9,4.362743627436275e-05
187,2018-06-07 13:27:19.697946,0.0001,1.0000100001000011e-09,9,39,4.3625436254362547e-05
188,2018-06-07 13:27:20.549390,0.0001,1.0000100001000011e-09,4,39,4.1188411884118845e-05
189,2018-06-07 13:27:21.389004,0.0001,1.0000100001000011e-09,7,40,4.1188411884118845e-05
190,2018-06-07 13:27:22.238606,0.0001,1.0000100001000011e-09,3,45,4.1188411884118845e-05
191,2018-06-07 13:27:23.077641,0.0001,1.0000100001000011e-09,6,30,4.1188411884118845e-05
192,2018-06-07 13:27:23.954147,0.0001,1.0000100001000011e-09,3,35,4.1187411874118745e-05
193,2018-06-07 13:27:24.789101,0.0001,1.0000100001000011e-09,7,39,4.123041230412304e-05
194,2018-06-07 13:27:25.631680,0.0001,1.0000100001000011e-09,2,40,4.1189411894118945e-05
195,2018-06-07 13:27:26.514913,0.0001,1.0000100001000011e-09,4,13,4.1188411884118845e-05
196,2018-06-07 13:27:27.391728,0.0001,1.0000100001000011e-09,0,27,4.1189411894118945e-05
197,2018-06-07 13:27:28.242800,0.0001,1.0000100001000011e-09,8,2,4.1188411884118845e-05
198,2018-06-07 13:27:29.134990,0.0001,1.0000100001000011e-09,6,0,4.1188411884118845e-05
199,2018-06-07 13:27:29.976820,0.0001,1.0000100001000011e-09,4,7,4.362643626436265e-05
200,2018-06-07 13:27:30.854037,0.0001,1.0000100001000011e-09,6,17,4.4418444184441846e-05
201,2018-06-07 13:27:31.704500,0.0001,1.0000100001000011e-09,4,39,4.362643626436265e-05
202,2018-06-07 13:27:32.544591,0.0001,1.0000100001000011e-09,6,46,4.1188411884118845e-05
203,2018-06-07 13:27:33.384129,0.0001,1.0000100001000011e-09,9,38,4.1188411884118845e-05
204,2018-06-07 13:27:34.236489,0.0001,1.0000100001000011e-09,6,28,4.1188411884118845e-05
205,2018-06-07 13:27:35.127139,0.0001,1.0000100001000011e-09,5,38,4.1188411884118845e-05
206,2018-06-07 13:27:35.977138,0.0001,1.0000100001000011e-09,2,12,4.1189411894118945e-05
207,2018-06-07 13:27:36.855343,0.0001,1.0000100001000011e-09,8,45,4.1189411894118945e-05
208,2018-06-07 13:27:37.701893,0.0001,1.0000100001000011e-09,4,8,4.1188411884118845e-05
209,2018-06-07 13:27:38.544566,0.0001,1.0000100001000011e-09,0,2,4.435644356443565e-05
210,2018-06-07 13:27:39.393720,0.0001,1.0000100001000011e-09,5,11,4.1190411904119046e-05
211,2018-06-07 13:27:40.247741,0.0001,1.0000100001000011e-09,5,6,4.1189411894118945e-05
212,2018-06-07 13:27:41.094240,0.0001,1.0000100001000011e-09,6,38,4.1188411884118845e-05
213,2018-06-07 13:27:42.020127,0.0001,1.0000100001000011e-09,3,6,4.1189411894118945e-05
214,2018-06-07 13:27:42.861647,0.0001,1.0000100001000011e-09,5,47,4.1188411884118845e-05
215,2018-06-07 13:27:43.737354,0.0001,1.0000100001000011e-09,9,17,4.1189411894118945e-05
216,2018-06-07 13:27:44.694063,0.0001,1.0000100001000011e-09,7,45,4.1189411894118945e-05
217,2018-06-07 13:27:45.547165,0.0001,1.0000100001000011e-09,5,21,4.1188411884118845e-05
218,2018-06-07 13:27:46.397072,0.0001,1.0000100001000011e-09,2,9,4.1188411884118845e-05
219,2018-06-07 13:27:47.243130,0.0001,1.0000100001000011e-09,7,31,4.362643626436265e-05
220,2018-06-07 13:27:48.117958,0.0001,1.0000100001000011e-09,8,15,4.1188411884118845e-05
221,2018-06-07 13:27:49.012373,0.0001,1.0000100001000011e-09,5,23,4.1188411884118845e-05
222,2018-06-07 13:27:49.886081,0.0001,1.0000100001000011e-09,1,32,4.1188411884118845e-05
223,2018-06-07 13:27:50.759653,0.0001,1.0000100001000011e-09,1,48,4.1188411884118845e-05
224,2018-06-07 13:27:51.635860,0.0001,1.0000100001000011e-09,7,37,4.1188411884118845e-05
225,2018-06-07 13:27:52.547676,0.0001,1.0000100001000011e-09,7,36,4.1187411874118745e-05
226,2018-06-07 13:27:53.416783,0.0001,1.0000100001000011e-09,4,22,4.4418444184441846e-05
227,2018-06-07 13:27:54.272356,0.0001,1.0000100001000011e-09,2,31,4.1188411884118845e-05
228,2018-06-07 13:27:55.138672,0.0001,1.0000100001000011e-09,9,25,4.1188411884118845e-05
229,2018-06-07 13:27:56.006127,0.0001,1.0000100001000011e-09,4,32,4.1189411894118945e-05
230,2018-06-07 13:27:56.921431,0.0001,1.0000100001000011e-09,8,22,4.1188411884118845e-05
231,2018-06-07 13:27:57.834187,0.0001,1.0000100001000011e-09,3,17,4.1188411884118845e-05
232,2018-06-07 13:27:58.699756,0.0001,1.0000100001000011e-09,0,39,4.1187411874118745e-05
233,2018-06-07 13:27:59.556419,0.0001,1.0000100001000011e-09,5,44,4.1188411884118845e-05
234,2018-06-07 13:28:00.471616,0.0001,1.0000100001000011e-09,7,5,4.1189411894118945e-05
235,2018-06-07 13:28:01.426968,0.0001,1.0000100001000011e-09,3,8,4.4418444184441846e-05
236,2018-06-07 13:28:02.283631,0.0001,1.0000100001000011e-09,0,6,4.1189411894118945e-05
237,2018-06-07 13:28:03.155292,0.0001,1.0000100001000011e-09,4,35,4.1188411884118845e-05
238,2018-06-07 13:28:04.080174,0.0001,1.0000100001000011e-09,6,12,4.362643626436265e-05
239,2018-06-07 13:28:04.964429,0.0001,1.0000100001000011e-09,0,30,4.1188411884118845e-05
240,2018-06-07 13:28:05.799233,0.0001,1.0000100001000011e-09,1,23,4.1188411884118845e-05
241,2018-06-07 13:28:06.634949,0.0001,1.0000100001000011e-09,8,19,4.1189411894118945e-05
242,2018-06-07 13:28:07.472513,0.0001,1.0000100001000011e-09,2,34,4.1188411884118845e-05
243,2018-06-07 13:28:08.312061,0.0001,1.0000100001000011e-09,9,51,4.1188411884118845e-05
244,2018-06-07 13:28:09.158334,0.0001,1.0000100001000011e-09,6,20,4.1188411884118845e-05
245,2018-06-07 13:28:10.010100,0.0001,1.0000100001000011e-09,7,6,4.1188411884118845e-05
246,2018-06-07 13:28:10.936448,0.0001,1.0000100001000011e-09,6,35,4.1188411884118845e-05
247,2018-06-07 13:28:11.778341,0.0001,1.0000100001000011e-09,6,22,4.1188411884118845e-05
248,2018-06-07 13:28:12.660112,0.0001,1.0000100001000011e-09,6,28,4.4418444184441846e-05
249,2018-06-07 13:28:13.538663,0.0001,1.0000100001000011e-09,0,20,4.1188411884118845e-05
250,2018-06-07 13:28:14.386539,0.0001,1.0000100001000011e-09,2,43,4.1188411884118845e-05
251,2018-06-07 13:28:15.239175,0.0001,1.0000100001000011e-09,1,11,4.1189411894118945e-05
252,2018-06-07 13:28:16.085704,0.0001,1.0000100001000011e-09,8,10,4.1188411884118845e-05
253,2018-06-07 13:28:16.921644,0.0001,1.0000100001000011e-09,8,30,4.1189411894118945e-05
254,2018-06-07 13:28:17.803865,0.0001,1.0000100001000011e-09,3,19,4.1188411884118845e-05
255,2018-06-07 13:28:18.675387,0.0001,1.0000100001000011e-09,2,3,4.1187411874118745e-05
256,2018-06-07 13:28:19.507989,0.0001,1.0000100001000011e-09,9,6,4.1188411884118845e-05
257,2018-06-07 13:28:20.377145,0.0001,1.0000100001000011e-09,8,13,4.1188411884118845e-05
